Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,27050,27145,1/4/2019 4:15:00 PM,1/4/2019 11:00:00 PM,FVG Short,Exit on session close,($490.92),($490.92),$15.92,$850.00,$25.00,$515.92,28,
2,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,26950,26945,2/15/2019 4:00:00 PM,2/15/2019 11:00:00 PM,FVG Short,Exit on session close,$9.08,($481.84),$15.92,$25.00,$100.00,$90.92,26,
3,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,27125,27165,2/25/2019 3:45:00 PM,2/26/2019 1:00:00 AM,FVG Short,Exit on session close,($215.92),($697.76),$15.92,$400.00,$50.00,$265.92,34,
4,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,27135,27150,2/27/2019 3:30:00 PM,2/28/2019 1:00:00 AM,FVG Short,Exit on session close,($90.92),($788.68),$15.92,$125.00,$775.00,$865.92,34,
5,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,27190,27205,3/11/2019 3:45:00 PM,3/12/2019 1:00:00 AM,FVG Short,Exit on session close,($90.92),($879.60),$15.92,$100.00,$25.00,$115.92,30,
6,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,27335,27325,3/21/2019 4:00:00 PM,3/22/2019 1:00:00 AM,FVG Short,Exit on session close,$34.08,($845.52),$15.92,$0.00,$375.00,$340.92,30,
7,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,27325,27325,3/24/2019 11:15:00 PM,3/25/2019 1:00:00 AM,FVG Short,Exit on session close,($15.92),($861.44),$15.92,$25.00,$25.00,$40.92,7,
8,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,28400,28340,4/3/2019 3:45:00 PM,4/4/2019 2:00:00 AM,FVG Long,Exit on session close,($315.92),($1177.36),$15.92,$1125.00,$1425.00,$1740.92,38,
9,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,28605,28555,4/9/2019 3:45:00 PM,4/10/2019 2:00:00 AM,FVG Long,Exit on session close,($265.92),($1443.28),$15.92,$425.00,$25.00,$290.92,38,
10,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,28440,28410,4/12/2019 4:00:00 PM,4/12/2019 11:00:00 PM,FVG Short,Exit on session close,$134.08,($1309.20),$15.92,$225.00,$200.00,$65.92,29,
11,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,28615,28630,4/30/2019 4:00:00 PM,5/1/2019 2:00:00 AM,FVG Long,Exit on session close,$59.08,($1250.12),$15.92,$125.00,$150.00,$90.92,37,
12,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,29325,29105,5/7/2019 4:15:00 PM,5/8/2019 2:00:00 AM,FVG Long,Exit on session close,($1115.92),($2366.04),$15.92,$1325.00,$125.00,$1240.92,36,
13,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,29375,29515,5/9/2019 4:15:00 PM,5/10/2019 2:00:00 AM,FVG Long,Exit on session close,$684.08,($1681.96),$15.92,$150.00,$825.00,$140.92,36,
14,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,30770,31220,5/13/2019 3:45:00 PM,5/14/2019 2:00:00 AM,FVG Long,Exit on session close,$2234.08,$552.12,$15.92,$100.00,$3975.00,$1740.92,38,
15,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,31395,31340,5/21/2019 3:30:00 PM,5/22/2019 2:00:00 AM,FVG Long,Exit on session close,($290.92),$261.20,$15.92,$650.00,$500.00,$790.92,39,
16,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,31815,31450,6/3/2019 4:15:00 PM,6/4/2019 2:00:00 AM,FVG Short,Exit on session close,$1809.08,$2070.28,$15.92,$725.00,$2175.00,$365.92,36,
17,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,31120,31135,6/5/2019 4:15:00 PM,6/6/2019 2:00:00 AM,FVG Short,Exit on session close,($90.92),$1979.36,$15.92,$800.00,$1025.00,$1115.92,36,
18,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,31015,31140,6/6/2019 3:45:00 PM,6/7/2019 2:00:00 AM,FVG Short,Exit on session close,($640.92),$1338.44,$15.92,$775.00,$1225.00,$1865.92,37,
19,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,31510,31575,6/13/2019 3:45:00 PM,6/14/2019 2:00:00 AM,FVG Long,Exit on session close,$309.08,$1647.52,$15.92,$125.00,$900.00,$590.92,38,
20,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,32695,32920,6/20/2019 3:45:00 PM,6/21/2019 2:00:00 AM,FVG Long,Exit on session close,$1109.08,$2756.60,$15.92,$75.00,$1600.00,$490.92,38,
21,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,36175,35675,6/26/2019 3:30:00 PM,6/26/2019 10:45:00 PM,FVG Long,Stop loss,($2515.92),$240.68,$15.92,$2500.00,$5250.00,$7765.92,30,
22,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,35045,35545,6/28/2019 3:30:00 PM,6/28/2019 9:30:00 PM,FVG Short,Stop loss,($2515.92),($2275.24),$15.92,$2500.00,$800.00,$3315.92,25,
23,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,34405,34235,7/5/2019 4:15:00 PM,7/5/2019 11:00:00 PM,FVG Short,Exit on session close,$834.08,($1441.16),$15.92,$1300.00,$1925.00,$1090.92,28,
24,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,34010,33510,7/15/2019 12:15:00 AM,7/15/2019 1:15:00 AM,FVG Long,Stop loss,($2515.92),($3957.08),$15.92,$2500.00,$0.00,$2515.92,5,
25,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,33195,33695,7/15/2019 3:30:00 PM,7/15/2019 4:15:00 PM,FVG Short,Stop loss,($2515.92),($6473.00),$15.92,$2500.00,$0.00,$2515.92,4,
26,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,33565,32510,7/16/2019 3:30:00 PM,7/17/2019 2:00:00 AM,FVG Short,Exit on session close,$5259.08,($1213.92),$15.92,$650.00,$5600.00,$340.92,39,
27,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,32970,32915,7/23/2019 3:45:00 PM,7/24/2019 2:00:00 AM,FVG Short,Exit on session close,$259.08,($954.84),$15.92,$1600.00,$500.00,$240.92,38,
28,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,32735,32745,7/24/2019 4:00:00 PM,7/24/2019 11:00:00 PM,FVG Short,Exit on session close,($65.92),($1020.76),$15.92,$1200.00,$925.00,$990.92,29,
29,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,32795,32875,7/26/2019 3:30:00 PM,7/26/2019 11:00:00 PM,FVG Short,Exit on session close,($415.92),($1436.68),$15.92,$775.00,$250.00,$665.92,31,
30,BTC DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,32570,32605,7/30/2019 4:00:00 PM,7/31/2019 2:00:00 AM,FVG Short,Exit on session close,($190.92),($1627.60),$15.92,$1275.00,$225.00,$415.92,36,
