Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,8957.75,8932.75,1/4/2019 4:15:00 PM,1/4/2019 4:30:00 PM,FVG Long,Stop loss,($505.68),($505.68),$5.68,$500.00,$220.00,$725.68,2,
2,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,9006.00,9081.00,1/4/2019 5:00:00 PM,1/4/2019 6:45:00 PM,FVG Long,Profit target,$1494.32,$988.64,$5.68,$20.00,$1500.00,$5.68,8,
3,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,9127.00,9155.00,1/7/2019 5:15:00 PM,1/7/2019 11:00:00 PM,FVG Long,Exit on session close,$554.32,$1542.96,$5.68,$285.00,$1175.00,$620.68,23,
4,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,9189.50,9214.50,1/10/2019 4:15:00 PM,1/10/2019 4:30:00 PM,FVG Short,Stop loss,($505.68),$1037.28,$5.68,$500.00,$60.00,$565.68,2,
5,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,9230.75,9277.75,1/10/2019 5:00:00 PM,1/10/2019 11:00:00 PM,FVG Long,Exit on session close,$934.32,$1971.60,$5.68,$325.00,$1220.00,$285.68,24,
6,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,9294.75,9328.50,1/15/2019 4:15:00 PM,1/15/2019 11:00:00 PM,FVG Long,Exit on session close,$669.32,$2640.92,$5.68,$315.00,$885.00,$215.68,27,
7,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,9372.50,9347.50,1/16/2019 4:15:00 PM,1/16/2019 4:45:00 PM,FVG Long,Stop loss,($505.68),$2135.24,$5.68,$500.00,$195.00,$700.68,3,
8,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,9338.75,9380.75,1/17/2019 4:15:00 PM,1/17/2019 11:00:00 PM,FVG Long,Exit on session close,$834.32,$2969.56,$5.68,$345.00,$1425.00,$590.68,27,
9,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,9436.00,9455.50,1/18/2019 5:00:00 PM,1/18/2019 11:00:00 PM,FVG Long,Exit on session close,$384.32,$3353.88,$5.68,$320.00,$845.00,$460.68,24,
10,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,9407.00,9411.50,1/21/2019 4:45:00 PM,1/21/2019 7:00:00 PM,FVG Long,Exit on session close,$84.32,$3438.20,$5.68,$130.00,$195.00,$110.68,10,
11,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,9320.75,9245.75,1/23/2019 5:00:00 PM,1/23/2019 6:30:00 PM,FVG Short,Profit target,$1494.32,$4932.52,$5.68,$40.00,$1500.00,$5.68,7,
12,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,9431.50,9445.25,1/25/2019 4:30:00 PM,1/25/2019 11:00:00 PM,FVG Long,Exit on session close,$269.32,$5201.84,$5.68,$265.00,$580.00,$310.68,26,
13,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,9322.75,9347.75,1/28/2019 4:15:00 PM,1/28/2019 9:00:00 PM,FVG Short,Stop loss,($505.68),$4696.16,$5.68,$500.00,$490.00,$995.68,20,
14,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,9331.25,9331.25,1/29/2019 4:00:00 PM,1/29/2019 11:00:00 PM,FVG Short,Exit on session close,($5.68),$4690.48,$5.68,$460.00,$1290.00,$1295.68,28,
15,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,9525.75,9582.50,1/31/2019 4:15:00 PM,1/31/2019 11:00:00 PM,FVG Long,Exit on session close,$1129.32,$5819.80,$5.68,$100.00,$1345.00,$215.68,27,
16,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,9654.75,9662.50,2/5/2019 4:15:00 PM,2/5/2019 11:00:00 PM,FVG Long,Exit on session close,$149.32,$5969.12,$5.68,$460.00,$580.00,$430.68,27,
17,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,9668.50,9643.50,2/6/2019 5:15:00 PM,2/6/2019 6:15:00 PM,FVG Long,Stop loss,($505.68),$5463.44,$5.68,$500.00,$120.00,$625.68,5,
18,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,9567.50,9592.50,2/7/2019 4:00:00 PM,2/7/2019 4:30:00 PM,FVG Short,Stop loss,($505.68),$4957.76,$5.68,$500.00,$100.00,$605.68,3,
19,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,9632.75,9670.50,2/12/2019 4:15:00 PM,2/12/2019 11:00:00 PM,FVG Long,Exit on session close,$749.32,$5707.08,$5.68,$5.00,$915.00,$165.68,27,
