Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,FDAX DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,12874,12883,1/9/2019 11:30:00 AM,1/9/2019 6:30:00 PM,FVG Short,Exit on session close,($230.52),($230.52),$5.52,$1700.00,$1425.00,$1655.52,29,
2,FDAX DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,12905,12868,1/11/2019 11:15:00 AM,1/11/2019 6:30:00 PM,FVG Short,Exit on session close,$919.48,$688.96,$5.52,$125.00,$2425.00,$1505.52,30,
3,FDAX DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,12792,12847,1/14/2019 11:45:00 AM,1/14/2019 6:30:00 PM,FVG Short,Exit on session close,($1380.52),($691.56),$5.52,$1900.00,$675.00,$2055.52,28,
4,FDAX DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,12875,12890,1/15/2019 10:45:00 AM,1/15/2019 6:30:00 PM,FVG Short,Exit on session close,($380.52),($1072.08),$5.52,$600.00,$2050.00,$2430.52,32,
5,FDAX DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,12862,12902,1/16/2019 12:15:00 PM,1/16/2019 6:30:00 PM,FVG Short,Exit on session close,($1005.52),($2077.60),$5.52,$1625.00,$375.00,$1380.52,26,
6,FDAX DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,12850,12893,1/17/2019 10:30:00 AM,1/17/2019 6:30:00 PM,FVG Long,Exit on session close,$1069.48,($1008.12),$5.52,$750.00,$1550.00,$480.52,33,
7,FDAX DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,13081,13048,1/22/2019 11:45:00 AM,1/22/2019 6:30:00 PM,FVG Short,Exit on session close,$819.48,($188.64),$5.52,$150.00,$1625.00,$805.52,28,
8,FDAX DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,13050,13012,1/23/2019 10:45:00 AM,1/23/2019 6:30:00 PM,FVG Long,Exit on session close,($955.52),($1144.16),$5.52,$1425.00,$1725.00,$2680.52,32,
9,FDAX DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,13248,13191,1/28/2019 11:15:00 AM,1/28/2019 6:30:00 PM,FVG Long,Exit on session close,($1430.52),($2574.68),$5.52,$2200.00,$300.00,$1730.52,30,
10,FDAX DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,13201,13211,1/29/2019 10:30:00 AM,1/29/2019 6:30:00 PM,FVG Long,Exit on session close,$244.48,($2330.20),$5.52,$625.00,$1500.00,$1255.52,33,
11,FDAX DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,13217,13171,1/31/2019 10:30:00 AM,1/31/2019 6:30:00 PM,FVG Short,Exit on session close,$1144.48,($1185.72),$5.52,$50.00,$4775.00,$3630.52,33,
12,FDAX DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,13161,13161,2/1/2019 11:15:00 AM,2/1/2019 6:30:00 PM,FVG Short,Exit on session close,($5.52),($1191.24),$5.52,$500.00,$1725.00,$1730.52,30,
13,FDAX DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,13254,13340,2/5/2019 10:30:00 AM,2/5/2019 6:30:00 PM,FVG Long,Exit on session close,$2144.48,$953.24,$5.52,$200.00,$2925.00,$780.52,33,
14,FDAX DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,13294,13284,2/6/2019 12:15:00 PM,2/6/2019 6:30:00 PM,FVG Short,Exit on session close,$244.48,$1197.72,$5.52,$750.00,$425.00,$180.52,26,
15,FDAX DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,13188,13018,2/7/2019 11:45:00 AM,2/7/2019 6:30:00 PM,FVG Short,Exit on session close,$4244.48,$5442.20,$5.52,$500.00,$5175.00,$930.52,28,
16,FDAX DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,12998,12908,2/8/2019 11:00:00 AM,2/8/2019 6:30:00 PM,FVG Short,Exit on session close,$2244.48,$7686.68,$5.52,$525.00,$3875.00,$1630.52,31,
17,FDAX DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,12996,12999,2/11/2019 10:30:00 AM,2/11/2019 6:30:00 PM,FVG Long,Exit on session close,$69.48,$7756.16,$5.52,$1125.00,$700.00,$630.52,33,
18,FDAX DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,13160,13167,2/13/2019 10:30:00 AM,2/13/2019 6:30:00 PM,FVG Short,Exit on session close,($180.52),$7575.64,$5.52,$975.00,$1400.00,$1580.52,33,
