Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,FESX DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,2705,2703,1/24/2019 11:00:00 AM,1/24/2019 6:30:00 PM,FVG Long,Exit on session close,($23.78),($23.78),$3.78,$220.00,$70.00,$93.78,31,
2,FESX DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,2729,2710,1/28/2019 11:15:00 AM,1/28/2019 6:30:00 PM,FVG Long,Exit on session close,($193.78),($217.56),$3.78,$270.00,$20.00,$213.78,30,
3,FESX DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,2771,2789,2/5/2019 10:30:00 AM,2/5/2019 6:30:00 PM,FVG Long,Exit on session close,$176.22,($41.34),$3.78,$30.00,$260.00,$83.78,33,
4,FESX DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,2788,2788,2/6/2019 11:15:00 AM,2/6/2019 6:30:00 PM,FVG Long,Exit on session close,($3.78),($45.12),$3.78,$60.00,$90.00,$93.78,30,
5,FESX DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,2750,2746,2/11/2019 10:30:00 AM,2/11/2019 6:30:00 PM,FVG Long,Exit on session close,($43.78),($88.90),$3.78,$140.00,$30.00,$73.78,33,
6,FESX DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,2868,2859,2/25/2019 10:30:00 AM,2/25/2019 6:30:00 PM,FVG Long,Exit on session close,($93.78),($182.68),$3.78,$90.00,$30.00,$123.78,33,
7,FESX DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,2929,2930,3/14/2019 10:30:00 AM,3/14/2019 6:30:00 PM,FVG Long,Exit on session close,$6.22,($176.46),$3.78,$210.00,$50.00,$43.78,33,
8,FESX DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,2986,2989,3/19/2019 10:30:00 AM,3/19/2019 6:30:00 PM,FVG Long,Exit on session close,$26.22,($150.24),$3.78,$20.00,$230.00,$203.78,33,
9,FESX DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,2980,2965,3/20/2019 10:45:00 AM,3/20/2019 6:30:00 PM,FVG Short,Exit on session close,$146.22,($4.02),$3.78,$10.00,$240.00,$93.78,32,
10,FESX DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,2927,2890,3/22/2019 10:30:00 AM,3/22/2019 6:30:00 PM,FVG Short,Exit on session close,$366.22,$362.20,$3.78,$70.00,$450.00,$83.78,33,
11,FESX DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,2979,2983,4/1/2019 11:00:00 AM,4/1/2019 6:30:00 PM,FVG Long,Exit on session close,$36.22,$398.42,$3.78,$200.00,$40.00,$3.78,31,
12,FESX DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,3032,3045,4/12/2019 10:45:00 AM,4/12/2019 6:30:00 PM,FVG Long,Exit on session close,$126.22,$524.64,$3.78,$10.00,$170.00,$43.78,32,
13,FESX DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,3117,3101,5/2/2019 10:30:00 AM,5/2/2019 6:30:00 PM,FVG Long,Exit on session close,($163.78),$360.86,$3.78,$230.00,$120.00,$283.78,33,
14,FESX DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,3122,3124,5/3/2019 10:45:00 AM,5/3/2019 6:30:00 PM,FVG Long,Exit on session close,$16.22,$377.08,$3.78,$120.00,$60.00,$43.78,32,
15,FESX DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,2970,2948,5/13/2019 10:30:00 AM,5/13/2019 6:30:00 PM,FVG Short,Exit on session close,$216.22,$593.30,$3.78,$130.00,$260.00,$43.78,33,
16,FESX DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,2968,3001,5/14/2019 10:45:00 AM,5/14/2019 6:30:00 PM,FVG Short,Exit on session close,($333.78),$259.52,$3.78,$370.00,$30.00,$363.78,32,
17,FESX DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,2986,3021,5/15/2019 10:45:00 AM,5/15/2019 6:30:00 PM,FVG Long,Exit on session close,$346.22,$605.74,$3.78,$190.00,$390.00,$43.78,32,
18,FESX DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,3044,3017,5/20/2019 11:15:00 AM,5/20/2019 6:30:00 PM,FVG Short,Exit on session close,$266.22,$871.96,$3.78,$60.00,$390.00,$123.78,30,
