Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,GC FEB26,Backtest,FairValueGapStrategyFiltered,Long,1,1876.5,1873.5,1/7/2019 3:40:00 PM,1/7/2019 11:00:00 PM,FVG Long,Exit on session close,($306.12),($306.12),$6.12,$600.00,$120.00,$426.12,89,
2,GC FEB26,Backtest,FairValueGapStrategyFiltered,Long,1,1871.9,1877.9,1/9/2019 3:45:00 PM,1/9/2019 11:00:00 PM,FVG Long,Exit on session close,$593.88,$287.76,$6.12,$30.00,$630.00,$36.12,88,
3,GC FEB26,Backtest,FairValueGapStrategyFiltered,Long,1,1874.5,1871.1,1/11/2019 4:35:00 PM,1/11/2019 11:00:00 PM,FVG Long,Exit on session close,($346.12),($58.36),$6.12,$380.00,$30.00,$376.12,78,
4,GC FEB26,Backtest,FairValueGapStrategyFiltered,Long,1,1876.2,1875.0,1/14/2019 3:40:00 PM,1/14/2019 11:00:00 PM,FVG Long,Exit on session close,($126.12),($184.48),$6.12,$350.00,$40.00,$166.12,89,
5,GC FEB26,Backtest,FairValueGapStrategyFiltered,Long,1,1876.1,1872.6,1/15/2019 3:40:00 PM,1/15/2019 11:00:00 PM,FVG Long,Exit on session close,($356.12),($540.60),$6.12,$630.00,$190.00,$546.12,89,
6,GC FEB26,Backtest,FairValueGapStrategyFiltered,Long,1,1874.3,1876.7,1/16/2019 3:40:00 PM,1/16/2019 11:00:00 PM,FVG Long,Exit on session close,$233.88,($306.72),$6.12,$20.00,$430.00,$196.12,89,
7,GC FEB26,Backtest,FairValueGapStrategyFiltered,Long,1,1874.6,1885.7,1/25/2019 3:40:00 PM,1/25/2019 11:00:00 PM,FVG Long,Exit on session close,$1103.88,$797.16,$6.12,$40.00,$1200.00,$96.12,89,
8,GC FEB26,Backtest,FairValueGapStrategyFiltered,Long,1,1882.4,1885.7,1/28/2019 3:50:00 PM,1/28/2019 11:00:00 PM,FVG Long,Exit on session close,$323.88,$1121.04,$6.12,$40.00,$420.00,$96.12,87,
9,GC FEB26,Backtest,FairValueGapStrategyFiltered,Long,1,1891.2,1894.4,1/29/2019 3:40:00 PM,1/29/2019 11:00:00 PM,FVG Long,Exit on session close,$313.88,$1434.92,$6.12,$220.00,$360.00,$46.12,89,
10,GC FEB26,Backtest,FairValueGapStrategyFiltered,Long,1,1907.0,1903.4,1/31/2019 3:40:00 PM,1/31/2019 11:00:00 PM,FVG Long,Exit on session close,($366.12),$1068.80,$6.12,$610.00,$30.00,$396.12,89,
11,GC FEB26,Backtest,FairValueGapStrategyFiltered,Long,1,1905.3,1899.7,2/1/2019 3:40:00 PM,2/1/2019 11:00:00 PM,FVG Long,Exit on session close,($566.12),$502.68,$6.12,$700.00,$40.00,$606.12,89,
12,GC FEB26,Backtest,FairValueGapStrategyFiltered,Long,1,1894.7,1895.9,2/8/2019 3:40:00 PM,2/8/2019 11:00:00 PM,FVG Long,Exit on session close,$113.88,$616.56,$6.12,$130.00,$250.00,$136.12,89,
13,GC FEB26,Backtest,FairValueGapStrategyFiltered,Long,1,1892.7,1891.9,2/12/2019 3:40:00 PM,2/12/2019 11:00:00 PM,FVG Long,Exit on session close,($86.12),$530.44,$6.12,$340.00,$110.00,$196.12,89,
14,GC FEB26,Backtest,FairValueGapStrategyFiltered,Long,1,1893.9,1887.0,2/13/2019 3:55:00 PM,2/13/2019 11:00:00 PM,FVG Long,Exit on session close,($696.12),($165.68),$6.12,$810.00,$550.00,$1246.12,86,
15,GC FEB26,Backtest,FairValueGapStrategyFiltered,Long,1,1897.6,1902.7,2/15/2019 3:40:00 PM,2/15/2019 11:00:00 PM,FVG Long,Exit on session close,$503.88,$338.20,$6.12,$270.00,$590.00,$86.12,89,
16,GC FEB26,Backtest,FairValueGapStrategyFiltered,Long,1,1907.3,1907.4,2/18/2019 3:40:00 PM,2/18/2019 7:00:00 PM,FVG Long,Exit on session close,$3.88,$342.08,$6.12,$100.00,$40.00,$36.12,41,
17,GC FEB26,Backtest,FairValueGapStrategyFiltered,Long,1,1914.1,1921.8,2/19/2019 3:40:00 PM,2/19/2019 11:00:00 PM,FVG Long,Exit on session close,$763.88,$1105.96,$6.12,$40.00,$860.00,$96.12,89,
18,GC FEB26,Backtest,FairValueGapStrategyFiltered,Long,1,1924.2,1918.9,2/20/2019 3:40:00 PM,2/20/2019 11:00:00 PM,FVG Long,Exit on session close,($536.12),$569.84,$6.12,$670.00,$290.00,$826.12,89,
19,GC FEB26,Backtest,FairValueGapStrategyFiltered,Long,1,1912.3,1907.4,2/25/2019 3:40:00 PM,2/25/2019 11:00:00 PM,FVG Long,Exit on session close,($496.12),$73.72,$6.12,$690.00,$20.00,$516.12,89,
20,GC FEB26,Backtest,FairValueGapStrategyFiltered,Long,1,1877.2,1876.3,3/8/2019 3:40:00 PM,3/8/2019 11:00:00 PM,FVG Long,Exit on session close,($96.12),($22.40),$6.12,$380.00,$150.00,$246.12,89,
21,GC FEB26,Backtest,FairValueGapStrategyFiltered,Long,1,1870.5,1871.0,3/11/2019 4:10:00 PM,3/11/2019 10:00:00 PM,FVG Long,Exit on session close,$43.88,$21.48,$6.12,$220.00,$120.00,$76.12,71,
22,GC FEB26,Backtest,FairValueGapStrategyFiltered,Long,1,1883.8,1880.0,3/15/2019 3:25:00 PM,3/15/2019 10:00:00 PM,FVG Long,Exit on session close,($386.12),($364.64),$6.12,$490.00,$10.00,$396.12,80,
23,GC FEB26,Backtest,FairValueGapStrategyFiltered,Long,1,1883.3,1881.2,3/18/2019 4:05:00 PM,3/18/2019 10:00:00 PM,FVG Long,Exit on session close,($216.12),($580.76),$6.12,$480.00,$30.00,$246.12,72,
24,GC FEB26,Backtest,FairValueGapStrategyFiltered,Long,1,1885.7,1884.0,3/19/2019 4:35:00 PM,3/19/2019 10:00:00 PM,FVG Long,Exit on session close,($176.12),($756.88),$6.12,$230.00,$130.00,$306.12,66,
25,GC FEB26,Backtest,FairValueGapStrategyFiltered,Long,1,1898.7,1899.3,3/25/2019 3:20:00 PM,3/25/2019 10:00:00 PM,FVG Long,Exit on session close,$53.88,($703.00),$6.12,$220.00,$350.00,$296.12,81,
