Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,NG JAN26,Backtest,FairValueGapStrategyFiltered,Short,1,11.909,11.900,1/28/2013 4:00:00 PM,1/28/2013 8:05:00 PM,FVG Short,Exit on session close,$83.88,$83.88,$6.12,$90.00,$160.00,$76.12,18,
2,NG JAN26,Backtest,FairValueGapStrategyFiltered,Short,1,11.841,11.866,1/29/2013 4:00:00 PM,1/29/2013 5:15:00 PM,FVG Short,Stop loss,($256.12),($172.24),$6.12,$250.00,$170.00,$426.12,6,
3,NG JAN26,Backtest,FairValueGapStrategyFiltered,Short,1,11.801,11.826,2/11/2013 4:00:00 PM,2/11/2013 5:30:00 PM,FVG Short,Stop loss,($256.12),($428.36),$6.12,$250.00,$10.00,$266.12,7,
4,NG JAN26,Backtest,FairValueGapStrategyFiltered,Short,1,11.850,11.800,2/14/2013 4:00:00 PM,2/14/2013 4:45:00 PM,FVG Short,Profit target,$493.88,$65.52,$6.12,$120.00,$500.00,$6.12,4,
5,NG JAN26,Backtest,FairValueGapStrategyFiltered,Short,1,11.835,11.860,2/21/2013 4:00:00 PM,2/21/2013 4:30:00 PM,FVG Short,Stop loss,($256.12),($190.60),$6.12,$250.00,$30.00,$286.12,3,
6,NG JAN26,Backtest,FairValueGapStrategyFiltered,Short,1,12.456,12.481,4/2/2013 4:00:00 PM,4/2/2013 6:45:00 PM,FVG Short,Stop loss,($256.12),($446.72),$6.12,$250.00,$150.00,$406.12,12,
7,NG JAN26,Backtest,FairValueGapStrategyFiltered,Short,1,12.649,12.674,4/25/2013 4:00:00 PM,4/25/2013 4:45:00 PM,FVG Short,Stop loss,($256.12),($702.84),$6.12,$250.00,$60.00,$316.12,4,
8,NG JAN26,Backtest,FairValueGapStrategyFiltered,Short,1,12.616,12.566,4/26/2013 4:00:00 PM,4/26/2013 4:15:00 PM,FVG Short,Profit target,$493.88,($208.96),$6.12,$150.00,$500.00,$6.12,2,
9,NG JAN26,Backtest,FairValueGapStrategyFiltered,Short,1,12.744,12.694,5/2/2013 4:00:00 PM,5/2/2013 4:45:00 PM,FVG Short,Profit target,$493.88,$284.92,$6.12,$170.00,$500.00,$6.12,4,
10,NG JAN26,Backtest,FairValueGapStrategyFiltered,Short,1,12.580,12.584,5/29/2013 4:00:00 PM,5/29/2013 8:05:00 PM,FVG Short,Exit on session close,($46.12),$238.80,$6.12,$120.00,$500.00,$546.12,18,
11,NG JAN26,Backtest,FairValueGapStrategyFiltered,Short,1,12.549,12.574,5/30/2013 4:00:00 PM,5/30/2013 4:30:00 PM,FVG Short,Stop loss,($256.12),($17.32),$6.12,$250.00,$30.00,$286.12,3,
12,NG JAN26,Backtest,FairValueGapStrategyFiltered,Short,1,12.397,12.422,6/5/2013 4:00:00 PM,6/5/2013 6:15:00 PM,FVG Short,Stop loss,($256.12),($273.44),$6.12,$250.00,$50.00,$306.12,10,
13,NG JAN26,Backtest,FairValueGapStrategyFiltered,Short,1,12.344,12.294,6/6/2013 4:00:00 PM,6/6/2013 4:45:00 PM,FVG Short,Profit target,$493.88,$220.44,$6.12,$40.00,$500.00,$6.12,4,
14,NG JAN26,Backtest,FairValueGapStrategyFiltered,Short,1,12.173,12.146,6/11/2013 4:00:00 PM,6/11/2013 8:05:00 PM,FVG Short,Exit on session close,$263.88,$484.32,$6.12,$210.00,$330.00,$66.12,18,
15,NG JAN26,Backtest,FairValueGapStrategyFiltered,Short,1,12.153,12.178,6/13/2013 4:00:00 PM,6/13/2013 4:30:00 PM,FVG Short,Stop loss,($256.12),$228.20,$6.12,$250.00,$100.00,$356.12,3,
16,NG JAN26,Backtest,FairValueGapStrategyFiltered,Short,1,12.180,12.154,6/14/2013 4:00:00 PM,6/14/2013 8:05:00 PM,FVG Short,Exit on session close,$253.88,$482.08,$6.12,$90.00,$290.00,$36.12,18,
17,NG JAN26,Backtest,FairValueGapStrategyFiltered,Short,1,12.194,12.162,6/24/2013 4:00:00 PM,6/24/2013 8:05:00 PM,FVG Short,Exit on session close,$313.88,$795.96,$6.12,$190.00,$480.00,$166.12,18,
18,NG JAN26,Backtest,FairValueGapStrategyFiltered,Short,1,12.131,12.081,6/25/2013 4:00:00 PM,6/25/2013 4:45:00 PM,FVG Short,Profit target,$493.88,$1289.84,$6.12,$10.00,$500.00,$6.12,4,
19,NG JAN26,Backtest,FairValueGapStrategyFiltered,Short,1,11.976,12.001,7/3/2013 4:00:00 PM,7/3/2013 6:15:00 PM,FVG Short,Stop loss,($256.12),$1033.72,$6.12,$250.00,$30.00,$286.12,10,
20,NG JAN26,Backtest,FairValueGapStrategyFiltered,Short,1,12.000,11.986,7/5/2013 4:00:00 PM,7/5/2013 8:05:00 PM,FVG Short,Exit on session close,$133.88,$1167.60,$6.12,$180.00,$300.00,$166.12,18,
21,NG JAN26,Backtest,FairValueGapStrategyFiltered,Short,1,12.059,12.071,7/22/2013 4:00:00 PM,7/22/2013 8:05:00 PM,FVG Short,Exit on session close,($126.12),$1041.48,$6.12,$160.00,$240.00,$366.12,18,
22,NG JAN26,Backtest,FairValueGapStrategyFiltered,Short,1,11.999,11.953,7/26/2013 4:00:00 PM,7/26/2013 8:05:00 PM,FVG Short,Exit on session close,$453.88,$1495.36,$6.12,$60.00,$480.00,$26.12,18,
23,NG JAN26,Backtest,FairValueGapStrategyFiltered,Short,1,11.843,11.868,7/29/2013 4:00:00 PM,7/29/2013 7:15:00 PM,FVG Short,Stop loss,($256.12),$1239.24,$6.12,$250.00,$260.00,$516.12,14,
24,NG JAN26,Backtest,FairValueGapStrategyFiltered,Short,1,11.660,11.645,8/7/2013 4:00:00 PM,8/7/2013 8:05:00 PM,FVG Short,Exit on session close,$143.88,$1383.12,$6.12,$60.00,$310.00,$166.12,18,
25,NG JAN26,Backtest,FairValueGapStrategyFiltered,Short,1,11.681,11.706,8/13/2013 4:00:00 PM,8/13/2013 4:45:00 PM,FVG Short,Stop loss,($256.12),$1127.00,$6.12,$250.00,$120.00,$376.12,4,
