Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,8957.75,9057.75,1/4/2019 4:15:00 PM,1/4/2019 5:15:00 PM,FVG Long,Profit target,$2000.00,$2000.00,$0.00,$545.00,$2000.00,$0.00,5,
2,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,9091.25,9155.00,1/7/2019 3:45:00 PM,1/7/2019 11:00:00 PM,FVG Long,Exit on session close,$1275.00,$3275.00,$0.00,$380.00,$1890.00,$615.00,29,
3,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,9189.50,9239.50,1/10/2019 4:15:00 PM,1/10/2019 5:00:00 PM,FVG Short,Stop loss,($1000.00),$2275.00,$0.00,$1000.00,$60.00,$1060.00,4,
4,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,9294.75,9328.50,1/15/2019 4:15:00 PM,1/15/2019 11:00:00 PM,FVG Long,Exit on session close,$675.00,$2950.00,$0.00,$315.00,$885.00,$210.00,27,
5,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,9372.50,9322.50,1/16/2019 4:15:00 PM,1/16/2019 10:15:00 PM,FVG Long,Stop loss,($1000.00),$1950.00,$0.00,$1000.00,$195.00,$1195.00,25,
6,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,9338.75,9380.75,1/17/2019 4:15:00 PM,1/17/2019 11:00:00 PM,FVG Long,Exit on session close,$840.00,$2790.00,$0.00,$345.00,$1425.00,$585.00,27,
7,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,9431.50,9445.25,1/25/2019 4:30:00 PM,1/25/2019 11:00:00 PM,FVG Long,Exit on session close,$275.00,$3065.00,$0.00,$265.00,$580.00,$305.00,26,
8,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,9350.50,9348.75,1/28/2019 3:45:00 PM,1/28/2019 11:00:00 PM,FVG Short,Exit on session close,$35.00,$3100.00,$0.00,$140.00,$1045.00,$1010.00,29,
9,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,9331.25,9331.25,1/29/2019 4:00:00 PM,1/29/2019 11:00:00 PM,FVG Short,Exit on session close,$0.00,$3100.00,$0.00,$460.00,$1290.00,$1290.00,28,
10,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,9365.00,9465.00,1/30/2019 3:45:00 PM,1/30/2019 9:00:00 PM,FVG Long,Profit target,$2000.00,$5100.00,$0.00,$410.00,$2000.00,$0.00,22,
11,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,9525.75,9582.50,1/31/2019 4:15:00 PM,1/31/2019 11:00:00 PM,FVG Long,Exit on session close,$1135.00,$6235.00,$0.00,$100.00,$1345.00,$210.00,27,
12,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,9622.50,9662.50,2/5/2019 3:45:00 PM,2/5/2019 11:00:00 PM,FVG Long,Exit on session close,$800.00,$7035.00,$0.00,$60.00,$1225.00,$425.00,29,
13,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,9567.50,9554.50,2/7/2019 4:00:00 PM,2/7/2019 11:00:00 PM,FVG Short,Exit on session close,$260.00,$7295.00,$0.00,$835.00,$1225.00,$965.00,28,
14,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,9632.75,9670.50,2/12/2019 4:15:00 PM,2/12/2019 11:00:00 PM,FVG Long,Exit on session close,$755.00,$8050.00,$0.00,$5.00,$915.00,$160.00,27,
15,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,9722.25,9730.75,2/18/2019 4:30:00 PM,2/18/2019 7:00:00 PM,FVG Long,Exit on session close,$170.00,$8220.00,$0.00,$60.00,$210.00,$40.00,11,
16,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,9717.25,9718.50,2/19/2019 4:15:00 PM,2/19/2019 11:00:00 PM,FVG Long,Exit on session close,$25.00,$8245.00,$0.00,$130.00,$550.00,$525.00,27,
17,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,9673.50,9687.50,2/21/2019 4:15:00 PM,2/21/2019 11:00:00 PM,FVG Short,Exit on session close,($280.00),$7965.00,$0.00,$920.00,$370.00,$650.00,27,
18,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,9764.50,9761.25,2/26/2019 4:15:00 PM,2/26/2019 11:00:00 PM,FVG Long,Exit on session close,($65.00),$7900.00,$0.00,$240.00,$730.00,$795.00,27,
19,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,9761.25,9760.25,2/28/2019 4:15:00 PM,2/28/2019 11:00:00 PM,FVG Long,Exit on session close,($20.00),$7880.00,$0.00,$535.00,$390.00,$410.00,27,
20,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,9787.50,9808.75,3/5/2019 4:15:00 PM,3/5/2019 11:00:00 PM,FVG Short,Exit on session close,($425.00),$7455.00,$0.00,$890.00,$60.00,$485.00,27,
21,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,9716.25,9677.00,3/7/2019 4:00:00 PM,3/7/2019 11:00:00 PM,FVG Short,Exit on session close,$785.00,$8240.00,$0.00,$270.00,$1275.00,$490.00,28,
22,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,9768.25,9821.25,3/11/2019 4:15:00 PM,3/11/2019 10:00:00 PM,FVG Long,Exit on session close,$1060.00,$9300.00,$0.00,$75.00,$1130.00,$70.00,23,
23,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,9850.75,9860.50,3/12/2019 4:00:00 PM,3/12/2019 10:00:00 PM,FVG Long,Exit on session close,$195.00,$9495.00,$0.00,$290.00,$415.00,$220.00,24,
24,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,9923.75,9921.25,3/13/2019 4:30:00 PM,3/13/2019 10:00:00 PM,FVG Long,Exit on session close,($50.00),$9445.00,$0.00,$420.00,$430.00,$480.00,22,
25,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,10097.25,10151.00,3/21/2019 4:30:00 PM,3/21/2019 10:00:00 PM,FVG Long,Exit on session close,$1075.00,$10520.00,$0.00,$250.00,$1295.00,$220.00,22,
26,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,10064.75,9979.50,3/22/2019 4:30:00 PM,3/22/2019 10:00:00 PM,FVG Short,Exit on session close,$1705.00,$12225.00,$0.00,$115.00,$1815.00,$110.00,22,
27,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,9978.50,9944.00,3/27/2019 4:15:00 PM,3/27/2019 10:00:00 PM,FVG Short,Exit on session close,$690.00,$12915.00,$0.00,$145.00,$1630.00,$940.00,23,
28,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,9951.50,9976.00,3/28/2019 4:30:00 PM,3/28/2019 10:00:00 PM,FVG Short,Exit on session close,($490.00),$12425.00,$0.00,$540.00,$580.00,$1070.00,22,
29,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,10212.00,10162.00,4/4/2019 4:15:00 PM,4/4/2019 4:45:00 PM,FVG Long,Stop loss,($1000.00),$11425.00,$0.00,$1000.00,$70.00,$1070.00,3,
30,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,10197.00,10247.00,4/8/2019 4:15:00 PM,4/8/2019 10:00:00 PM,FVG Short,Stop loss,($1000.00),$10425.00,$0.00,$1000.00,$160.00,$1160.00,24,
31,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Short,1,10254.75,10272.25,4/15/2019 4:30:00 PM,4/15/2019 11:00:00 PM,FVG Short,Exit on session close,($350.00),$10075.00,$0.00,$495.00,$700.00,$1050.00,26,
32,NQ DEC25,Backtest,FairValueGapStrategyFiltered,Long,1,10347.50,10308.25,4/17/2019 3:45:00 PM,4/17/2019 11:00:00 PM,FVG Long,Exit on session close,($785.00),$9290.00,$0.00,$970.00,$140.00,$925.00,29,
