Ticker,Period,Net profit
BTC,2019-01-04 16:15:00,-490.92
BTC,2019-02-15 16:00:00,9.08
BTC,2019-02-25 15:45:00,-215.92
BTC,2019-02-27 15:30:00,-90.92
BTC,2019-03-11 15:45:00,-90.92
BTC,2019-03-21 16:00:00,34.08
BTC,2019-03-24 23:15:00,-15.92
BTC,2019-04-03 15:45:00,-315.92
BTC,2019-04-09 15:45:00,-265.92
BTC,2019-04-12 16:00:00,134.08
BTC,2019-04-30 16:00:00,59.08
BTC,2019-05-07 16:15:00,-1115.92
BTC,2019-05-09 16:15:00,684.08
BTC,2019-05-13 15:45:00,2234.08
BTC,2019-05-21 15:30:00,-290.92
BTC,2019-06-03 16:15:00,1809.08
BTC,2019-06-05 16:15:00,-90.92
BTC,2019-06-06 15:45:00,-640.92
BTC,2019-06-13 15:45:00,309.08
BTC,2019-06-20 15:45:00,1109.08
BTC,2019-06-26 15:30:00,-2515.92
BTC,2019-06-28 15:30:00,-2515.92
BTC,2019-07-05 16:15:00,834.08
BTC,2019-07-15 00:15:00,-2515.92
BTC,2019-07-15 15:30:00,-2515.92
BTC,2019-07-16 15:30:00,5259.08
BTC,2019-07-23 15:45:00,259.08
BTC,2019-07-24 16:00:00,-65.92
BTC,2019-07-26 15:30:00,-415.92
BTC,2019-07-30 16:00:00,-190.92
BTC,2019-07-31 16:00:00,934.08
BTC,2019-08-01 16:15:00,1909.08
BTC,2019-08-07 15:30:00,-2515.92
BTC,2019-08-08 16:15:00,-1765.92
BTC,2019-08-09 15:45:00,159.08
BTC,2019-08-13 15:30:00,1809.08
BTC,2019-08-14 16:15:00,2834.08
BTC,2019-08-23 16:15:00,-240.92
BTC,2019-08-28 15:45:00,-2515.92
BTC,2019-09-03 15:30:00,-240.92
BTC,2019-09-09 15:30:00,159.08
BTC,2019-09-10 15:45:00,659.08
BTC,2019-09-11 15:45:00,-815.92
BTC,2019-09-12 15:30:00,784.08
BTC,2019-09-16 16:15:00,-615.92
BTC,2019-09-17 16:15:00,-140.92
BTC,2019-09-26 15:45:00,1409.08
BTC,2019-09-30 16:00:00,984.08
BTC,2019-10-10 16:15:00,409.08
BTC,2019-10-14 15:30:00,-490.92
BTC,2019-10-24 15:45:00,134.08
BTC,2019-10-25 16:15:00,4684.08
BTC,2019-11-04 15:45:00,859.08
BTC,2019-11-05 15:30:00,-340.92
BTC,2019-11-06 15:30:00,-115.92
BTC,2019-11-08 16:15:00,-615.92
BTC,2019-11-13 16:00:00,34.08
BTC,2019-11-15 15:30:00,734.08
BTC,2019-11-21 16:00:00,984.08
BTC,2019-11-22 15:45:00,-2190.92
BTC,2019-12-02 16:15:00,34.08
BTC,2019-12-12 16:00:00,-265.92
BTC,2019-12-23 16:15:00,-1365.92
BTC,2019-12-24 16:15:00,634.08
BTC,2019-12-31 16:00:00,-515.92
BTC,2020-01-07 16:00:00,1509.08
BTC,2020-01-10 15:30:00,-940.92
BTC,2020-01-14 15:30:00,834.08
BTC,2020-01-30 16:15:00,909.08
BTC,2020-02-06 16:00:00,-465.92
BTC,2020-02-10 16:15:00,-165.92
BTC,2020-02-14 16:15:00,-615.92
BTC,2020-02-21 15:45:00,334.08
BTC,2020-02-25 15:45:00,759.08
BTC,2020-02-26 15:30:00,1534.08
BTC,2020-03-04 16:15:00,-215.92
BTC,2020-03-11 15:30:00,-465.92
BTC,2020-03-13 16:15:00,459.08
BTC,2020-03-17 16:00:00,384.08
BTC,2020-03-20 15:30:00,-2515.92
BTC,2020-03-26 16:15:00,-965.92
BTC,2020-03-31 15:30:00,-190.92
BTC,2020-04-01 16:15:00,-2515.92
BTC,2020-04-22 16:00:00,209.08
BTC,2020-04-23 16:15:00,1184.08
BTC,2020-04-28 15:30:00,-115.92
BTC,2020-04-29 15:30:00,2284.08
BTC,2020-05-07 16:00:00,2759.08
BTC,2020-05-11 15:30:00,1784.08
BTC,2020-05-12 15:45:00,-390.92
BTC,2020-05-21 16:15:00,1034.08
BTC,2020-05-22 15:45:00,-290.92
BTC,2020-06-04 15:45:00,184.08
BTC,2020-06-08 15:30:00,-490.92
BTC,2020-06-09 16:00:00,-440.92
BTC,2020-06-11 15:30:00,2109.08
BTC,2020-06-18 15:30:00,109.08
BTC,2020-06-25 16:15:00,-240.92
BTC,2020-06-26 16:00:00,-190.92
BTC,2020-06-29 15:45:00,-815.92
BTC,2020-07-01 16:15:00,34.08
BTC,2020-07-08 15:45:00,659.08
BTC,2020-07-10 16:00:00,-315.92
BTC,2020-07-21 15:45:00,-240.92
BTC,2020-07-24 15:45:00,259.08
BTC,2020-07-30 16:00:00,584.08
BTC,2020-08-04 15:45:00,-540.92
BTC,2020-08-05 15:30:00,734.08
BTC,2020-08-06 16:00:00,-640.92
BTC,2020-08-07 15:30:00,-2515.92
BTC,2020-08-17 16:00:00,609.08
BTC,2020-08-18 15:30:00,-1540.92
BTC,2020-08-19 16:00:00,409.08
BTC,2020-08-21 16:15:00,559.08
BTC,2020-08-25 16:15:00,534.08
BTC,2020-08-27 15:30:00,-840.92
BTC,2020-08-31 15:30:00,-565.92
BTC,2020-09-02 16:15:00,-415.92
BTC,2020-09-09 15:45:00,-90.92
BTC,2020-09-10 16:15:00,-565.92
BTC,2020-09-11 15:30:00,84.08
BTC,2020-09-14 15:30:00,434.08
BTC,2020-09-17 15:30:00,-965.92
BTC,2020-09-18 16:15:00,109.08
BTC,2020-09-24 16:15:00,-2015.92
BTC,2020-09-28 15:45:00,-1365.92
BTC,2020-10-02 15:45:00,-540.92
BTC,2020-10-08 15:45:00,909.08
BTC,2020-10-12 16:15:00,184.08
BTC,2020-10-13 16:15:00,-465.92
BTC,2020-10-14 16:15:00,-615.92
BTC,2020-10-15 16:15:00,459.08
BTC,2020-10-21 15:30:00,534.08
BTC,2020-10-28 15:30:00,-1615.92
BTC,2020-10-29 15:45:00,309.08
BTC,2020-11-16 15:45:00,1534.08
BTC,2020-11-17 15:45:00,2959.08
BTC,2020-11-20 16:15:00,-490.92
BTC,2020-11-23 15:30:00,-2515.92
BTC,2020-11-26 15:30:00,-1515.92
BTC,2020-11-27 15:45:00,384.08
BTC,2020-11-30 15:30:00,2559.08
BTC,2020-12-02 16:00:00,-1765.92
BTC,2020-12-08 16:15:00,2909.08
BTC,2020-12-15 15:30:00,209.08
BTC,2020-12-22 15:30:00,1184.08
BTC,2021-01-05 16:15:00,-2515.92
BTC,2021-01-07 15:45:00,-2515.92
BTC,2021-01-12 16:00:00,-2515.92
BTC,2021-01-14 15:30:00,-2515.92
BTC,2021-01-15 15:45:00,5659.08
BTC,2021-01-18 16:15:00,-940.92
BTC,2021-01-21 15:30:00,-2515.92
BTC,2021-01-27 15:30:00,-2515.92
BTC,2021-01-28 15:30:00,7259.08
BTC,2021-02-01 15:30:00,-2515.92
BTC,2021-02-05 15:30:00,-2515.92
BTC,2021-02-09 15:30:00,859.08
BTC,2021-02-17 15:30:00,5259.08
