Ticker_1,Ticker_2,Correlation
ES,NQ,0.5952120282896517
FDAX,FESX,0.4336200921823036
BTC,NQ,0.0816081731902189
BTC,FDAX,0.05537013425527909
ES,FDAX,0.02899744149853589
FESX,GC,0.02838443546817384
BTC,ES,0.024412411218687334
BTC,GC,0.01978001340248766
BTC,FESX,0.017529665724655905
FDAX,GC,0.005304549546826679
FDAX,NQ,-0.008504549987371317
FESX,NG,-0.015355267753134564
ES,FESX,-0.019535958036416723
ES,GC,-0.023578303158682368
FESX,NQ,-0.03191522024741339
GC,NQ,-0.039976801470592634
BTC,NG,-0.0866233663474056
GC,NG,-0.10445287287954674
FDAX,NG,-0.11447238805853822
NG,NQ,-0.11941786709424913
ES,NG,-0.14616044400182038
