Ticker_1,Ticker_2,Correlation
ES,NQ,0.524716024548424
FDAX,FESX,0.3945887369522392
BTC,NQ,0.08433335766375433
FESX,GC,0.0485927428615543
FESX,NG,0.04162102771795774
BTC,FDAX,0.03382910612563905
BTC,FESX,0.03170230973043629
ES,FDAX,0.030455444216489092
BTC,ES,0.017981542475115887
FDAX,GC,0.012939283252097955
FDAX,NG,0.010908603063668865
BTC,GC,0.008481702690151745
BTC,NG,0.001540905489513543
FDAX,NQ,0.0012638318110137577
ES,FESX,-0.005607011354855338
FESX,NQ,-0.01193990982634629
GC,NG,-0.012337790052973429
GC,NQ,-0.019791042278280987
ES,GC,-0.028662729327106718
ES,NG,-0.033895671210751696
NG,NQ,-0.03825359147581657
