Period;#;Cum. net profit;Net profit;Gross profit;Gross loss;Commission;Cum. max. drawdown;Max. drawdown;% Win;Avg. trade;Avg. winner;Avg. loser;Lrg. winner;Lrg. loser;MTR;Avg. MAE;Avg. MFE;Avg. ETD;% Trade;
04/01/2019;1;784,32 $;784,32 $;784,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;784,32 $;784,32 $;0,00 $;784,32 $;0,00 $;15,00;640,00 $;790,00 $;5,68 $;0,09%;
07/01/2019;1;1373,64 $;589,32 $;589,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;589,32 $;589,32 $;0,00 $;589,32 $;0,00 $;60,00;130,00 $;595,00 $;5,68 $;0,09%;
09/01/2019;1;622,96 $;-750,68 $;0,00 $;-750,68 $;5,68 $;-750,68 $;-750,68 $;0,00%;-750,68 $;0,00 $;-750,68 $;0,00 $;-750,68 $;35,00;745,00 $;130,00 $;880,68 $;0,09%;
10/01/2019;1;1007,28 $;384,32 $;384,32 $;0,00 $;5,68 $;-366,36 $;0,00 $;100,00%;384,32 $;384,32 $;0,00 $;384,32 $;0,00 $;30,00;155,00 $;390,00 $;5,68 $;0,09%;
11/01/2019;1;1211,60 $;204,32 $;204,32 $;0,00 $;5,68 $;-162,04 $;0,00 $;100,00%;204,32 $;204,32 $;0,00 $;204,32 $;0,00 $;265,00;465,00 $;230,00 $;25,68 $;0,09%;
14/01/2019;1;835,92 $;-375,68 $;0,00 $;-375,68 $;5,68 $;-537,72 $;-375,68 $;0,00%;-375,68 $;0,00 $;-375,68 $;0,00 $;-375,68 $;375,00;490,00 $;295,00 $;670,68 $;0,09%;
15/01/2019;1;1075,24 $;239,32 $;239,32 $;0,00 $;5,68 $;-298,40 $;0,00 $;100,00%;239,32 $;239,32 $;0,00 $;239,32 $;0,00 $;410,00;745,00 $;455,00 $;215,68 $;0,09%;
17/01/2019;1;1474,56 $;399,32 $;399,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;399,32 $;399,32 $;0,00 $;399,32 $;0,00 $;270,00;220,00 $;405,00 $;5,68 $;0,09%;
18/01/2019;1;2018,88 $;544,32 $;544,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;544,32 $;544,32 $;0,00 $;544,32 $;0,00 $;75,00;60,00 $;550,00 $;5,68 $;0,09%;
25/01/2019;1;2183,20 $;164,32 $;164,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;164,32 $;164,32 $;0,00 $;164,32 $;0,00 $;30,00;235,00 $;170,00 $;5,68 $;0,09%;
30/01/2019;1;2382,52 $;199,32 $;199,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;199,32 $;199,32 $;0,00 $;199,32 $;0,00 $;95,00;215,00 $;205,00 $;5,68 $;0,09%;
31/01/2019;1;2586,84 $;204,32 $;204,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;204,32 $;204,32 $;0,00 $;204,32 $;0,00 $;10,00;140,00 $;210,00 $;5,68 $;0,09%;
01/02/2019;1;1496,16 $;-1090,68 $;0,00 $;-1090,68 $;5,68 $;-1090,68 $;-1090,68 $;0,00%;-1090,68 $;0,00 $;-1090,68 $;0,00 $;-1090,68 $;200,00;1085,00 $;25,00 $;1115,68 $;0,09%;
04/02/2019;1;2275,48 $;779,32 $;779,32 $;0,00 $;5,68 $;-311,36 $;0,00 $;100,00%;779,32 $;779,32 $;0,00 $;779,32 $;0,00 $;55,00;30,00 $;785,00 $;5,68 $;0,09%;
05/02/2019;1;2214,80 $;-60,68 $;0,00 $;-60,68 $;5,68 $;-372,04 $;-60,68 $;0,00%;-60,68 $;0,00 $;-60,68 $;0,00 $;-60,68 $;375,00;670,00 $;370,00 $;430,68 $;0,09%;
07/02/2019;1;1419,12 $;-795,68 $;0,00 $;-795,68 $;5,68 $;-1167,72 $;-795,68 $;0,00%;-795,68 $;0,00 $;-795,68 $;0,00 $;-795,68 $;15,00;790,00 $;25,00 $;820,68 $;0,09%;
08/02/2019;1;1923,44 $;504,32 $;504,32 $;0,00 $;5,68 $;-663,40 $;0,00 $;100,00%;504,32 $;504,32 $;0,00 $;504,32 $;0,00 $;70,00;115,00 $;510,00 $;5,68 $;0,09%;
12/02/2019;1;2597,76 $;674,32 $;674,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;674,32 $;674,32 $;0,00 $;674,32 $;0,00 $;245,00;130,00 $;680,00 $;5,68 $;0,09%;
14/02/2019;1;2982,08 $;384,32 $;384,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;384,32 $;384,32 $;0,00 $;384,32 $;0,00 $;125,00;430,00 $;390,00 $;5,68 $;0,09%;
18/02/2019;1;3056,40 $;74,32 $;74,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;74,32 $;74,32 $;0,00 $;74,32 $;0,00 $;30,00;10,00 $;80,00 $;5,68 $;0,09%;
19/02/2019;1;3070,72 $;14,32 $;14,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;14,32 $;14,32 $;0,00 $;14,32 $;0,00 $;405,00;135,00 $;545,00 $;530,68 $;0,09%;
20/02/2019;1;2555,04 $;-515,68 $;0,00 $;-515,68 $;5,68 $;-515,68 $;-515,68 $;0,00%;-515,68 $;0,00 $;-515,68 $;0,00 $;-515,68 $;85,00;510,00 $;95,00 $;610,68 $;0,09%;
21/02/2019;1;1539,36 $;-1015,68 $;0,00 $;-1015,68 $;5,68 $;-1531,36 $;-1015,68 $;0,00%;-1015,68 $;0,00 $;-1015,68 $;0,00 $;-1015,68 $;105,00;1010,00 $;35,00 $;1050,68 $;0,09%;
22/02/2019;1;1928,68 $;389,32 $;389,32 $;0,00 $;5,68 $;-1142,04 $;0,00 $;100,00%;389,32 $;389,32 $;0,00 $;389,32 $;0,00 $;65,00;200,00 $;395,00 $;5,68 $;0,09%;
26/02/2019;1;2193,00 $;264,32 $;264,32 $;0,00 $;5,68 $;-877,72 $;0,00 $;100,00%;264,32 $;264,32 $;0,00 $;264,32 $;0,00 $;285,00;560,00 $;270,00 $;5,68 $;0,09%;
