Period;#;Cum. net profit;Net profit;Gross profit;Gross loss;Commission;Cum. max. drawdown;Max. drawdown;% Win;Avg. trade;Avg. winner;Avg. loser;Lrg. winner;Lrg. loser;MTR;Avg. MAE;Avg. MFE;Avg. ETD;% Trade;
04/01/2019;1;79,32 $;79,32 $;79,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;79,32 $;79,32 $;0,00 $;79,32 $;0,00 $;5,00;245,00 $;85,00 $;5,68 $;0,09%;
07/01/2019;1;618,64 $;539,32 $;539,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;539,32 $;539,32 $;0,00 $;539,32 $;0,00 $;55,00;235,00 $;545,00 $;5,68 $;0,09%;
09/01/2019;1;377,96 $;-240,68 $;0,00 $;-240,68 $;5,68 $;-240,68 $;-240,68 $;0,00%;-240,68 $;0,00 $;-240,68 $;0,00 $;-240,68 $;285,00;465,00 $;595,00 $;835,68 $;0,09%;
10/01/2019;1;607,28 $;229,32 $;229,32 $;0,00 $;5,68 $;-11,36 $;0,00 $;100,00%;229,32 $;229,32 $;0,00 $;229,32 $;0,00 $;15,00;215,00 $;235,00 $;5,68 $;0,09%;
11/01/2019;1;676,60 $;69,32 $;69,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;69,32 $;69,32 $;0,00 $;69,32 $;0,00 $;250,00;600,00 $;95,00 $;25,68 $;0,09%;
14/01/2019;1;790,92 $;114,32 $;114,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;114,32 $;114,32 $;0,00 $;114,32 $;0,00 $;5,00;25,00 $;120,00 $;5,68 $;0,09%;
15/01/2019;1;745,24 $;-45,68 $;0,00 $;-45,68 $;5,68 $;-45,68 $;-45,68 $;0,00%;-45,68 $;0,00 $;-45,68 $;0,00 $;-45,68 $;280,00;1030,00 $;170,00 $;215,68 $;0,09%;
17/01/2019;1;579,56 $;-165,68 $;0,00 $;-165,68 $;5,68 $;-211,36 $;-165,68 $;0,00%;-165,68 $;0,00 $;-165,68 $;0,00 $;-165,68 $;0,00;160,00 $;0,00 $;165,68 $;0,09%;
18/01/2019;1;603,88 $;24,32 $;24,32 $;0,00 $;5,68 $;-187,04 $;0,00 $;100,00%;24,32 $;24,32 $;0,00 $;24,32 $;0,00 $;0,00;0,00 $;30,00 $;5,68 $;0,09%;
21/01/2019;1;653,20 $;49,32 $;49,32 $;0,00 $;5,68 $;-137,72 $;0,00 $;100,00%;49,32 $;49,32 $;0,00 $;49,32 $;0,00 $;65,00;85,00 $;160,00 $;110,68 $;0,09%;
25/01/2019;1;822,52 $;169,32 $;169,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;169,32 $;169,32 $;0,00 $;169,32 $;0,00 $;355,00;205,00 $;480,00 $;310,68 $;0,09%;
28/01/2019;1;276,84 $;-545,68 $;0,00 $;-545,68 $;5,68 $;-545,68 $;-545,68 $;0,00%;-545,68 $;0,00 $;-545,68 $;0,00 $;-545,68 $;80,00;540,00 $;345,00 $;890,68 $;0,09%;
30/01/2019;1;796,16 $;519,32 $;519,32 $;0,00 $;5,68 $;-26,36 $;0,00 $;100,00%;519,32 $;519,32 $;0,00 $;519,32 $;0,00 $;90,00;225,00 $;525,00 $;5,68 $;0,09%;
31/01/2019;1;1380,48 $;584,32 $;584,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;584,32 $;584,32 $;0,00 $;584,32 $;0,00 $;80,00;120,00 $;590,00 $;5,68 $;0,09%;
01/02/2019;1;589,80 $;-790,68 $;0,00 $;-790,68 $;5,68 $;-790,68 $;-790,68 $;0,00%;-790,68 $;0,00 $;-790,68 $;0,00 $;-790,68 $;190,00;785,00 $;215,00 $;1005,68 $;0,09%;
04/02/2019;1;1254,12 $;664,32 $;664,32 $;0,00 $;5,68 $;-126,36 $;0,00 $;100,00%;664,32 $;664,32 $;0,00 $;664,32 $;0,00 $;45,00;25,00 $;670,00 $;5,68 $;0,09%;
05/02/2019;1;658,44 $;-595,68 $;0,00 $;-595,68 $;5,68 $;-722,04 $;-595,68 $;0,00%;-595,68 $;0,00 $;-595,68 $;0,00 $;-595,68 $;120,00;590,00 $;80,00 $;675,68 $;0,09%;
07/02/2019;1;-87,24 $;-745,68 $;0,00 $;-745,68 $;5,68 $;-1467,72 $;-745,68 $;0,00%;-745,68 $;0,00 $;-745,68 $;0,00 $;-745,68 $;10,00;740,00 $;90,00 $;835,68 $;0,09%;
08/02/2019;1;422,08 $;509,32 $;509,32 $;0,00 $;5,68 $;-958,40 $;0,00 $;100,00%;509,32 $;509,32 $;0,00 $;509,32 $;0,00 $;70,00;115,00 $;515,00 $;5,68 $;0,09%;
12/02/2019;1;666,40 $;244,32 $;244,32 $;0,00 $;5,68 $;-714,08 $;0,00 $;100,00%;244,32 $;244,32 $;0,00 $;244,32 $;0,00 $;160,00;125,00 $;250,00 $;5,68 $;0,09%;
14/02/2019;1;230,72 $;-435,68 $;0,00 $;-435,68 $;5,68 $;-1149,76 $;-435,68 $;0,00%;-435,68 $;0,00 $;-435,68 $;0,00 $;-435,68 $;275,00;470,00 $;325,00 $;760,68 $;0,09%;
18/02/2019;1;360,04 $;129,32 $;129,32 $;0,00 $;5,68 $;-1020,44 $;0,00 $;100,00%;129,32 $;129,32 $;0,00 $;129,32 $;0,00 $;120,00;105,00 $;135,00 $;5,68 $;0,09%;
