Period;#;Cum. net profit;Net profit;Gross profit;Gross loss;Commission;Cum. max. drawdown;Max. drawdown;% Win;Avg. trade;Avg. winner;Avg. loser;Lrg. winner;Lrg. loser;MTR;Avg. MAE;Avg. MFE;Avg. ETD;% Trade;
02/01/2019;1;-675,68 $;-675,68 $;0,00 $;-675,68 $;5,68 $;-675,68 $;-675,68 $;0,00%;-675,68 $;0,00 $;-675,68 $;0,00 $;-675,68 $;5,00;670,00 $;95,00 $;770,68 $;0,06%;
03/01/2019;1;-151,36 $;524,32 $;524,32 $;0,00 $;5,68 $;-151,36 $;0,00 $;100,00%;524,32 $;524,32 $;0,00 $;524,32 $;0,00 $;30,00;530,00 $;795,00 $;270,68 $;0,06%;
04/01/2019;1;-987,04 $;-835,68 $;0,00 $;-835,68 $;5,68 $;-987,04 $;-835,68 $;0,00%;-835,68 $;0,00 $;-835,68 $;0,00 $;-835,68 $;25,00;830,00 $;360,00 $;1195,68 $;0,06%;
07/01/2019;1;-1537,72 $;-550,68 $;0,00 $;-550,68 $;5,68 $;-1537,72 $;-550,68 $;0,00%;-550,68 $;0,00 $;-550,68 $;0,00 $;-550,68 $;25,00;545,00 $;175,00 $;725,68 $;0,06%;
08/01/2019;1;-2038,40 $;-500,68 $;0,00 $;-500,68 $;5,68 $;-2038,40 $;-500,68 $;0,00%;-500,68 $;0,00 $;-500,68 $;0,00 $;-500,68 $;15,00;495,00 $;55,00 $;555,68 $;0,06%;
09/01/2019;1;-1569,08 $;469,32 $;469,32 $;0,00 $;5,68 $;-1569,08 $;0,00 $;100,00%;469,32 $;469,32 $;0,00 $;469,32 $;0,00 $;40,00;280,00 $;605,00 $;135,68 $;0,06%;
10/01/2019;1;-1799,76 $;-230,68 $;0,00 $;-230,68 $;5,68 $;-1799,76 $;-230,68 $;0,00%;-230,68 $;0,00 $;-230,68 $;0,00 $;-230,68 $;25,00;465,00 $;240,00 $;470,68 $;0,06%;
11/01/2019;1;-1960,44 $;-160,68 $;0,00 $;-160,68 $;5,68 $;-1960,44 $;-160,68 $;0,00%;-160,68 $;0,00 $;-160,68 $;0,00 $;-160,68 $;25,00;470,00 $;95,00 $;255,68 $;0,06%;
14/01/2019;1;-1866,12 $;94,32 $;94,32 $;0,00 $;5,68 $;-1866,12 $;0,00 $;100,00%;94,32 $;94,32 $;0,00 $;94,32 $;0,00 $;25,00;130,00 $;395,00 $;300,68 $;0,06%;
15/01/2019;1;-2386,80 $;-520,68 $;0,00 $;-520,68 $;5,68 $;-2386,80 $;-520,68 $;0,00%;-520,68 $;0,00 $;-520,68 $;0,00 $;-520,68 $;0,00;515,00 $;0,00 $;520,68 $;0,06%;
16/01/2019;1;-2702,48 $;-315,68 $;0,00 $;-315,68 $;5,68 $;-2702,48 $;-315,68 $;0,00%;-315,68 $;0,00 $;-315,68 $;0,00 $;-315,68 $;10,00;310,00 $;85,00 $;400,68 $;0,06%;
17/01/2019;1;-2913,16 $;-210,68 $;0,00 $;-210,68 $;5,68 $;-2913,16 $;-210,68 $;0,00%;-210,68 $;0,00 $;-210,68 $;0,00 $;-210,68 $;40,00;270,00 $;70,00 $;280,68 $;0,06%;
18/01/2019;1;-2578,84 $;334,32 $;334,32 $;0,00 $;5,68 $;-2578,84 $;0,00 $;100,00%;334,32 $;334,32 $;0,00 $;334,32 $;0,00 $;40,00;415,00 $;545,00 $;210,68 $;0,06%;
21/01/2019;1;-2234,52 $;344,32 $;344,32 $;0,00 $;5,68 $;-2234,52 $;0,00 $;100,00%;344,32 $;344,32 $;0,00 $;344,32 $;0,00 $;10,00;30,00 $;350,00 $;5,68 $;0,06%;
22/01/2019;1;-2640,20 $;-405,68 $;0,00 $;-405,68 $;5,68 $;-2640,20 $;-405,68 $;0,00%;-405,68 $;0,00 $;-405,68 $;0,00 $;-405,68 $;15,00;400,00 $;140,00 $;545,68 $;0,06%;
23/01/2019;1;-3055,88 $;-415,68 $;0,00 $;-415,68 $;5,68 $;-3055,88 $;-415,68 $;0,00%;-415,68 $;0,00 $;-415,68 $;0,00 $;-415,68 $;15,00;410,00 $;60,00 $;475,68 $;0,06%;
24/01/2019;1;-2491,56 $;564,32 $;564,32 $;0,00 $;5,68 $;-2491,56 $;0,00 $;100,00%;564,32 $;564,32 $;0,00 $;564,32 $;0,00 $;40,00;150,00 $;750,00 $;185,68 $;0,06%;
25/01/2019;1;-2767,24 $;-275,68 $;0,00 $;-275,68 $;5,68 $;-2767,24 $;-275,68 $;0,00%;-275,68 $;0,00 $;-275,68 $;0,00 $;-275,68 $;40,00;370,00 $;95,00 $;370,68 $;0,06%;
28/01/2019;1;-3357,92 $;-590,68 $;0,00 $;-590,68 $;5,68 $;-3357,92 $;-590,68 $;0,00%;-590,68 $;0,00 $;-590,68 $;0,00 $;-590,68 $;15,00;585,00 $;20,00 $;610,68 $;0,06%;
29/01/2019;1;-3718,60 $;-360,68 $;0,00 $;-360,68 $;5,68 $;-3718,60 $;-360,68 $;0,00%;-360,68 $;0,00 $;-360,68 $;0,00 $;-360,68 $;5,00;355,00 $;45,00 $;405,68 $;0,06%;
30/01/2019;1;-4134,28 $;-415,68 $;0,00 $;-415,68 $;5,68 $;-4134,28 $;-415,68 $;0,00%;-415,68 $;0,00 $;-415,68 $;0,00 $;-415,68 $;10,00;410,00 $;5,00 $;420,68 $;0,06%;
31/01/2019;1;-3489,96 $;644,32 $;644,32 $;0,00 $;5,68 $;-3489,96 $;0,00 $;100,00%;644,32 $;644,32 $;0,00 $;644,32 $;0,00 $;40,00;60,00 $;725,00 $;80,68 $;0,06%;
01/02/2019;1;-3025,64 $;464,32 $;464,32 $;0,00 $;5,68 $;-3025,64 $;0,00 $;100,00%;464,32 $;464,32 $;0,00 $;464,32 $;0,00 $;40,00;195,00 $;490,00 $;25,68 $;0,06%;
04/02/2019;1;-3371,32 $;-345,68 $;0,00 $;-345,68 $;5,68 $;-3371,32 $;-345,68 $;0,00%;-345,68 $;0,00 $;-345,68 $;0,00 $;-345,68 $;15,00;340,00 $;330,00 $;675,68 $;0,06%;
05/02/2019;1;-3687,00 $;-315,68 $;0,00 $;-315,68 $;5,68 $;-3687,00 $;-315,68 $;0,00%;-315,68 $;0,00 $;-315,68 $;0,00 $;-315,68 $;10,00;310,00 $;35,00 $;350,68 $;0,06%;
