Period;#;Cum. net profit;Net profit;Gross profit;Gross loss;Commission;Cum. max. drawdown;Max. drawdown;% Win;Avg. trade;Avg. winner;Avg. loser;Lrg. winner;Lrg. loser;MTR;Avg. MAE;Avg. MFE;Avg. ETD;% Trade;
06/02/2019;1;-105,76 $;-105,76 $;0,00 $;-105,76 $;5,76 $;-105,76 $;-105,76 $;0,00%;-105,76 $;0,00 $;-105,76 $;0,00 $;-105,76 $;0,00;112,50 $;12,50 $;118,26 $;0,07%;
07/02/2019;1;138,48 $;244,24 $;244,24 $;0,00 $;5,76 $;0,00 $;0,00 $;100,00%;244,24 $;244,24 $;0,00 $;244,24 $;0,00 $;90,00;262,50 $;375,00 $;130,76 $;0,07%;
08/02/2019;1;920,22 $;781,74 $;781,74 $;0,00 $;5,76 $;0,00 $;0,00 $;100,00%;781,74 $;781,74 $;0,00 $;781,74 $;0,00 $;150,00;50,00 $;837,50 $;55,76 $;0,07%;
11/02/2019;1;976,96 $;56,74 $;56,74 $;0,00 $;5,76 $;0,00 $;0,00 $;100,00%;56,74 $;56,74 $;0,00 $;56,74 $;0,00 $;240,00;275,00 $;187,50 $;130,76 $;0,07%;
12/02/2019;1;1208,70 $;231,74 $;231,74 $;0,00 $;5,76 $;0,00 $;0,00 $;100,00%;231,74 $;231,74 $;0,00 $;231,74 $;0,00 $;210,00;62,50 $;375,00 $;143,26 $;0,07%;
13/02/2019;1;1490,44 $;281,74 $;281,74 $;0,00 $;5,76 $;0,00 $;0,00 $;100,00%;281,74 $;281,74 $;0,00 $;281,74 $;0,00 $;240,00;225,00 $;287,50 $;5,76 $;0,07%;
14/02/2019;1;1059,68 $;-430,76 $;0,00 $;-430,76 $;5,76 $;-430,76 $;-430,76 $;0,00%;-430,76 $;0,00 $;-430,76 $;0,00 $;-430,76 $;210,00;537,50 $;250,00 $;680,76 $;0,07%;
15/02/2019;1;1553,92 $;494,24 $;494,24 $;0,00 $;5,76 $;0,00 $;0,00 $;100,00%;494,24 $;494,24 $;0,00 $;494,24 $;0,00 $;90,00;62,50 $;537,50 $;43,26 $;0,07%;
19/02/2019;1;2010,66 $;456,74 $;456,74 $;0,00 $;5,76 $;0,00 $;0,00 $;100,00%;456,74 $;456,74 $;0,00 $;456,74 $;0,00 $;240,00;12,50 $;650,00 $;193,26 $;0,07%;
20/02/2019;2;2049,14 $;38,48 $;69,24 $;-30,76 $;11,52 $;-30,76 $;-30,76 $;50,00%;19,24 $;69,24 $;-30,76 $;69,24 $;-30,76 $;270,00;256,25 $;206,25 $;187,01 $;0,14%;
22/02/2019;1;1918,38 $;-130,76 $;0,00 $;-130,76 $;5,76 $;-161,52 $;-130,76 $;0,00%;-130,76 $;0,00 $;-130,76 $;0,00 $;-130,76 $;240,00;550,00 $;112,50 $;243,26 $;0,07%;
25/02/2019;1;1837,62 $;-80,76 $;0,00 $;-80,76 $;5,76 $;-242,28 $;-80,76 $;0,00%;-80,76 $;0,00 $;-80,76 $;0,00 $;-80,76 $;30,00;112,50 $;212,50 $;293,26 $;0,07%;
26/02/2019;2;1676,10 $;-161,52 $;0,00 $;-161,52 $;11,52 $;-403,80 $;-161,52 $;0,00%;-80,76 $;0,00 $;-80,76 $;0,00 $;-130,76 $;270,00;250,00 $;87,50 $;168,26 $;0,14%;
