Period;#;Cum. net profit;Net profit;Gross profit;Gross loss;Commission;Cum. max. drawdown;Max. drawdown;% Win;Avg. trade;Avg. winner;Avg. loser;Lrg. winner;Lrg. loser;MTR;Avg. MAE;Avg. MFE;Avg. ETD;% Trade;
06/02/2019;1;4,32 $;4,32 $;4,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;4,32 $;4,32 $;0,00 $;4,32 $;0,00 $;0,00;20,00 $;55,00 $;50,68 $;0,07%;
07/02/2019;1;-66,36 $;-70,68 $;0,00 $;-70,68 $;5,68 $;-70,68 $;-70,68 $;0,00%;-70,68 $;0,00 $;-70,68 $;0,00 $;-70,68 $;90,00;180,00 $;130,00 $;200,68 $;0,07%;
08/02/2019;1;387,96 $;454,32 $;454,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;454,32 $;454,32 $;0,00 $;454,32 $;0,00 $;150,00;40,00 $;470,00 $;15,68 $;0,07%;
11/02/2019;1;657,28 $;269,32 $;269,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;269,32 $;269,32 $;0,00 $;269,32 $;0,00 $;240,00;145,00 $;310,00 $;40,68 $;0,07%;
12/02/2019;1;791,60 $;134,32 $;134,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;134,32 $;134,32 $;0,00 $;134,32 $;0,00 $;210,00;65,00 $;190,00 $;55,68 $;0,07%;
13/02/2019;1;1175,92 $;384,32 $;384,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;384,32 $;384,32 $;0,00 $;384,32 $;0,00 $;240,00;125,00 $;410,00 $;25,68 $;0,07%;
14/02/2019;1;950,24 $;-225,68 $;0,00 $;-225,68 $;5,68 $;-225,68 $;-225,68 $;0,00%;-225,68 $;0,00 $;-225,68 $;0,00 $;-225,68 $;210,00;275,00 $;165,00 $;390,68 $;0,07%;
15/02/2019;1;1339,56 $;389,32 $;389,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;389,32 $;389,32 $;0,00 $;389,32 $;0,00 $;90,00;5,00 $;420,00 $;30,68 $;0,07%;
19/02/2019;1;1603,88 $;264,32 $;264,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;264,32 $;264,32 $;0,00 $;264,32 $;0,00 $;240,00;15,00 $;375,00 $;110,68 $;0,07%;
20/02/2019;2;1837,52 $;233,64 $;234,32 $;-0,68 $;11,36 $;-0,68 $;-0,68 $;50,00%;116,82 $;234,32 $;-0,68 $;234,32 $;-0,68 $;270,00;75,00 $;170,00 $;53,18 $;0,14%;
22/02/2019;1;1871,84 $;34,32 $;34,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;34,32 $;34,32 $;0,00 $;34,32 $;0,00 $;240,00;235,00 $;135,00 $;100,68 $;0,07%;
25/02/2019;1;1856,16 $;-15,68 $;0,00 $;-15,68 $;5,68 $;-15,68 $;-15,68 $;0,00%;-15,68 $;0,00 $;-15,68 $;0,00 $;-15,68 $;30,00;15,00 $;185,00 $;200,68 $;0,07%;
26/02/2019;2;1639,80 $;-216,36 $;0,00 $;-216,36 $;11,36 $;-232,04 $;-216,36 $;0,00%;-108,18 $;0,00 $;-108,18 $;0,00 $;-150,68 $;270,00;205,00 $;42,50 $;150,68 $;0,14%;
28/02/2019;1;1454,12 $;-185,68 $;0,00 $;-185,68 $;5,68 $;-417,72 $;-185,68 $;0,00%;-185,68 $;0,00 $;-185,68 $;0,00 $;-185,68 $;210,00;340,00 $;75,00 $;260,68 $;0,07%;
04/03/2019;1;1463,44 $;9,32 $;9,32 $;0,00 $;5,68 $;-408,40 $;0,00 $;100,00%;9,32 $;9,32 $;0,00 $;9,32 $;0,00 $;30,00;30,00 $;130,00 $;120,68 $;0,07%;
