Period;#;Cum. net profit;Net profit;Gross profit;Gross loss;Commission;Cum. max. drawdown;Max. drawdown;% Win;Avg. trade;Avg. winner;Avg. loser;Lrg. winner;Lrg. loser;MTR;Avg. MAE;Avg. MFE;Avg. ETD;% Trade;
07/01/2020;1;-710,68 $;-710,68 $;0,00 $;-710,68 $;5,68 $;-710,68 $;-710,68 $;0,00%;-710,68 $;0,00 $;-710,68 $;0,00 $;-710,68 $;150,00;1075,00 $;110,00 $;820,68 $;0,09%;
08/01/2020;1;448,64 $;1159,32 $;1159,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;1159,32 $;1159,32 $;0,00 $;1159,32 $;0,00 $;240,00;550,00 $;1280,00 $;120,68 $;0,09%;
09/01/2020;1;352,96 $;-95,68 $;0,00 $;-95,68 $;5,68 $;-95,68 $;-95,68 $;0,00%;-95,68 $;0,00 $;-95,68 $;0,00 $;-95,68 $;240,00;925,00 $;300,00 $;395,68 $;0,09%;
10/01/2020;1;-377,72 $;-730,68 $;0,00 $;-730,68 $;5,68 $;-826,36 $;-730,68 $;0,00%;-730,68 $;0,00 $;-730,68 $;0,00 $;-730,68 $;240,00;840,00 $;85,00 $;815,68 $;0,09%;
13/01/2020;1;106,60 $;484,32 $;484,32 $;0,00 $;5,68 $;-342,04 $;0,00 $;100,00%;484,32 $;484,32 $;0,00 $;484,32 $;0,00 $;240,00;110,00 $;695,00 $;210,68 $;0,09%;
14/01/2020;1;-304,08 $;-410,68 $;0,00 $;-410,68 $;5,68 $;-752,72 $;-410,68 $;0,00%;-410,68 $;0,00 $;-410,68 $;0,00 $;-410,68 $;240,00;600,00 $;600,00 $;1010,68 $;0,09%;
15/01/2020;1;-704,76 $;-400,68 $;0,00 $;-400,68 $;5,68 $;-1153,40 $;-400,68 $;0,00%;-400,68 $;0,00 $;-400,68 $;0,00 $;-400,68 $;210,00;1140,00 $;90,00 $;490,68 $;0,09%;
16/01/2020;1;169,56 $;874,32 $;874,32 $;0,00 $;5,68 $;-279,08 $;0,00 $;100,00%;874,32 $;874,32 $;0,00 $;874,32 $;0,00 $;150,00;55,00 $;915,00 $;40,68 $;0,09%;
17/01/2020;1;458,88 $;289,32 $;289,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;289,32 $;289,32 $;0,00 $;289,32 $;0,00 $;90,00;195,00 $;645,00 $;355,68 $;0,09%;
21/01/2020;1;638,20 $;179,32 $;179,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;179,32 $;179,32 $;0,00 $;179,32 $;0,00 $;90,00;165,00 $;530,00 $;350,68 $;0,09%;
22/01/2020;1;87,52 $;-550,68 $;0,00 $;-550,68 $;5,68 $;-550,68 $;-550,68 $;0,00%;-550,68 $;0,00 $;-550,68 $;0,00 $;-550,68 $;210,00;695,00 $;450,00 $;1000,68 $;0,09%;
23/01/2020;2;811,16 $;723,64 $;723,64 $;0,00 $;11,36 $;-316,36 $;0,00 $;100,00%;361,82 $;361,82 $;0,00 $;489,32 $;0,00 $;240,00;347,50 $;462,50 $;100,68 $;0,19%;
28/01/2020;1;795,48 $;-15,68 $;0,00 $;-15,68 $;5,68 $;-15,68 $;-15,68 $;0,00%;-15,68 $;0,00 $;-15,68 $;0,00 $;-15,68 $;210,00;395,00 $;350,00 $;365,68 $;0,09%;
29/01/2020;1;1064,80 $;269,32 $;269,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;269,32 $;269,32 $;0,00 $;269,32 $;0,00 $;240,00;290,00 $;705,00 $;435,68 $;0,09%;
03/02/2020;1;644,12 $;-420,68 $;0,00 $;-420,68 $;5,68 $;-420,68 $;-420,68 $;0,00%;-420,68 $;0,00 $;-420,68 $;0,00 $;-420,68 $;210,00;860,00 $;355,00 $;775,68 $;0,09%;
