Period;#;Cum. net profit;Net profit;Gross profit;Gross loss;Commission;Cum. max. drawdown;Max. drawdown;% Win;Avg. trade;Avg. winner;Avg. loser;Lrg. winner;Lrg. loser;MTR;Avg. MAE;Avg. MFE;Avg. ETD;% Trade;
08/01/2019;1;1244,32 $;1244,32 $;1244,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;1244,32 $;1244,32 $;0,00 $;1244,32 $;0,00 $;240,00;310,00 $;1295,00 $;50,68 $;0,07%;
09/01/2019;1;1613,64 $;369,32 $;369,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;369,32 $;369,32 $;0,00 $;369,32 $;0,00 $;240,00;335,00 $;725,00 $;355,68 $;0,07%;
11/01/2019;1;1887,96 $;274,32 $;274,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;274,32 $;274,32 $;0,00 $;274,32 $;0,00 $;240,00;75,00 $;600,00 $;325,68 $;0,07%;
14/01/2019;1;1412,28 $;-475,68 $;0,00 $;-475,68 $;5,68 $;-475,68 $;-475,68 $;0,00%;-475,68 $;0,00 $;-475,68 $;0,00 $;-475,68 $;210,00;590,00 $;195,00 $;670,68 $;0,07%;
15/01/2019;1;1586,60 $;174,32 $;174,32 $;0,00 $;5,68 $;-301,36 $;0,00 $;100,00%;174,32 $;174,32 $;0,00 $;174,32 $;0,00 $;30,00;65,00 $;300,00 $;125,68 $;0,07%;
22/01/2019;1;80,92 $;-1505,68 $;0,00 $;-1505,68 $;5,68 $;-1807,04 $;-1505,68 $;0,00%;-1505,68 $;0,00 $;-1505,68 $;0,00 $;-1505,68 $;240,00;2050,00 $;140,00 $;1645,68 $;0,07%;
23/01/2019;1;450,24 $;369,32 $;369,32 $;0,00 $;5,68 $;-1437,72 $;0,00 $;100,00%;369,32 $;369,32 $;0,00 $;369,32 $;0,00 $;240,00;1035,00 $;420,00 $;50,68 $;0,07%;
25/01/2019;1;584,56 $;134,32 $;134,32 $;0,00 $;5,68 $;-1303,40 $;0,00 $;100,00%;134,32 $;134,32 $;0,00 $;134,32 $;0,00 $;240,00;60,00 $;595,00 $;460,68 $;0,07%;
28/01/2019;1;848,88 $;264,32 $;264,32 $;0,00 $;5,68 $;-1039,08 $;0,00 $;100,00%;264,32 $;264,32 $;0,00 $;264,32 $;0,00 $;240,00;695,00 $;415,00 $;150,68 $;0,07%;
29/01/2019;1;558,20 $;-290,68 $;0,00 $;-290,68 $;5,68 $;-1329,76 $;-290,68 $;0,00%;-290,68 $;0,00 $;-290,68 $;0,00 $;-290,68 $;210,00;560,00 $;125,00 $;415,68 $;0,07%;
30/01/2019;2;2486,84 $;1928,64 $;1928,64 $;0,00 $;11,36 $;0,00 $;0,00 $;100,00%;964,32 $;964,32 $;0,00 $;1869,32 $;0,00 $;240,00;115,00 $;1267,50 $;303,18 $;0,14%;
04/02/2019;1;2676,16 $;189,32 $;189,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;189,32 $;189,32 $;0,00 $;189,32 $;0,00 $;240,00;150,00 $;340,00 $;150,68 $;0,07%;
05/02/2019;1;3170,48 $;494,32 $;494,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;494,32 $;494,32 $;0,00 $;494,32 $;0,00 $;240,00;500,00 $;540,00 $;45,68 $;0,07%;
06/02/2019;1;3044,80 $;-125,68 $;0,00 $;-125,68 $;5,68 $;-125,68 $;-125,68 $;0,00%;-125,68 $;0,00 $;-125,68 $;0,00 $;-125,68 $;240,00;485,00 $;205,00 $;330,68 $;0,07%;
07/02/2019;1;3589,12 $;544,32 $;544,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;544,32 $;544,32 $;0,00 $;544,32 $;0,00 $;210,00;380,00 $;720,00 $;175,68 $;0,07%;
08/02/2019;1;4443,44 $;854,32 $;854,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;854,32 $;854,32 $;0,00 $;854,32 $;0,00 $;240,00;385,00 $;1010,00 $;155,68 $;0,07%;
11/02/2019;1;4282,76 $;-160,68 $;0,00 $;-160,68 $;5,68 $;-160,68 $;-160,68 $;0,00%;-160,68 $;0,00 $;-160,68 $;0,00 $;-160,68 $;240,00;525,00 $;240,00 $;400,68 $;0,07%;
12/02/2019;1;4447,08 $;164,32 $;164,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;164,32 $;164,32 $;0,00 $;164,32 $;0,00 $;150,00;10,00 $;330,00 $;165,68 $;0,07%;
13/02/2019;1;4686,40 $;239,32 $;239,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;239,32 $;239,32 $;0,00 $;239,32 $;0,00 $;240,00;255,00 $;380,00 $;140,68 $;0,07%;
14/02/2019;1;4345,72 $;-340,68 $;0,00 $;-340,68 $;5,68 $;-340,68 $;-340,68 $;0,00%;-340,68 $;0,00 $;-340,68 $;0,00 $;-340,68 $;210,00;630,00 $;165,00 $;505,68 $;0,07%;
19/02/2019;1;3980,04 $;-365,68 $;0,00 $;-365,68 $;5,68 $;-706,36 $;-365,68 $;0,00%;-365,68 $;0,00 $;-365,68 $;0,00 $;-365,68 $;210,00;510,00 $;170,00 $;535,68 $;0,07%;
20/02/2019;1;4524,36 $;544,32 $;544,32 $;0,00 $;5,68 $;-162,04 $;0,00 $;100,00%;544,32 $;544,32 $;0,00 $;544,32 $;0,00 $;210,00;315,00 $;835,00 $;290,68 $;0,07%;
21/02/2019;1;4323,68 $;-200,68 $;0,00 $;-200,68 $;5,68 $;-362,72 $;-200,68 $;0,00%;-200,68 $;0,00 $;-200,68 $;0,00 $;-200,68 $;240,00;380,00 $;705,00 $;905,68 $;0,07%;
22/02/2019;1;4048,00 $;-275,68 $;0,00 $;-275,68 $;5,68 $;-638,40 $;-275,68 $;0,00%;-275,68 $;0,00 $;-275,68 $;0,00 $;-275,68 $;240,00;770,00 $;95,00 $;370,68 $;0,07%;
25/02/2019;2;3701,64 $;-346,36 $;0,00 $;-346,36 $;11,36 $;-984,76 $;-346,36 $;0,00%;-173,18 $;0,00 $;-173,18 $;0,00 $;-245,68 $;330,00;395,00 $;177,50 $;350,68 $;0,14%;
26/02/2019;1;3615,96 $;-85,68 $;0,00 $;-85,68 $;5,68 $;-1070,44 $;-85,68 $;0,00%;-85,68 $;0,00 $;-85,68 $;0,00 $;-85,68 $;210,00;230,00 $;600,00 $;685,68 $;0,07%;
28/02/2019;1;3300,28 $;-315,68 $;0,00 $;-315,68 $;5,68 $;-1386,12 $;-315,68 $;0,00%;-315,68 $;0,00 $;-315,68 $;0,00 $;-315,68 $;210,00;690,00 $;40,00 $;355,68 $;0,07%;
