Period;#;Cum. net profit;Net profit;Gross profit;Gross loss;Commission;Cum. max. drawdown;Max. drawdown;% Win;Avg. trade;Avg. winner;Avg. loser;Lrg. winner;Lrg. loser;MTR;Avg. MAE;Avg. MFE;Avg. ETD;% Trade;
03/01/2020;1;-905,52 $;-905,52 $;0,00 $;-905,52 $;5,52 $;-905,52 $;-905,52 $;0,00%;-905,52 $;0,00 $;-905,52 $;0,00 $;-905,52 $;120,00;1250,00 $;50,00 $;955,52 $;0,06%;
07/01/2020;2;-1766,56 $;-861,04 $;0,00 $;-861,04 $;11,04 $;-1766,56 $;-861,04 $;0,00%;-430,52 $;0,00 $;-430,52 $;0,00 $;-630,52 $;660,00;937,50 $;550,00 $;980,52 $;0,13%;
08/01/2020;1;452,92 $;2219,48 $;2219,48 $;0,00 $;5,52 $;0,00 $;0,00 $;100,00%;2219,48 $;2219,48 $;0,00 $;2219,48 $;0,00 $;240,00;175,00 $;2575,00 $;355,52 $;0,06%;
09/01/2020;3;1911,36 $;1458,44 $;1458,44 $;0,00 $;16,56 $;0,00 $;0,00 $;100,00%;486,15 $;486,15 $;0,00 $;869,48 $;0,00 $;240,00;258,33 $;1050,00 $;563,85 $;0,19%;
14/01/2020;1;1755,84 $;-155,52 $;0,00 $;-155,52 $;5,52 $;-155,52 $;-155,52 $;0,00%;-155,52 $;0,00 $;-155,52 $;0,00 $;-155,52 $;0,00;500,00 $;50,00 $;205,52 $;0,06%;
16/01/2020;1;900,32 $;-855,52 $;0,00 $;-855,52 $;5,52 $;-1011,04 $;-855,52 $;0,00%;-855,52 $;0,00 $;-855,52 $;0,00 $;-855,52 $;240,00;1625,00 $;1250,00 $;2105,52 $;0,06%;
17/01/2020;2;739,28 $;-161,04 $;44,48 $;-205,52 $;11,04 $;-1216,56 $;-205,52 $;50,00%;-80,52 $;44,48 $;-205,52 $;44,48 $;-205,52 $;600,00;687,50 $;462,50 $;543,02 $;0,13%;
20/01/2020;1;1358,76 $;619,48 $;619,48 $;0,00 $;5,52 $;-552,60 $;0,00 $;100,00%;619,48 $;619,48 $;0,00 $;619,48 $;0,00 $;180,00;25,00 $;675,00 $;55,52 $;0,06%;
21/01/2020;1;1228,24 $;-130,52 $;0,00 $;-130,52 $;5,52 $;-683,12 $;-130,52 $;0,00%;-130,52 $;0,00 $;-130,52 $;0,00 $;-130,52 $;240,00;575,00 $;975,00 $;1105,52 $;0,06%;
24/01/2020;1;-852,28 $;-2080,52 $;0,00 $;-2080,52 $;5,52 $;-2763,64 $;-2080,52 $;0,00%;-2080,52 $;0,00 $;-2080,52 $;0,00 $;-2080,52 $;240,00;2100,00 $;25,00 $;2105,52 $;0,06%;
28/01/2020;1;-682,80 $;169,48 $;169,48 $;0,00 $;5,52 $;-2594,16 $;0,00 $;100,00%;169,48 $;169,48 $;0,00 $;169,48 $;0,00 $;240,00;475,00 $;350,00 $;180,52 $;0,06%;
29/01/2020;2;-418,84 $;263,96 $;494,48 $;-230,52 $;11,04 $;-2330,20 $;-230,52 $;50,00%;131,98 $;494,48 $;-230,52 $;494,48 $;-230,52 $;600,00;237,50 $;762,50 $;630,52 $;0,13%;
03/02/2020;2;-554,88 $;-136,04 $;244,48 $;-380,52 $;11,04 $;-2466,24 $;-380,52 $;50,00%;-68,02 $;244,48 $;-380,52 $;244,48 $;-380,52 $;600,00;487,50 $;525,00 $;593,02 $;0,13%;
