Period;#;Cum. net profit;Net profit;Gross profit;Gross loss;Commission;Cum. max. drawdown;Max. drawdown;% Win;Avg. trade;Avg. winner;Avg. loser;Lrg. winner;Lrg. loser;MTR;Avg. MAE;Avg. MFE;Avg. ETD;% Trade;
07/02/2019;1;-35,68 $;-35,68 $;0,00 $;-35,68 $;5,68 $;-35,68 $;-35,68 $;0,00%;-35,68 $;0,00 $;-35,68 $;0,00 $;-35,68 $;0,00;70,00 $;40,00 $;75,68 $;0,07%;
08/02/2019;1;333,64 $;369,32 $;369,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;369,32 $;369,32 $;0,00 $;369,32 $;0,00 $;30,00;190,00 $;420,00 $;50,68 $;0,07%;
11/02/2019;1;-62,04 $;-395,68 $;0,00 $;-395,68 $;5,68 $;-395,68 $;-395,68 $;0,00%;-395,68 $;0,00 $;-395,68 $;0,00 $;-395,68 $;210,00;700,00 $;45,00 $;440,68 $;0,07%;
12/02/2019;1;237,28 $;299,32 $;299,32 $;0,00 $;5,68 $;-96,36 $;0,00 $;100,00%;299,32 $;299,32 $;0,00 $;299,32 $;0,00 $;240,00;150,00 $;340,00 $;40,68 $;0,07%;
13/02/2019;1;-288,40 $;-525,68 $;0,00 $;-525,68 $;5,68 $;-622,04 $;-525,68 $;0,00%;-525,68 $;0,00 $;-525,68 $;0,00 $;-525,68 $;90,00;615,00 $;185,00 $;710,68 $;0,07%;
14/02/2019;1;-784,08 $;-495,68 $;0,00 $;-495,68 $;5,68 $;-1117,72 $;-495,68 $;0,00%;-495,68 $;0,00 $;-495,68 $;0,00 $;-495,68 $;150,00;530,00 $;265,00 $;760,68 $;0,07%;
15/02/2019;1;-394,76 $;389,32 $;389,32 $;0,00 $;5,68 $;-728,40 $;0,00 $;100,00%;389,32 $;389,32 $;0,00 $;389,32 $;0,00 $;30,00;35,00 $;455,00 $;65,68 $;0,07%;
19/02/2019;1;-65,44 $;329,32 $;329,32 $;0,00 $;5,68 $;-399,08 $;0,00 $;100,00%;329,32 $;329,32 $;0,00 $;329,32 $;0,00 $;240,00;10,00 $;595,00 $;265,68 $;0,07%;
21/02/2019;1;-581,12 $;-515,68 $;0,00 $;-515,68 $;5,68 $;-914,76 $;-515,68 $;0,00%;-515,68 $;0,00 $;-515,68 $;0,00 $;-515,68 $;210,00;960,00 $;165,00 $;680,68 $;0,07%;
22/02/2019;1;-856,80 $;-275,68 $;0,00 $;-275,68 $;5,68 $;-1190,44 $;-275,68 $;0,00%;-275,68 $;0,00 $;-275,68 $;0,00 $;-275,68 $;240,00;770,00 $;95,00 $;370,68 $;0,07%;
25/02/2019;1;-987,48 $;-130,68 $;0,00 $;-130,68 $;5,68 $;-1321,12 $;-130,68 $;0,00%;-130,68 $;0,00 $;-130,68 $;0,00 $;-130,68 $;150,00;225,00 $;320,00 $;450,68 $;0,07%;
27/02/2019;1;-668,16 $;319,32 $;319,32 $;0,00 $;5,68 $;-1001,80 $;0,00 $;100,00%;319,32 $;319,32 $;0,00 $;319,32 $;0,00 $;210,00;40,00 $;540,00 $;220,68 $;0,07%;
28/02/2019;1;-908,84 $;-240,68 $;0,00 $;-240,68 $;5,68 $;-1242,48 $;-240,68 $;0,00%;-240,68 $;0,00 $;-240,68 $;0,00 $;-240,68 $;150,00;560,00 $;135,00 $;375,68 $;0,07%;
01/03/2019;1;-989,52 $;-80,68 $;0,00 $;-80,68 $;5,68 $;-1323,16 $;-80,68 $;0,00%;-80,68 $;0,00 $;-80,68 $;0,00 $;-80,68 $;90,00;310,00 $;40,00 $;120,68 $;0,07%;
04/03/2019;1;-450,20 $;539,32 $;539,32 $;0,00 $;5,68 $;-783,84 $;0,00 $;100,00%;539,32 $;539,32 $;0,00 $;539,32 $;0,00 $;150,00;125,00 $;795,00 $;255,68 $;0,07%;
