Period;#;Cum. net profit;Net profit;Gross profit;Gross loss;Commission;Cum. max. drawdown;Max. drawdown;% Win;Avg. trade;Avg. winner;Avg. loser;Lrg. winner;Lrg. loser;MTR;Avg. MAE;Avg. MFE;Avg. ETD;% Trade;
20/08/2021;1;664,32 $;664,32 $;664,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;664,32 $;664,32 $;0,00 $;664,32 $;0,00 $;240,00;950,00 $;755,00 $;90,68 $;0,14%;
24/08/2021;2;217,96 $;-446,36 $;0,00 $;-446,36 $;11,36 $;-446,36 $;-446,36 $;0,00%;-223,18 $;0,00 $;-223,18 $;0,00 $;-320,68 $;330,00;615,00 $;145,00 $;368,18 $;0,28%;
25/08/2021;2;371,60 $;153,64 $;153,64 $;0,00 $;11,36 $;-347,04 $;0,00 $;100,00%;76,82 $;76,82 $;0,00 $;99,32 $;0,00 $;240,00;235,00 $;140,00 $;63,18 $;0,28%;
27/08/2021;1;175,92 $;-195,68 $;0,00 $;-195,68 $;5,68 $;-488,40 $;-195,68 $;0,00%;-195,68 $;0,00 $;-195,68 $;0,00 $;-195,68 $;30,00;445,00 $;70,00 $;265,68 $;0,14%;
30/08/2021;1;905,24 $;729,32 $;729,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;729,32 $;729,32 $;0,00 $;729,32 $;0,00 $;330,00;200,00 $;960,00 $;230,68 $;0,14%;
01/09/2021;2;613,88 $;-291,36 $;0,00 $;-291,36 $;11,36 $;-291,36 $;-291,36 $;0,00%;-145,68 $;0,00 $;-145,68 $;0,00 $;-160,68 $;330,00;237,50 $;177,50 $;323,18 $;0,28%;
02/09/2021;1;-701,80 $;-1315,68 $;0,00 $;-1315,68 $;5,68 $;-1607,04 $;-1315,68 $;0,00%;-1315,68 $;0,00 $;-1315,68 $;0,00 $;-1315,68 $;240,00;2000,00 $;75,00 $;1390,68 $;0,14%;
03/09/2021;1;-472,48 $;229,32 $;229,32 $;0,00 $;5,68 $;-1377,72 $;0,00 $;100,00%;229,32 $;229,32 $;0,00 $;229,32 $;0,00 $;240,00;285,00 $;540,00 $;310,68 $;0,14%;
07/09/2021;1;-1028,16 $;-555,68 $;0,00 $;-555,68 $;5,68 $;-1933,40 $;-555,68 $;0,00%;-555,68 $;0,00 $;-555,68 $;0,00 $;-555,68 $;210,00;695,00 $;210,00 $;765,68 $;0,14%;
09/09/2021;1;-2423,84 $;-1395,68 $;0,00 $;-1395,68 $;5,68 $;-3329,08 $;-1395,68 $;0,00%;-1395,68 $;0,00 $;-1395,68 $;0,00 $;-1395,68 $;240,00;1990,00 $;135,00 $;1530,68 $;0,14%;
15/09/2021;1;-1129,52 $;1294,32 $;1294,32 $;0,00 $;5,68 $;-2034,76 $;0,00 $;100,00%;1294,32 $;1294,32 $;0,00 $;1294,32 $;0,00 $;150,00;35,00 $;1425,00 $;130,68 $;0,14%;
16/09/2021;1;139,80 $;1269,32 $;1269,32 $;0,00 $;5,68 $;-765,44 $;0,00 $;100,00%;1269,32 $;1269,32 $;0,00 $;1269,32 $;0,00 $;150,00;330,00 $;1965,00 $;695,68 $;0,14%;
