Period;#;Cum. net profit;Net profit;Gross profit;Gross loss;Commission;Cum. max. drawdown;Max. drawdown;% Win;Avg. trade;Avg. winner;Avg. loser;Lrg. winner;Lrg. loser;MTR;Avg. MAE;Avg. MFE;Avg. ETD;% Trade;
06/02/2019;1;-155,68 $;-155,68 $;0,00 $;-155,68 $;5,68 $;-155,68 $;-155,68 $;0,00%;-155,68 $;0,00 $;-155,68 $;0,00 $;-155,68 $;0,00;160,00 $;10,00 $;165,68 $;0,07%;
07/02/2019;1;23,64 $;179,32 $;179,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;179,32 $;179,32 $;0,00 $;179,32 $;0,00 $;90,00;345,00 $;385,00 $;205,68 $;0,07%;
08/02/2019;1;892,96 $;869,32 $;869,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;869,32 $;869,32 $;0,00 $;869,32 $;0,00 $;150,00;75,00 $;920,00 $;50,68 $;0,07%;
11/02/2019;1;732,28 $;-160,68 $;0,00 $;-160,68 $;5,68 $;-160,68 $;-160,68 $;0,00%;-160,68 $;0,00 $;-160,68 $;0,00 $;-160,68 $;240,00;525,00 $;240,00 $;400,68 $;0,07%;
12/02/2019;1;976,60 $;244,32 $;244,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;244,32 $;244,32 $;0,00 $;244,32 $;0,00 $;210,00;45,00 $;440,00 $;195,68 $;0,07%;
13/02/2019;1;1215,92 $;239,32 $;239,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;239,32 $;239,32 $;0,00 $;239,32 $;0,00 $;240,00;255,00 $;380,00 $;140,68 $;0,07%;
14/02/2019;1;875,24 $;-340,68 $;0,00 $;-340,68 $;5,68 $;-340,68 $;-340,68 $;0,00%;-340,68 $;0,00 $;-340,68 $;0,00 $;-340,68 $;210,00;630,00 $;165,00 $;505,68 $;0,07%;
15/02/2019;1;1339,56 $;464,32 $;464,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;464,32 $;464,32 $;0,00 $;464,32 $;0,00 $;90,00;20,00 $;530,00 $;65,68 $;0,07%;
19/02/2019;1;1668,88 $;329,32 $;329,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;329,32 $;329,32 $;0,00 $;329,32 $;0,00 $;240,00;10,00 $;595,00 $;265,68 $;0,07%;
20/02/2019;2;1052,52 $;-616,36 $;0,00 $;-616,36 $;11,36 $;-616,36 $;-616,36 $;0,00%;-308,18 $;0,00 $;-308,18 $;0,00 $;-530,68 $;270,00;652,50 $;52,50 $;360,68 $;0,14%;
