Period;#;Cum. net profit;Net profit;Gross profit;Gross loss;Commission;Cum. max. drawdown;Max. drawdown;% Win;Avg. trade;Avg. winner;Avg. loser;Lrg. winner;Lrg. loser;MTR;Avg. MAE;Avg. MFE;Avg. ETD;% Trade;
06/02/2019;1;-95,68 $;-95,68 $;0,00 $;-95,68 $;5,68 $;-95,68 $;-95,68 $;0,00%;-95,68 $;0,00 $;-95,68 $;0,00 $;-95,68 $;0,00;90,00 $;5,00 $;100,68 $;0,07%;
07/02/2019;1;18,64 $;114,32 $;114,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;114,32 $;114,32 $;0,00 $;114,32 $;0,00 $;90,00;235,00 $;280,00 $;165,68 $;0,07%;
08/02/2019;1;692,96 $;674,32 $;674,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;674,32 $;674,32 $;0,00 $;674,32 $;0,00 $;150,00;55,00 $;710,00 $;35,68 $;0,07%;
11/02/2019;1;567,28 $;-125,68 $;0,00 $;-125,68 $;5,68 $;-125,68 $;-125,68 $;0,00%;-125,68 $;0,00 $;-125,68 $;0,00 $;-125,68 $;240,00;385,00 $;120,00 $;245,68 $;0,07%;
12/02/2019;1;821,60 $;254,32 $;254,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;254,32 $;254,32 $;0,00 $;254,32 $;0,00 $;210,00;85,00 $;420,00 $;165,68 $;0,07%;
13/02/2019;1;1140,92 $;319,32 $;319,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;319,32 $;319,32 $;0,00 $;319,32 $;0,00 $;240,00;230,00 $;325,00 $;5,68 $;0,07%;
14/02/2019;1;720,24 $;-420,68 $;0,00 $;-420,68 $;5,68 $;-420,68 $;-420,68 $;0,00%;-420,68 $;0,00 $;-420,68 $;0,00 $;-420,68 $;210,00;465,00 $;240,00 $;660,68 $;0,07%;
15/02/2019;1;1264,56 $;544,32 $;544,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;544,32 $;544,32 $;0,00 $;544,32 $;0,00 $;90,00;30,00 $;580,00 $;35,68 $;0,07%;
19/02/2019;1;1673,88 $;409,32 $;409,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;409,32 $;409,32 $;0,00 $;409,32 $;0,00 $;240,00;15,00 $;565,00 $;155,68 $;0,07%;
20/02/2019;2;1787,52 $;113,64 $;159,32 $;-45,68 $;11,36 $;-45,68 $;-45,68 $;50,00%;56,82 $;159,32 $;-45,68 $;159,32 $;-45,68 $;270,00;202,50 $;205,00 $;148,18 $;0,14%;
