Period;#;Cum. net profit;Net profit;Gross profit;Gross loss;Commission;Cum. max. drawdown;Max. drawdown;% Win;Avg. trade;Avg. winner;Avg. loser;Lrg. winner;Lrg. loser;MTR;Avg. MAE;Avg. MFE;Avg. ETD;% Trade;
07/01/2020;1;-315,68 $;-315,68 $;0,00 $;-315,68 $;5,68 $;-315,68 $;-315,68 $;0,00%;-315,68 $;0,00 $;-315,68 $;0,00 $;-315,68 $;150,00;590,00 $;180,00 $;495,68 $;0,08%;
08/01/2020;1;-231,36 $;84,32 $;84,32 $;0,00 $;5,68 $;-231,36 $;0,00 $;100,00%;84,32 $;84,32 $;0,00 $;84,32 $;0,00 $;150,00;215,00 $;440,00 $;355,68 $;0,08%;
09/01/2020;1;-102,04 $;129,32 $;129,32 $;0,00 $;5,68 $;-102,04 $;0,00 $;100,00%;129,32 $;129,32 $;0,00 $;129,32 $;0,00 $;210,00;265,00 $;195,00 $;65,68 $;0,08%;
10/01/2020;1;-617,72 $;-515,68 $;0,00 $;-515,68 $;5,68 $;-617,72 $;-515,68 $;0,00%;-515,68 $;0,00 $;-515,68 $;0,00 $;-515,68 $;150,00;615,00 $;110,00 $;625,68 $;0,08%;
13/01/2020;1;-513,40 $;104,32 $;104,32 $;0,00 $;5,68 $;-513,40 $;0,00 $;100,00%;104,32 $;104,32 $;0,00 $;104,32 $;0,00 $;240,00;100,00 $;280,00 $;175,68 $;0,08%;
14/01/2020;1;-974,08 $;-460,68 $;0,00 $;-460,68 $;5,68 $;-974,08 $;-460,68 $;0,00%;-460,68 $;0,00 $;-460,68 $;0,00 $;-460,68 $;240,00;565,00 $;260,00 $;720,68 $;0,08%;
15/01/2020;1;-1134,76 $;-160,68 $;0,00 $;-160,68 $;5,68 $;-1134,76 $;-160,68 $;0,00%;-160,68 $;0,00 $;-160,68 $;0,00 $;-160,68 $;210,00;640,00 $;75,00 $;235,68 $;0,08%;
16/01/2020;1;-625,44 $;509,32 $;509,32 $;0,00 $;5,68 $;-625,44 $;0,00 $;100,00%;509,32 $;509,32 $;0,00 $;509,32 $;0,00 $;210,00;10,00 $;615,00 $;105,68 $;0,08%;
17/01/2020;1;-831,12 $;-205,68 $;0,00 $;-205,68 $;5,68 $;-831,12 $;-205,68 $;0,00%;-205,68 $;0,00 $;-205,68 $;0,00 $;-205,68 $;210,00;280,00 $;15,00 $;220,68 $;0,08%;
20/01/2020;1;-861,80 $;-30,68 $;0,00 $;-30,68 $;5,68 $;-861,80 $;-30,68 $;0,00%;-30,68 $;0,00 $;-30,68 $;0,00 $;-30,68 $;0,00;25,00 $;20,00 $;50,68 $;0,08%;
21/01/2020;1;-602,48 $;259,32 $;259,32 $;0,00 $;5,68 $;-602,48 $;0,00 $;100,00%;259,32 $;259,32 $;0,00 $;259,32 $;0,00 $;90,00;65,00 $;375,00 $;115,68 $;0,08%;
22/01/2020;1;-948,16 $;-345,68 $;0,00 $;-345,68 $;5,68 $;-948,16 $;-345,68 $;0,00%;-345,68 $;0,00 $;-345,68 $;0,00 $;-345,68 $;240,00;715,00 $;35,00 $;380,68 $;0,08%;
24/01/2020;1;-1088,84 $;-140,68 $;0,00 $;-140,68 $;5,68 $;-1088,84 $;-140,68 $;0,00%;-140,68 $;0,00 $;-140,68 $;0,00 $;-140,68 $;150,00;685,00 $;370,00 $;510,68 $;0,08%;
28/01/2020;2;-690,20 $;398,64 $;398,64 $;0,00 $;11,36 $;-904,52 $;0,00 $;100,00%;199,32 $;199,32 $;0,00 $;214,32 $;0,00 $;240,00;70,00 $;297,50 $;98,18 $;0,16%;
29/01/2020;1;-985,88 $;-295,68 $;0,00 $;-295,68 $;5,68 $;-985,88 $;-295,68 $;0,00%;-295,68 $;0,00 $;-295,68 $;0,00 $;-295,68 $;240,00;605,00 $;160,00 $;455,68 $;0,08%;
30/01/2020;1;288,44 $;1274,32 $;1274,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;1274,32 $;1274,32 $;0,00 $;1274,32 $;0,00 $;210,00;350,00 $;1550,00 $;275,68 $;0,08%;
31/01/2020;1;-437,24 $;-725,68 $;0,00 $;-725,68 $;5,68 $;-725,68 $;-725,68 $;0,00%;-725,68 $;0,00 $;-725,68 $;0,00 $;-725,68 $;210,00;1350,00 $;0,00 $;725,68 $;0,08%;
03/02/2020;1;-332,92 $;104,32 $;104,32 $;0,00 $;5,68 $;-621,36 $;0,00 $;100,00%;104,32 $;104,32 $;0,00 $;104,32 $;0,00 $;90,00;165,00 $;415,00 $;310,68 $;0,08%;
04/02/2020;1;-358,60 $;-25,68 $;0,00 $;-25,68 $;5,68 $;-647,04 $;-25,68 $;0,00%;-25,68 $;0,00 $;-25,68 $;0,00 $;-25,68 $;240,00;210,00 $;165,00 $;190,68 $;0,08%;
05/02/2020;1;525,72 $;884,32 $;884,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;884,32 $;884,32 $;0,00 $;884,32 $;0,00 $;240,00;250,00 $;965,00 $;80,68 $;0,08%;
07/02/2020;1;-54,96 $;-580,68 $;0,00 $;-580,68 $;5,68 $;-580,68 $;-580,68 $;0,00%;-580,68 $;0,00 $;-580,68 $;0,00 $;-580,68 $;240,00;825,00 $;100,00 $;680,68 $;0,08%;
11/02/2020;1;-185,64 $;-130,68 $;0,00 $;-130,68 $;5,68 $;-711,36 $;-130,68 $;0,00%;-130,68 $;0,00 $;-130,68 $;0,00 $;-130,68 $;150,00;530,00 $;75,00 $;205,68 $;0,08%;
12/02/2020;1;183,68 $;369,32 $;369,32 $;0,00 $;5,68 $;-342,04 $;0,00 $;100,00%;369,32 $;369,32 $;0,00 $;369,32 $;0,00 $;210,00;230,00 $;415,00 $;45,68 $;0,08%;
13/02/2020;1;143,00 $;-40,68 $;0,00 $;-40,68 $;5,68 $;-382,72 $;-40,68 $;0,00%;-40,68 $;0,00 $;-40,68 $;0,00 $;-40,68 $;240,00;155,00 $;325,00 $;365,68 $;0,08%;
14/02/2020;1;312,32 $;169,32 $;169,32 $;0,00 $;5,68 $;-213,40 $;0,00 $;100,00%;169,32 $;169,32 $;0,00 $;169,32 $;0,00 $;210,00;480,00 $;185,00 $;15,68 $;0,08%;
17/02/2020;1;286,64 $;-25,68 $;0,00 $;-25,68 $;5,68 $;-239,08 $;-25,68 $;0,00%;-25,68 $;0,00 $;-25,68 $;0,00 $;-25,68 $;30,00;75,00 $;30,00 $;55,68 $;0,08%;
18/02/2020;1;650,96 $;364,32 $;364,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;364,32 $;364,32 $;0,00 $;364,32 $;0,00 $;210,00;0,00 $;570,00 $;205,68 $;0,08%;
19/02/2020;1;715,28 $;64,32 $;64,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;64,32 $;64,32 $;0,00 $;64,32 $;0,00 $;0,00;5,00 $;70,00 $;5,68 $;0,08%;
20/02/2020;1;1044,60 $;329,32 $;329,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;329,32 $;329,32 $;0,00 $;329,32 $;0,00 $;240,00;950,00 $;445,00 $;115,68 $;0,08%;
21/02/2020;1;728,92 $;-315,68 $;0,00 $;-315,68 $;5,68 $;-315,68 $;-315,68 $;0,00%;-315,68 $;0,00 $;-315,68 $;0,00 $;-315,68 $;240,00;460,00 $;315,00 $;630,68 $;0,08%;
24/02/2020;1;498,24 $;-230,68 $;0,00 $;-230,68 $;5,68 $;-546,36 $;-230,68 $;0,00%;-230,68 $;0,00 $;-230,68 $;0,00 $;-230,68 $;240,00;1260,00 $;340,00 $;570,68 $;0,08%;
25/02/2020;1;-2152,44 $;-2650,68 $;0,00 $;-2650,68 $;5,68 $;-3197,04 $;-2650,68 $;0,00%;-2650,68 $;0,00 $;-2650,68 $;0,00 $;-2650,68 $;240,00;3110,00 $;320,00 $;2970,68 $;0,08%;
26/02/2020;1;-4703,12 $;-2550,68 $;0,00 $;-2550,68 $;5,68 $;-5747,72 $;-2550,68 $;0,00%;-2550,68 $;0,00 $;-2550,68 $;0,00 $;-2550,68 $;240,00;3070,00 $;0,00 $;2550,68 $;0,08%;
27/02/2020;1;-6068,80 $;-1365,68 $;0,00 $;-1365,68 $;5,68 $;-7113,40 $;-1365,68 $;0,00%;-1365,68 $;0,00 $;-1365,68 $;0,00 $;-1365,68 $;240,00;1385,00 $;1855,00 $;3220,68 $;0,08%;
28/02/2020;1;-3519,48 $;2549,32 $;2549,32 $;0,00 $;5,68 $;-4564,08 $;0,00 $;100,00%;2549,32 $;2549,32 $;0,00 $;2549,32 $;0,00 $;150,00;2170,00 $;2790,00 $;240,68 $;0,08%;
02/03/2020;1;-2245,16 $;1274,32 $;1274,32 $;0,00 $;5,68 $;-3289,76 $;0,00 $;100,00%;1274,32 $;1274,32 $;0,00 $;1274,32 $;0,00 $;240,00;615,00 $;1430,00 $;155,68 $;0,08%;
03/03/2020;1;-2010,84 $;234,32 $;234,32 $;0,00 $;5,68 $;-3055,44 $;0,00 $;100,00%;234,32 $;234,32 $;0,00 $;234,32 $;0,00 $;240,00;2315,00 $;1980,00 $;1745,68 $;0,08%;
04/03/2020;1;-741,52 $;1269,32 $;1269,32 $;0,00 $;5,68 $;-1786,12 $;0,00 $;100,00%;1269,32 $;1269,32 $;0,00 $;1269,32 $;0,00 $;150,00;225,00 $;1900,00 $;630,68 $;0,08%;
05/03/2020;1;-1752,20 $;-1010,68 $;0,00 $;-1010,68 $;5,68 $;-2796,80 $;-1010,68 $;0,00%;-1010,68 $;0,00 $;-1010,68 $;0,00 $;-1010,68 $;210,00;1795,00 $;290,00 $;1300,68 $;0,08%;
06/03/2020;1;-2407,88 $;-655,68 $;0,00 $;-655,68 $;5,68 $;-3452,48 $;-655,68 $;0,00%;-655,68 $;0,00 $;-655,68 $;0,00 $;-655,68 $;240,00;1490,00 $;1205,00 $;1860,68 $;0,08%;
09/03/2020;1;-4778,56 $;-2370,68 $;0,00 $;-2370,68 $;5,68 $;-5823,16 $;-2370,68 $;0,00%;-2370,68 $;0,00 $;-2370,68 $;0,00 $;-2370,68 $;210,00;3375,00 $;220,00 $;2590,68 $;0,08%;
12/03/2020;1;-8114,24 $;-3335,68 $;0,00 $;-3335,68 $;5,68 $;-9158,84 $;-3335,68 $;0,00%;-3335,68 $;0,00 $;-3335,68 $;0,00 $;-3335,68 $;90,00;3590,00 $;1155,00 $;4490,68 $;0,08%;
13/03/2020;1;-5134,92 $;2979,32 $;2979,32 $;0,00 $;5,68 $;-6179,52 $;0,00 $;100,00%;2979,32 $;2979,32 $;0,00 $;2979,32 $;0,00 $;240,00;1300,00 $;3560,00 $;580,68 $;0,08%;
16/03/2020;1;-9685,60 $;-4550,68 $;0,00 $;-4550,68 $;5,68 $;-10730,20 $;-4550,68 $;0,00%;-4550,68 $;0,00 $;-4550,68 $;0,00 $;-4550,68 $;210,00;5830,00 $;715,00 $;5265,68 $;0,08%;
18/03/2020;1;-5266,28 $;4419,32 $;4419,32 $;0,00 $;5,68 $;-6310,88 $;0,00 $;100,00%;4419,32 $;4419,32 $;0,00 $;4419,32 $;0,00 $;30,00;625,00 $;4500,00 $;80,68 $;0,08%;
19/03/2020;1;-5316,96 $;-50,68 $;0,00 $;-50,68 $;5,68 $;-6361,56 $;-50,68 $;0,00%;-50,68 $;0,00 $;-50,68 $;0,00 $;-50,68 $;210,00;665,00 $;2320,00 $;2370,68 $;0,08%;
20/03/2020;1;-7817,64 $;-2500,68 $;0,00 $;-2500,68 $;5,68 $;-8862,24 $;-2500,68 $;0,00%;-2500,68 $;0,00 $;-2500,68 $;0,00 $;-2500,68 $;240,00;4055,00 $;630,00 $;3130,68 $;0,08%;
23/03/2020;1;-9258,32 $;-1440,68 $;0,00 $;-1440,68 $;5,68 $;-10302,92 $;-1440,68 $;0,00%;-1440,68 $;0,00 $;-1440,68 $;0,00 $;-1440,68 $;240,00;3620,00 $;920,00 $;2360,68 $;0,08%;
