Period;#;Cum. net profit;Net profit;Gross profit;Gross loss;Commission;Cum. max. drawdown;Max. drawdown;% Win;Avg. trade;Avg. winner;Avg. loser;Lrg. winner;Lrg. loser;MTR;Avg. MAE;Avg. MFE;Avg. ETD;% Trade;
08/01/2019;1;931,74 $;931,74 $;931,74 $;0,00 $;5,76 $;0,00 $;0,00 $;100,00%;931,74 $;931,74 $;0,00 $;931,74 $;0,00 $;240,00;275,00 $;937,50 $;5,76 $;0,07%;
09/01/2019;1;1163,48 $;231,74 $;231,74 $;0,00 $;5,76 $;0,00 $;0,00 $;100,00%;231,74 $;231,74 $;0,00 $;231,74 $;0,00 $;240,00;300,00 $;525,00 $;293,26 $;0,07%;
11/01/2019;1;1295,22 $;131,74 $;131,74 $;0,00 $;5,76 $;0,00 $;0,00 $;100,00%;131,74 $;131,74 $;0,00 $;131,74 $;0,00 $;240,00;75,00 $;450,00 $;318,26 $;0,07%;
14/01/2019;1;1026,96 $;-268,26 $;0,00 $;-268,26 $;5,76 $;-268,26 $;-268,26 $;0,00%;-268,26 $;0,00 $;-268,26 $;0,00 $;-268,26 $;210,00;475,00 $;162,50 $;430,76 $;0,07%;
15/01/2019;1;971,20 $;-55,76 $;0,00 $;-55,76 $;5,76 $;-324,02 $;-55,76 $;0,00%;-55,76 $;0,00 $;-55,76 $;0,00 $;-55,76 $;30,00;137,50 $;287,50 $;343,26 $;0,07%;
22/01/2019;1;-22,06 $;-993,26 $;0,00 $;-993,26 $;5,76 $;-1317,28 $;-993,26 $;0,00%;-993,26 $;0,00 $;-993,26 $;0,00 $;-993,26 $;240,00;1450,00 $;112,50 $;1105,76 $;0,07%;
23/01/2019;1;372,18 $;394,24 $;394,24 $;0,00 $;5,76 $;-923,04 $;0,00 $;100,00%;394,24 $;394,24 $;0,00 $;394,24 $;0,00 $;240,00;887,50 $;462,50 $;68,26 $;0,07%;
25/01/2019;1;203,92 $;-168,26 $;0,00 $;-168,26 $;5,76 $;-1091,30 $;-168,26 $;0,00%;-168,26 $;0,00 $;-168,26 $;0,00 $;-168,26 $;240,00;250,00 $;375,00 $;543,26 $;0,07%;
28/01/2019;1;460,66 $;256,74 $;256,74 $;0,00 $;5,76 $;-834,56 $;0,00 $;100,00%;256,74 $;256,74 $;0,00 $;256,74 $;0,00 $;240,00;625,00 $;400,00 $;143,26 $;0,07%;
29/01/2019;1;504,90 $;44,24 $;44,24 $;0,00 $;5,76 $;-790,32 $;0,00 $;100,00%;44,24 $;44,24 $;0,00 $;44,24 $;0,00 $;210,00;387,50 $;150,00 $;105,76 $;0,07%;
30/01/2019;2;1518,38 $;1013,48 $;1013,48 $;0,00 $;11,52 $;0,00 $;0,00 $;100,00%;506,74 $;506,74 $;0,00 $;1006,74 $;0,00 $;240,00;137,50 $;831,25 $;324,51 $;0,14%;
04/02/2019;1;1887,62 $;369,24 $;369,24 $;0,00 $;5,76 $;0,00 $;0,00 $;100,00%;369,24 $;369,24 $;0,00 $;369,24 $;0,00 $;240,00;62,50 $;462,50 $;93,26 $;0,07%;
05/02/2019;1;2156,86 $;269,24 $;269,24 $;0,00 $;5,76 $;0,00 $;0,00 $;100,00%;269,24 $;269,24 $;0,00 $;269,24 $;0,00 $;240,00;412,50 $;287,50 $;18,26 $;0,07%;
06/02/2019;1;2138,60 $;-18,26 $;0,00 $;-18,26 $;5,76 $;-18,26 $;-18,26 $;0,00%;-18,26 $;0,00 $;-18,26 $;0,00 $;-18,26 $;240,00;262,50 $;162,50 $;180,76 $;0,07%;
07/02/2019;1;2770,34 $;631,74 $;631,74 $;0,00 $;5,76 $;0,00 $;0,00 $;100,00%;631,74 $;631,74 $;0,00 $;631,74 $;0,00 $;210,00;312,50 $;700,00 $;68,26 $;0,07%;
08/02/2019;1;3527,08 $;756,74 $;756,74 $;0,00 $;5,76 $;0,00 $;0,00 $;100,00%;756,74 $;756,74 $;0,00 $;756,74 $;0,00 $;240,00;225,00 $;850,00 $;93,26 $;0,07%;
11/02/2019;1;3583,82 $;56,74 $;56,74 $;0,00 $;5,76 $;0,00 $;0,00 $;100,00%;56,74 $;56,74 $;0,00 $;56,74 $;0,00 $;240,00;275,00 $;187,50 $;130,76 $;0,07%;
12/02/2019;1;3590,56 $;6,74 $;6,74 $;0,00 $;5,76 $;0,00 $;0,00 $;100,00%;6,74 $;6,74 $;0,00 $;6,74 $;0,00 $;150,00;150,00 $;175,00 $;168,26 $;0,07%;
13/02/2019;1;3872,30 $;281,74 $;281,74 $;0,00 $;5,76 $;0,00 $;0,00 $;100,00%;281,74 $;281,74 $;0,00 $;281,74 $;0,00 $;240,00;225,00 $;287,50 $;5,76 $;0,07%;
14/02/2019;1;3441,54 $;-430,76 $;0,00 $;-430,76 $;5,76 $;-430,76 $;-430,76 $;0,00%;-430,76 $;0,00 $;-430,76 $;0,00 $;-430,76 $;210,00;537,50 $;250,00 $;680,76 $;0,07%;
19/02/2019;1;3248,28 $;-193,26 $;0,00 $;-193,26 $;5,76 $;-624,02 $;-193,26 $;0,00%;-193,26 $;0,00 $;-193,26 $;0,00 $;-193,26 $;210,00;300,00 $;275,00 $;468,26 $;0,07%;
20/02/2019;1;3730,02 $;481,74 $;481,74 $;0,00 $;5,76 $;-142,28 $;0,00 $;100,00%;481,74 $;481,74 $;0,00 $;481,74 $;0,00 $;210,00;187,50 $;662,50 $;180,76 $;0,07%;
21/02/2019;1;3486,76 $;-243,26 $;0,00 $;-243,26 $;5,76 $;-385,54 $;-243,26 $;0,00%;-243,26 $;0,00 $;-243,26 $;0,00 $;-243,26 $;240,00;412,50 $;462,50 $;705,76 $;0,07%;
22/02/2019;1;3356,00 $;-130,76 $;0,00 $;-130,76 $;5,76 $;-516,30 $;-130,76 $;0,00%;-130,76 $;0,00 $;-130,76 $;0,00 $;-130,76 $;240,00;550,00 $;112,50 $;243,26 $;0,07%;
25/02/2019;2;3081,98 $;-274,02 $;0,00 $;-274,02 $;11,52 $;-790,32 $;-274,02 $;0,00%;-137,01 $;0,00 $;-137,01 $;0,00 $;-193,26 $;330,00;218,75 $;181,25 $;318,26 $;0,14%;
26/02/2019;1;2813,72 $;-268,26 $;0,00 $;-268,26 $;5,76 $;-1058,58 $;-268,26 $;0,00%;-268,26 $;0,00 $;-268,26 $;0,00 $;-268,26 $;210,00;287,50 $;337,50 $;605,76 $;0,07%;
28/02/2019;1;2582,96 $;-230,76 $;0,00 $;-230,76 $;5,76 $;-1289,34 $;-230,76 $;0,00%;-230,76 $;0,00 $;-230,76 $;0,00 $;-230,76 $;210,00;525,00 $;37,50 $;268,26 $;0,07%;
01/03/2019;1;3014,70 $;431,74 $;431,74 $;0,00 $;5,76 $;-857,60 $;0,00 $;100,00%;431,74 $;431,74 $;0,00 $;431,74 $;0,00 $;240,00;287,50 $;537,50 $;105,76 $;0,07%;
04/03/2019;1;3796,44 $;781,74 $;781,74 $;0,00 $;5,76 $;-75,86 $;0,00 $;100,00%;781,74 $;781,74 $;0,00 $;781,74 $;0,00 $;210,00;425,00 $;925,00 $;143,26 $;0,07%;
05/03/2019;1;3803,18 $;6,74 $;6,74 $;0,00 $;5,76 $;-69,12 $;0,00 $;100,00%;6,74 $;6,74 $;0,00 $;6,74 $;0,00 $;210,00;162,50 $;287,50 $;280,76 $;0,07%;
06/03/2019;1;3397,42 $;-405,76 $;0,00 $;-405,76 $;5,76 $;-474,88 $;-405,76 $;0,00%;-405,76 $;0,00 $;-405,76 $;0,00 $;-405,76 $;240,00;537,50 $;75,00 $;480,76 $;0,07%;
07/03/2019;1;2916,66 $;-480,76 $;0,00 $;-480,76 $;5,76 $;-955,64 $;-480,76 $;0,00%;-480,76 $;0,00 $;-480,76 $;0,00 $;-480,76 $;240,00;650,00 $;475,00 $;955,76 $;0,07%;
08/03/2019;1;4085,90 $;1169,24 $;1169,24 $;0,00 $;5,76 $;0,00 $;0,00 $;100,00%;1169,24 $;1169,24 $;0,00 $;1169,24 $;0,00 $;150,00;75,00 $;1175,00 $;5,76 $;0,07%;
12/03/2019;1;3942,64 $;-143,26 $;0,00 $;-143,26 $;5,76 $;-143,26 $;-143,26 $;0,00%;-143,26 $;0,00 $;-143,26 $;0,00 $;-143,26 $;210,00;400,00 $;137,50 $;280,76 $;0,07%;
13/03/2019;1;3886,88 $;-55,76 $;0,00 $;-55,76 $;5,76 $;-199,02 $;-55,76 $;0,00%;-55,76 $;0,00 $;-55,76 $;0,00 $;-55,76 $;150,00;400,00 $;237,50 $;293,26 $;0,07%;
15/03/2019;1;4056,12 $;169,24 $;169,24 $;0,00 $;5,76 $;-29,78 $;0,00 $;100,00%;169,24 $;169,24 $;0,00 $;169,24 $;0,00 $;240,00;87,50 $;550,00 $;380,76 $;0,07%;
