Period;#;Cum. net profit;Net profit;Gross profit;Gross loss;Commission;Cum. max. drawdown;Max. drawdown;% Win;Avg. trade;Avg. winner;Avg. loser;Lrg. winner;Lrg. loser;MTR;Avg. MAE;Avg. MFE;Avg. ETD;% Trade;
24/01/2019;2;180,00 $;180,00 $;210,00 $;-30,00 $;0,00 $;-30,00 $;-30,00 $;50,00%;90,00 $;210,00 $;-30,00 $;210,00 $;-30,00 $;300,00;15,00 $;110,00 $;20,00 $;0,08%;
25/01/2019;2;30,00 $;-150,00 $;0,00 $;-150,00 $;0,00 $;-180,00 $;-150,00 $;0,00%;-75,00 $;0,00 $;-75,00 $;0,00 $;-120,00 $;660,00;100,00 $;5,00 $;80,00 $;0,08%;
28/01/2019;2;10,00 $;-20,00 $;50,00 $;-70,00 $;0,00 $;-250,00 $;-70,00 $;50,00%;-10,00 $;50,00 $;-70,00 $;50,00 $;-70,00 $;600,00;55,00 $;65,00 $;75,00 $;0,08%;
29/01/2019;1;-40,00 $;-50,00 $;0,00 $;-50,00 $;0,00 $;-250,00 $;-50,00 $;0,00%;-50,00 $;0,00 $;-50,00 $;0,00 $;-50,00 $;240,00;50,00 $;30,00 $;80,00 $;0,04%;
30/01/2019;1;-60,00 $;-20,00 $;0,00 $;-20,00 $;0,00 $;-270,00 $;-20,00 $;0,00%;-20,00 $;0,00 $;-20,00 $;0,00 $;-20,00 $;180,00;50,00 $;10,00 $;30,00 $;0,04%;
31/01/2019;1;-130,00 $;-70,00 $;0,00 $;-70,00 $;0,00 $;-340,00 $;-70,00 $;0,00%;-70,00 $;0,00 $;-70,00 $;0,00 $;-70,00 $;240,00;170,00 $;30,00 $;100,00 $;0,04%;
01/02/2019;1;20,00 $;150,00 $;150,00 $;0,00 $;0,00 $;-190,00 $;0,00 $;100,00%;150,00 $;150,00 $;0,00 $;150,00 $;0,00 $;240,00;50,00 $;190,00 $;40,00 $;0,04%;
04/02/2019;1;30,00 $;10,00 $;10,00 $;0,00 $;0,00 $;-180,00 $;0,00 $;100,00%;10,00 $;10,00 $;0,00 $;10,00 $;0,00 $;0,00;0,00 $;10,00 $;0,00 $;0,04%;
05/02/2019;2;130,00 $;100,00 $;140,00 $;-40,00 $;0,00 $;-80,00 $;-40,00 $;50,00%;50,00 $;140,00 $;-40,00 $;140,00 $;-40,00 $;480,00;65,00 $;70,00 $;20,00 $;0,08%;
06/02/2019;2;130,00 $;0,00 $;50,00 $;-50,00 $;0,00 $;-80,00 $;-50,00 $;50,00%;0,00 $;50,00 $;-50,00 $;50,00 $;-50,00 $;600,00;45,00 $;40,00 $;40,00 $;0,08%;
07/02/2019;2;20,00 $;-110,00 $;40,00 $;-150,00 $;0,00 $;-230,00 $;-150,00 $;50,00%;-55,00 $;40,00 $;-150,00 $;40,00 $;-150,00 $;480,00;80,00 $;50,00 $;105,00 $;0,08%;
08/02/2019;1;110,00 $;90,00 $;90,00 $;0,00 $;0,00 $;-100,00 $;0,00 $;100,00%;90,00 $;90,00 $;0,00 $;90,00 $;0,00 $;300,00;70,00 $;90,00 $;0,00 $;0,04%;
