Period;#;Cum. net profit;Net profit;Gross profit;Gross loss;Commission;Cum. max. drawdown;Max. drawdown;% Win;Avg. trade;Avg. winner;Avg. loser;Lrg. winner;Lrg. loser;MTR;Avg. MAE;Avg. MFE;Avg. ETD;% Trade;
25/01/2019;1;-655,52 $;-655,52 $;0,00 $;-655,52 $;5,52 $;-655,52 $;-655,52 $;0,00%;-655,52 $;0,00 $;-655,52 $;0,00 $;-655,52 $;240,00;900,00 $;450,00 $;1105,52 $;0,08%;
28/01/2019;1;-1461,04 $;-805,52 $;0,00 $;-805,52 $;5,52 $;-1461,04 $;-805,52 $;0,00%;-805,52 $;0,00 $;-805,52 $;0,00 $;-805,52 $;240,00;1400,00 $;50,00 $;855,52 $;0,08%;
04/02/2019;1;-1016,56 $;444,48 $;444,48 $;0,00 $;5,52 $;-1016,56 $;0,00 $;100,00%;444,48 $;444,48 $;0,00 $;444,48 $;0,00 $;240,00;1550,00 $;525,00 $;80,52 $;0,08%;
05/02/2019;1;-422,08 $;594,48 $;594,48 $;0,00 $;5,52 $;-422,08 $;0,00 $;100,00%;594,48 $;594,48 $;0,00 $;594,48 $;0,00 $;240,00;475,00 $;1275,00 $;680,52 $;0,08%;
06/02/2019;1;-302,60 $;119,48 $;119,48 $;0,00 $;5,52 $;-302,60 $;0,00 $;100,00%;119,48 $;119,48 $;0,00 $;119,48 $;0,00 $;240,00;525,00 $;550,00 $;430,52 $;0,08%;
11/02/2019;1;-383,12 $;-80,52 $;0,00 $;-80,52 $;5,52 $;-383,12 $;-80,52 $;0,00%;-80,52 $;0,00 $;-80,52 $;0,00 $;-80,52 $;240,00;1125,00 $;475,00 $;555,52 $;0,08%;
12/02/2019;1;86,36 $;469,48 $;469,48 $;0,00 $;5,52 $;0,00 $;0,00 $;100,00%;469,48 $;469,48 $;0,00 $;469,48 $;0,00 $;180,00;200,00 $;475,00 $;5,52 $;0,08%;
13/02/2019;1;780,84 $;694,48 $;694,48 $;0,00 $;5,52 $;0,00 $;0,00 $;100,00%;694,48 $;694,48 $;0,00 $;694,48 $;0,00 $;240,00;100,00 $;1575,00 $;880,52 $;0,08%;
14/02/2019;1;100,32 $;-680,52 $;0,00 $;-680,52 $;5,52 $;-680,52 $;-680,52 $;0,00%;-680,52 $;0,00 $;-680,52 $;0,00 $;-680,52 $;60,00;700,00 $;250,00 $;930,52 $;0,08%;
15/02/2019;1;369,80 $;269,48 $;269,48 $;0,00 $;5,52 $;-411,04 $;0,00 $;100,00%;269,48 $;269,48 $;0,00 $;269,48 $;0,00 $;0,00;125,00 $;300,00 $;30,52 $;0,08%;
18/02/2019;1;739,28 $;369,48 $;369,48 $;0,00 $;5,52 $;-41,56 $;0,00 $;100,00%;369,48 $;369,48 $;0,00 $;369,48 $;0,00 $;240,00;350,00 $;500,00 $;130,52 $;0,08%;
19/02/2019;1;708,76 $;-30,52 $;0,00 $;-30,52 $;5,52 $;-72,08 $;-30,52 $;0,00%;-30,52 $;0,00 $;-30,52 $;0,00 $;-30,52 $;60,00;100,00 $;350,00 $;380,52 $;0,08%;
20/02/2019;2;1372,72 $;663,96 $;944,48 $;-280,52 $;11,04 $;-280,52 $;-280,52 $;50,00%;331,98 $;944,48 $;-280,52 $;944,48 $;-280,52 $;360,00;500,00 $;1000,00 $;668,02 $;0,15%;
