Period;#;Cum. net profit;Net profit;Gross profit;Gross loss;Commission;Cum. max. drawdown;Max. drawdown;% Win;Avg. trade;Avg. winner;Avg. loser;Lrg. winner;Lrg. loser;MTR;Avg. MAE;Avg. MFE;Avg. ETD;% Trade;
07/02/2019;1;-68,26 $;-68,26 $;0,00 $;-68,26 $;5,76 $;-68,26 $;-68,26 $;0,00%;-68,26 $;0,00 $;-68,26 $;0,00 $;-68,26 $;0,00;112,50 $;0,00 $;68,26 $;0,07%;
08/02/2019;1;300,98 $;369,24 $;369,24 $;0,00 $;5,76 $;0,00 $;0,00 $;100,00%;369,24 $;369,24 $;0,00 $;369,24 $;0,00 $;30,00;150,00 $;425,00 $;55,76 $;0,07%;
11/02/2019;1;207,72 $;-93,26 $;0,00 $;-93,26 $;5,76 $;-93,26 $;-93,26 $;0,00%;-93,26 $;0,00 $;-93,26 $;0,00 $;-93,26 $;210,00;387,50 $;75,00 $;168,26 $;0,07%;
12/02/2019;1;451,96 $;244,24 $;244,24 $;0,00 $;5,76 $;0,00 $;0,00 $;100,00%;244,24 $;244,24 $;0,00 $;244,24 $;0,00 $;240,00;137,50 $;325,00 $;80,76 $;0,07%;
13/02/2019;1;208,70 $;-243,26 $;0,00 $;-243,26 $;5,76 $;-243,26 $;-243,26 $;0,00%;-243,26 $;0,00 $;-243,26 $;0,00 $;-243,26 $;90,00;250,00 $;287,50 $;530,76 $;0,07%;
14/02/2019;1;-347,06 $;-555,76 $;0,00 $;-555,76 $;5,76 $;-799,02 $;-555,76 $;0,00%;-555,76 $;0,00 $;-555,76 $;0,00 $;-555,76 $;150,00;550,00 $;300,00 $;855,76 $;0,07%;
15/02/2019;1;122,18 $;469,24 $;469,24 $;0,00 $;5,76 $;-329,78 $;0,00 $;100,00%;469,24 $;469,24 $;0,00 $;469,24 $;0,00 $;30,00;37,50 $;512,50 $;43,26 $;0,07%;
19/02/2019;1;578,92 $;456,74 $;456,74 $;0,00 $;5,76 $;0,00 $;0,00 $;100,00%;456,74 $;456,74 $;0,00 $;456,74 $;0,00 $;240,00;12,50 $;650,00 $;193,26 $;0,07%;
21/02/2019;1;398,16 $;-180,76 $;0,00 $;-180,76 $;5,76 $;-180,76 $;-180,76 $;0,00%;-180,76 $;0,00 $;-180,76 $;0,00 $;-180,76 $;210,00;700,00 $;175,00 $;355,76 $;0,07%;
22/02/2019;1;267,40 $;-130,76 $;0,00 $;-130,76 $;5,76 $;-311,52 $;-130,76 $;0,00%;-130,76 $;0,00 $;-130,76 $;0,00 $;-130,76 $;240,00;550,00 $;112,50 $;243,26 $;0,07%;
25/02/2019;1;-75,86 $;-343,26 $;0,00 $;-343,26 $;5,76 $;-654,78 $;-343,26 $;0,00%;-343,26 $;0,00 $;-343,26 $;0,00 $;-343,26 $;150,00;375,00 $;137,50 $;480,76 $;0,07%;
