Period;#;Cum. net profit;Net profit;Gross profit;Gross loss;Commission;Cum. max. drawdown;Max. drawdown;% Win;Avg. trade;Avg. winner;Avg. loser;Lrg. winner;Lrg. loser;MTR;Avg. MAE;Avg. MFE;Avg. ETD;% Trade;
17/03/2021;1;-75,00 $;-75,00 $;0,00 $;-75,00 $;0,00 $;-75,00 $;-75,00 $;0,00%;-75,00 $;0,00 $;-75,00 $;0,00 $;-75,00 $;90,00;1575,00 $;100,00 $;175,00 $;0,15%;
18/03/2021;1;1325,00 $;1400,00 $;1400,00 $;0,00 $;0,00 $;0,00 $;0,00 $;100,00%;1400,00 $;1400,00 $;0,00 $;1400,00 $;0,00 $;240,00;1350,00 $;1400,00 $;0,00 $;0,15%;
22/03/2021;1;3125,00 $;1800,00 $;1800,00 $;0,00 $;0,00 $;0,00 $;0,00 $;100,00%;1800,00 $;1800,00 $;0,00 $;1800,00 $;0,00 $;240,00;100,00 $;2050,00 $;250,00 $;0,15%;
24/03/2021;1;6500,00 $;3375,00 $;3375,00 $;0,00 $;0,00 $;0,00 $;0,00 $;100,00%;3375,00 $;3375,00 $;0,00 $;3375,00 $;0,00 $;240,00;0,00 $;3375,00 $;0,00 $;0,15%;
26/03/2021;1;6175,00 $;-325,00 $;0,00 $;-325,00 $;0,00 $;-325,00 $;-325,00 $;0,00%;-325,00 $;0,00 $;-325,00 $;0,00 $;-325,00 $;90,00;775,00 $;175,00 $;500,00 $;0,15%;
30/03/2021;1;5500,00 $;-675,00 $;0,00 $;-675,00 $;0,00 $;-1000,00 $;-675,00 $;0,00%;-675,00 $;0,00 $;-675,00 $;0,00 $;-675,00 $;240,00;800,00 $;200,00 $;875,00 $;0,15%;
31/03/2021;1;2950,00 $;-2550,00 $;0,00 $;-2550,00 $;0,00 $;-3550,00 $;-2550,00 $;0,00%;-2550,00 $;0,00 $;-2550,00 $;0,00 $;-2550,00 $;240,00;3125,00 $;575,00 $;3125,00 $;0,15%;
08/04/2021;1;3175,00 $;225,00 $;225,00 $;0,00 $;0,00 $;-3325,00 $;0,00 $;100,00%;225,00 $;225,00 $;0,00 $;225,00 $;0,00 $;30,00;225,00 $;500,00 $;275,00 $;0,15%;
12/04/2021;1;2275,00 $;-900,00 $;0,00 $;-900,00 $;0,00 $;-4225,00 $;-900,00 $;0,00%;-900,00 $;0,00 $;-900,00 $;0,00 $;-900,00 $;90,00;1025,00 $;125,00 $;1025,00 $;0,15%;
19/04/2021;1;650,00 $;-1625,00 $;0,00 $;-1625,00 $;0,00 $;-5850,00 $;-1625,00 $;0,00%;-1625,00 $;0,00 $;-1625,00 $;0,00 $;-1625,00 $;30,00;2250,00 $;500,00 $;2125,00 $;0,15%;
20/04/2021;1;-6400,00 $;-7050,00 $;0,00 $;-7050,00 $;0,00 $;-12900,00 $;-7050,00 $;0,00%;-7050,00 $;0,00 $;-7050,00 $;0,00 $;-7050,00 $;240,00;7050,00 $;850,00 $;7900,00 $;0,15%;
21/04/2021;1;-5200,00 $;1200,00 $;1200,00 $;0,00 $;0,00 $;-11700,00 $;0,00 $;100,00%;1200,00 $;1200,00 $;0,00 $;1200,00 $;0,00 $;90,00;1225,00 $;1700,00 $;500,00 $;0,15%;
26/04/2021;1;-6125,00 $;-925,00 $;0,00 $;-925,00 $;0,00 $;-12625,00 $;-925,00 $;0,00%;-925,00 $;0,00 $;-925,00 $;0,00 $;-925,00 $;210,00;3825,00 $;0,00 $;925,00 $;0,15%;
27/04/2021;1;-5450,00 $;675,00 $;675,00 $;0,00 $;0,00 $;-11950,00 $;0,00 $;100,00%;675,00 $;675,00 $;0,00 $;675,00 $;0,00 $;240,00;2450,00 $;1100,00 $;425,00 $;0,15%;
28/04/2021;1;-8500,00 $;-3050,00 $;0,00 $;-3050,00 $;0,00 $;-15000,00 $;-3050,00 $;0,00%;-3050,00 $;0,00 $;-3050,00 $;0,00 $;-3050,00 $;240,00;3100,00 $;575,00 $;3625,00 $;0,15%;
29/04/2021;1;-7300,00 $;1200,00 $;1200,00 $;0,00 $;0,00 $;-13800,00 $;0,00 $;100,00%;1200,00 $;1200,00 $;0,00 $;1200,00 $;0,00 $;30,00;250,00 $;2475,00 $;1275,00 $;0,15%;
30/04/2021;1;-6300,00 $;1000,00 $;1000,00 $;0,00 $;0,00 $;-12800,00 $;0,00 $;100,00%;1000,00 $;1000,00 $;0,00 $;1000,00 $;0,00 $;30,00;475,00 $;1300,00 $;300,00 $;0,15%;
06/05/2021;1;450,00 $;6750,00 $;6750,00 $;0,00 $;0,00 $;-6050,00 $;0,00 $;100,00%;6750,00 $;6750,00 $;0,00 $;6750,00 $;0,00 $;240,00;2025,00 $;8650,00 $;1900,00 $;0,15%;
07/05/2021;1;3025,00 $;2575,00 $;2575,00 $;0,00 $;0,00 $;-3475,00 $;0,00 $;100,00%;2575,00 $;2575,00 $;0,00 $;2575,00 $;0,00 $;210,00;1100,00 $;2600,00 $;25,00 $;0,15%;
11/05/2021;1;-525,00 $;-3550,00 $;0,00 $;-3550,00 $;0,00 $;-7025,00 $;-3550,00 $;0,00%;-3550,00 $;0,00 $;-3550,00 $;0,00 $;-3550,00 $;210,00;3550,00 $;2350,00 $;5900,00 $;0,15%;
14/05/2021;1;3875,00 $;4400,00 $;4400,00 $;0,00 $;0,00 $;-2625,00 $;0,00 $;100,00%;4400,00 $;4400,00 $;0,00 $;4400,00 $;0,00 $;90,00;950,00 $;5450,00 $;1050,00 $;0,15%;
21/05/2021;1;9475,00 $;5600,00 $;5600,00 $;0,00 $;0,00 $;0,00 $;0,00 $;100,00%;5600,00 $;5600,00 $;0,00 $;5600,00 $;0,00 $;240,00;1600,00 $;6550,00 $;950,00 $;0,15%;
24/05/2021;1;6725,00 $;-2750,00 $;0,00 $;-2750,00 $;0,00 $;-2750,00 $;-2750,00 $;0,00%;-2750,00 $;0,00 $;-2750,00 $;0,00 $;-2750,00 $;240,00;5350,00 $;3750,00 $;6500,00 $;0,15%;
25/05/2021;1;8350,00 $;1625,00 $;1625,00 $;0,00 $;0,00 $;-1125,00 $;0,00 $;100,00%;1625,00 $;1625,00 $;0,00 $;1625,00 $;0,00 $;210,00;2550,00 $;4350,00 $;2725,00 $;0,15%;
26/05/2021;1;4300,00 $;-4050,00 $;0,00 $;-4050,00 $;0,00 $;-5175,00 $;-4050,00 $;0,00%;-4050,00 $;0,00 $;-4050,00 $;0,00 $;-4050,00 $;30,00;4575,00 $;1300,00 $;5350,00 $;0,15%;
27/05/2021;1;7425,00 $;3125,00 $;3125,00 $;0,00 $;0,00 $;-2050,00 $;0,00 $;100,00%;3125,00 $;3125,00 $;0,00 $;3125,00 $;0,00 $;240,00;1200,00 $;3250,00 $;125,00 $;0,15%;
01/06/2021;1;8175,00 $;750,00 $;750,00 $;0,00 $;0,00 $;-1300,00 $;0,00 $;100,00%;750,00 $;750,00 $;0,00 $;750,00 $;0,00 $;240,00;1250,00 $;1200,00 $;450,00 $;0,15%;
02/06/2021;1;9475,00 $;1300,00 $;1300,00 $;0,00 $;0,00 $;0,00 $;0,00 $;100,00%;1300,00 $;1300,00 $;0,00 $;1300,00 $;0,00 $;30,00;700,00 $;1850,00 $;550,00 $;0,15%;
03/06/2021;1;10100,00 $;625,00 $;625,00 $;0,00 $;0,00 $;0,00 $;0,00 $;100,00%;625,00 $;625,00 $;0,00 $;625,00 $;0,00 $;210,00;2125,00 $;1325,00 $;700,00 $;0,15%;
07/06/2021;1;14600,00 $;4500,00 $;4500,00 $;0,00 $;0,00 $;0,00 $;0,00 $;100,00%;4500,00 $;4500,00 $;0,00 $;4500,00 $;0,00 $;150,00;100,00 $;5525,00 $;1025,00 $;0,15%;
09/06/2021;1;14875,00 $;275,00 $;275,00 $;0,00 $;0,00 $;0,00 $;0,00 $;100,00%;275,00 $;275,00 $;0,00 $;275,00 $;0,00 $;0,00;275,00 $;275,00 $;0,00 $;0,15%;
10/06/2021;1;18125,00 $;3250,00 $;3250,00 $;0,00 $;0,00 $;0,00 $;0,00 $;100,00%;3250,00 $;3250,00 $;0,00 $;3250,00 $;0,00 $;240,00;0,00 $;3875,00 $;625,00 $;0,15%;
11/06/2021;1;17575,00 $;-550,00 $;0,00 $;-550,00 $;0,00 $;-550,00 $;-550,00 $;0,00%;-550,00 $;0,00 $;-550,00 $;0,00 $;-550,00 $;210,00;1125,00 $;1500,00 $;2050,00 $;0,15%;
14/06/2021;1;17275,00 $;-300,00 $;0,00 $;-300,00 $;0,00 $;-850,00 $;-300,00 $;0,00%;-300,00 $;0,00 $;-300,00 $;0,00 $;-300,00 $;30,00;725,00 $;100,00 $;400,00 $;0,15%;
15/06/2021;1;17450,00 $;175,00 $;175,00 $;0,00 $;0,00 $;-675,00 $;0,00 $;100,00%;175,00 $;175,00 $;0,00 $;175,00 $;0,00 $;240,00;3300,00 $;450,00 $;275,00 $;0,15%;
17/06/2021;1;20900,00 $;3450,00 $;3450,00 $;0,00 $;0,00 $;0,00 $;0,00 $;100,00%;3450,00 $;3450,00 $;0,00 $;3450,00 $;0,00 $;240,00;925,00 $;5100,00 $;1650,00 $;0,15%;
21/06/2021;1;20350,00 $;-550,00 $;0,00 $;-550,00 $;0,00 $;-550,00 $;-550,00 $;0,00%;-550,00 $;0,00 $;-550,00 $;0,00 $;-550,00 $;30,00;1525,00 $;450,00 $;1000,00 $;0,15%;
23/06/2021;1;21800,00 $;1450,00 $;1450,00 $;0,00 $;0,00 $;0,00 $;0,00 $;100,00%;1450,00 $;1450,00 $;0,00 $;1450,00 $;0,00 $;240,00;1250,00 $;1900,00 $;450,00 $;0,15%;
