Period;#;Cum. net profit;Net profit;Gross profit;Gross loss;Commission;Cum. max. drawdown;Max. drawdown;% Win;Avg. trade;Avg. winner;Avg. loser;Lrg. winner;Lrg. loser;MTR;Avg. MAE;Avg. MFE;Avg. ETD;% Trade;
07/02/2019;1;-105,68 $;-105,68 $;0,00 $;-105,68 $;5,68 $;-105,68 $;-105,68 $;0,00%;-105,68 $;0,00 $;-105,68 $;0,00 $;-105,68 $;0,00;140,00 $;0,00 $;105,68 $;0,07%;
08/02/2019;1;358,64 $;464,32 $;464,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;464,32 $;464,32 $;0,00 $;464,32 $;0,00 $;30,00;95,00 $;500,00 $;35,68 $;0,07%;
11/02/2019;1;92,96 $;-265,68 $;0,00 $;-265,68 $;5,68 $;-265,68 $;-265,68 $;0,00%;-265,68 $;0,00 $;-265,68 $;0,00 $;-265,68 $;210,00;455,00 $;50,00 $;315,68 $;0,07%;
12/02/2019;1;422,28 $;329,32 $;329,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;329,32 $;329,32 $;0,00 $;329,32 $;0,00 $;240,00;80,00 $;460,00 $;130,68 $;0,07%;
13/02/2019;1;271,60 $;-150,68 $;0,00 $;-150,68 $;5,68 $;-150,68 $;-150,68 $;0,00%;-150,68 $;0,00 $;-150,68 $;0,00 $;-150,68 $;90,00;145,00 $;380,00 $;530,68 $;0,07%;
14/02/2019;1;-284,08 $;-555,68 $;0,00 $;-555,68 $;5,68 $;-706,36 $;-555,68 $;0,00%;-555,68 $;0,00 $;-555,68 $;0,00 $;-555,68 $;150,00;550,00 $;225,00 $;780,68 $;0,07%;
15/02/2019;1;225,24 $;509,32 $;509,32 $;0,00 $;5,68 $;-197,04 $;0,00 $;100,00%;509,32 $;509,32 $;0,00 $;509,32 $;0,00 $;30,00;35,00 $;545,00 $;35,68 $;0,07%;
19/02/2019;1;634,56 $;409,32 $;409,32 $;0,00 $;5,68 $;0,00 $;0,00 $;100,00%;409,32 $;409,32 $;0,00 $;409,32 $;0,00 $;240,00;15,00 $;565,00 $;155,68 $;0,07%;
21/02/2019;1;453,88 $;-180,68 $;0,00 $;-180,68 $;5,68 $;-180,68 $;-180,68 $;0,00%;-180,68 $;0,00 $;-180,68 $;0,00 $;-180,68 $;210,00;595,00 $;170,00 $;350,68 $;0,07%;
22/02/2019;1;233,20 $;-220,68 $;0,00 $;-220,68 $;5,68 $;-401,36 $;-220,68 $;0,00%;-220,68 $;0,00 $;-220,68 $;0,00 $;-220,68 $;240,00;645,00 $;70,00 $;290,68 $;0,07%;
