Ticker,10Y TRASURY VS NQ,6A DEC25 VS ES,6A DEC25 VS NQ,6A DEC25 VS RTY,6A DEC25 VS YM,6B VS YM,6E VS NQ,6J VS ES,6J VS FDAX,6J VS FSTX,6J VS NQ,6S DEC25 VS FDAX,NG NOV25 VS ES,NG NOV25 VS ETH,NG NOV25 VS NQ,NG NOV25 VS YM
10Y TRASURY VS NQ,1.0,0.32370061098217573,0.3418092454779333,0.23788349593750285,0.27499657912541536,0.41435530216476435,0.5467780530610521,0.3014434921668348,0.2891508021357283,0.26241615666474655,0.3258687306210317,0.2844006107093412,0.47380707594012805,-0.19805908163738478,0.4883264157328318,0.41804582613156893
6A DEC25 VS ES,0.32370061098217573,1.0,0.9551110403035997,0.8477952145617232,0.9486554634141319,0.7087157923858773,0.44974112944781836,0.6594284641718925,0.23459734221177928,0.3372616248393451,0.6209733956635008,0.19746393975554088,0.5154545321249557,-0.16322540534129204,0.492494997801905,0.5037984071617927
6A DEC25 VS NQ,0.3418092454779333,0.9551110403035997,1.0,0.7966239048830769,0.8484338217778951,0.6379439541804572,0.4792908123177566,0.6258729838114818,0.23065975762798674,0.3064575928401751,0.6395602430424542,0.18214947694466993,0.5049120080254725,-0.18677534239033397,0.5292017677152138,0.46583682323728604
6A DEC25 VS RTY,0.23788349593750285,0.8477952145617232,0.7966239048830769,1.0,0.8334077891791372,0.5886650663415192,0.3668348025336593,0.5698784193307722,0.1610092703768909,0.279303765013806,0.5220952777018767,0.14962047939882603,0.4032237194282394,-0.14016037257088343,0.3801275590421548,0.4202658159538993
6A DEC25 VS YM,0.27499657912541536,0.9486554634141319,0.8484338217778951,0.8334077891791372,1.0,0.7221846024396653,0.394786355052303,0.6362670443408969,0.22444203288765713,0.3384600600125524,0.5600496113401474,0.19277661853683062,0.4747775399005611,-0.1174039697012894,0.42543712859711963,0.5178394689956708
6B VS YM,0.41435530216476435,0.7087157923858773,0.6379439541804572,0.5886650663415192,0.7221846024396653,1.0,0.39145285216511805,0.6278672284451662,0.3945211871950051,0.41342943481942784,0.5691034261099179,0.3724241155331415,0.6777146485971791,-0.20876049734602295,0.6271371063434201,0.6834820908083169
6E VS NQ,0.5467780530610521,0.44974112944781836,0.4792908123177566,0.3668348025336593,0.394786355052303,0.39145285216511805,1.0,0.45057884900555434,0.1989078542233257,0.18139123601741533,0.4741645419339163,0.13583995051497724,0.3509708121798495,-0.10090777080536083,0.3769268987929289,0.3098268661929899
6J VS ES,0.3014434921668348,0.6594284641718925,0.6258729838114818,0.5698784193307722,0.6362670443408969,0.6278672284451662,0.45057884900555434,1.0,0.1916808268182504,0.3344249062109923,0.9591061546821946,0.1956622641628597,0.5541290110922221,-0.1862897936159601,0.5332204993422301,0.5407243603857734
6J VS FDAX,0.2891508021357283,0.23459734221177928,0.23065975762798674,0.1610092703768909,0.22444203288765713,0.3945211871950051,0.1989078542233257,0.1916808268182504,1.0,0.5090066431066231,0.19532669540368236,0.43671940632612993,0.3324826244871881,-0.08992115540841134,0.3268819993567351,0.31902910475270707
6J VS FSTX,0.26241615666474655,0.3372616248393451,0.3064575928401751,0.279303765013806,0.3384600600125524,0.41342943481942784,0.18139123601741533,0.3344249062109923,0.5090066431066231,1.0,0.30856562462834386,0.4811323615335021,0.3836225257440318,-0.14483970907637084,0.3598971886400815,0.3878526584224721
6J VS NQ,0.3258687306210317,0.6209733956635008,0.6395602430424542,0.5220952777018767,0.5600496113401474,0.5691034261099179,0.4741645419339163,0.9591061546821946,0.19532669540368236,0.30856562462834386,1.0,0.18931425351032335,0.5476949529260217,-0.2054074593613657,0.5650841022811781,0.5050941745928315
6S DEC25 VS FDAX,0.2844006107093412,0.19746393975554088,0.18214947694466993,0.14962047939882603,0.19277661853683062,0.3724241155331415,0.13583995051497724,0.1956622641628597,0.43671940632612993,0.4811323615335021,0.18931425351032335,1.0,0.36298980686106597,-0.12893760609027471,0.34737685720853967,0.3503815560070921
NG NOV25 VS ES,0.47380707594012805,0.5154545321249557,0.5049120080254725,0.4032237194282394,0.4747775399005611,0.6777146485971791,0.3509708121798495,0.5541290110922221,0.3324826244871881,0.3836225257440318,0.5476949529260217,0.36298980686106597,1.0,-0.29479476839002555,0.96378048807736,0.9536262096220052
NG NOV25 VS ETH,-0.19805908163738478,-0.16322540534129204,-0.18677534239033397,-0.14016037257088343,-0.1174039697012894,-0.20876049734602295,-0.10090777080536083,-0.1862897936159601,-0.08992115540841134,-0.14483970907637084,-0.2054074593613657,-0.12893760609027471,-0.29479476839002555,1.0,-0.31367926299762267,-0.25514611176535656
NG NOV25 VS NQ,0.4883264157328318,0.492494997801905,0.5292017677152138,0.3801275590421548,0.42543712859711963,0.6271371063434201,0.3769268987929289,0.5332204993422301,0.3268819993567351,0.3598971886400815,0.5650841022811781,0.34737685720853967,0.96378048807736,-0.31367926299762267,1.0,0.8717387145506452
NG NOV25 VS YM,0.41804582613156893,0.5037984071617927,0.46583682323728604,0.4202658159538993,0.5178394689956708,0.6834820908083169,0.3098268661929899,0.5407243603857734,0.31902910475270707,0.3878526584224721,0.5050941745928315,0.3503815560070921,0.9536262096220052,-0.25514611176535656,0.8717387145506452,1.0
