Ticker_1,Ticker_2,Correlation
NG NOV25 VS ES,NG NOV25 VS NQ,0.96378048807736
6J VS ES,6J VS NQ,0.9591061546821946
6A DEC25 VS ES,6A DEC25 VS NQ,0.9551110403035997
NG NOV25 VS ES,NG NOV25 VS YM,0.9536262096220052
6A DEC25 VS ES,6A DEC25 VS YM,0.9486554634141319
NG NOV25 VS NQ,NG NOV25 VS YM,0.8717387145506452
6A DEC25 VS NQ,6A DEC25 VS YM,0.8484338217778951
6A DEC25 VS ES,6A DEC25 VS RTY,0.8477952145617232
6A DEC25 VS RTY,6A DEC25 VS YM,0.8334077891791372
6A DEC25 VS NQ,6A DEC25 VS RTY,0.7966239048830769
6A DEC25 VS YM,6B VS YM,0.7221846024396653
6A DEC25 VS ES,6B VS YM,0.7087157923858773
6B VS YM,NG NOV25 VS YM,0.6834820908083169
6B VS YM,NG NOV25 VS ES,0.6777146485971791
6A DEC25 VS ES,6J VS ES,0.6594284641718925
6A DEC25 VS NQ,6J VS NQ,0.6395602430424542
6A DEC25 VS NQ,6B VS YM,0.6379439541804572
6A DEC25 VS YM,6J VS ES,0.6362670443408969
6B VS YM,6J VS ES,0.6278672284451662
6B VS YM,NG NOV25 VS NQ,0.6271371063434201
6A DEC25 VS NQ,6J VS ES,0.6258729838114818
6A DEC25 VS ES,6J VS NQ,0.6209733956635008
6A DEC25 VS RTY,6B VS YM,0.5886650663415192
6A DEC25 VS RTY,6J VS ES,0.5698784193307722
6B VS YM,6J VS NQ,0.5691034261099179
6J VS NQ,NG NOV25 VS NQ,0.5650841022811781
6A DEC25 VS YM,6J VS NQ,0.5600496113401474
6J VS ES,NG NOV25 VS ES,0.5541290110922221
6J VS NQ,NG NOV25 VS ES,0.5476949529260217
10Y TRASURY VS NQ,6E VS NQ,0.5467780530610521
6J VS ES,NG NOV25 VS YM,0.5407243603857734
6J VS ES,NG NOV25 VS NQ,0.5332204993422301
6A DEC25 VS NQ,NG NOV25 VS NQ,0.5292017677152138
6A DEC25 VS RTY,6J VS NQ,0.5220952777018767
6A DEC25 VS YM,NG NOV25 VS YM,0.5178394689956708
6A DEC25 VS ES,NG NOV25 VS ES,0.5154545321249557
6J VS FDAX,6J VS FSTX,0.5090066431066231
6J VS NQ,NG NOV25 VS YM,0.5050941745928315
6A DEC25 VS NQ,NG NOV25 VS ES,0.5049120080254725
6A DEC25 VS ES,NG NOV25 VS YM,0.5037984071617927
6A DEC25 VS ES,NG NOV25 VS NQ,0.492494997801905
10Y TRASURY VS NQ,NG NOV25 VS NQ,0.4883264157328318
6J VS FSTX,6S DEC25 VS FDAX,0.4811323615335021
6A DEC25 VS NQ,6E VS NQ,0.4792908123177566
6A DEC25 VS YM,NG NOV25 VS ES,0.4747775399005611
6E VS NQ,6J VS NQ,0.4741645419339163
10Y TRASURY VS NQ,NG NOV25 VS ES,0.47380707594012805
6A DEC25 VS NQ,NG NOV25 VS YM,0.46583682323728604
6E VS NQ,6J VS ES,0.45057884900555434
6A DEC25 VS ES,6E VS NQ,0.44974112944781836
6J VS FDAX,6S DEC25 VS FDAX,0.43671940632612993
6A DEC25 VS YM,NG NOV25 VS NQ,0.42543712859711963
6A DEC25 VS RTY,NG NOV25 VS YM,0.4202658159538993
10Y TRASURY VS NQ,NG NOV25 VS YM,0.41804582613156893
10Y TRASURY VS NQ,6B VS YM,0.41435530216476435
6B VS YM,6J VS FSTX,0.41342943481942784
6A DEC25 VS RTY,NG NOV25 VS ES,0.4032237194282394
6A DEC25 VS YM,6E VS NQ,0.394786355052303
6B VS YM,6J VS FDAX,0.3945211871950051
6B VS YM,6E VS NQ,0.39145285216511805
6J VS FSTX,NG NOV25 VS YM,0.3878526584224721
6J VS FSTX,NG NOV25 VS ES,0.3836225257440318
6A DEC25 VS RTY,NG NOV25 VS NQ,0.3801275590421548
6E VS NQ,NG NOV25 VS NQ,0.3769268987929289
6B VS YM,6S DEC25 VS FDAX,0.3724241155331415
6A DEC25 VS RTY,6E VS NQ,0.3668348025336593
6S DEC25 VS FDAX,NG NOV25 VS ES,0.36298980686106597
6J VS FSTX,NG NOV25 VS NQ,0.3598971886400815
6E VS NQ,NG NOV25 VS ES,0.3509708121798495
6S DEC25 VS FDAX,NG NOV25 VS YM,0.3503815560070921
6S DEC25 VS FDAX,NG NOV25 VS NQ,0.34737685720853967
10Y TRASURY VS NQ,6A DEC25 VS NQ,0.3418092454779333
6A DEC25 VS YM,6J VS FSTX,0.3384600600125524
6A DEC25 VS ES,6J VS FSTX,0.3372616248393451
6J VS ES,6J VS FSTX,0.3344249062109923
6J VS FDAX,NG NOV25 VS ES,0.3324826244871881
6J VS FDAX,NG NOV25 VS NQ,0.3268819993567351
10Y TRASURY VS NQ,6J VS NQ,0.3258687306210317
10Y TRASURY VS NQ,6A DEC25 VS ES,0.32370061098217573
6J VS FDAX,NG NOV25 VS YM,0.31902910475270707
6E VS NQ,NG NOV25 VS YM,0.3098268661929899
6J VS FSTX,6J VS NQ,0.30856562462834386
6A DEC25 VS NQ,6J VS FSTX,0.3064575928401751
10Y TRASURY VS NQ,6J VS ES,0.3014434921668348
10Y TRASURY VS NQ,6J VS FDAX,0.2891508021357283
10Y TRASURY VS NQ,6S DEC25 VS FDAX,0.2844006107093412
6A DEC25 VS RTY,6J VS FSTX,0.279303765013806
10Y TRASURY VS NQ,6A DEC25 VS YM,0.27499657912541536
10Y TRASURY VS NQ,6J VS FSTX,0.26241615666474655
10Y TRASURY VS NQ,6A DEC25 VS RTY,0.23788349593750285
6A DEC25 VS ES,6J VS FDAX,0.23459734221177928
6A DEC25 VS NQ,6J VS FDAX,0.23065975762798674
6A DEC25 VS YM,6J VS FDAX,0.22444203288765713
6E VS NQ,6J VS FDAX,0.1989078542233257
6A DEC25 VS ES,6S DEC25 VS FDAX,0.19746393975554088
6J VS ES,6S DEC25 VS FDAX,0.1956622641628597
6J VS FDAX,6J VS NQ,0.19532669540368236
6A DEC25 VS YM,6S DEC25 VS FDAX,0.19277661853683062
6J VS ES,6J VS FDAX,0.1916808268182504
6J VS NQ,6S DEC25 VS FDAX,0.18931425351032335
6A DEC25 VS NQ,6S DEC25 VS FDAX,0.18214947694466993
6E VS NQ,6J VS FSTX,0.18139123601741533
6A DEC25 VS RTY,6J VS FDAX,0.1610092703768909
6A DEC25 VS RTY,6S DEC25 VS FDAX,0.14962047939882603
6E VS NQ,6S DEC25 VS FDAX,0.13583995051497724
6J VS FDAX,NG NOV25 VS ETH,-0.08992115540841134
6E VS NQ,NG NOV25 VS ETH,-0.10090777080536083
6A DEC25 VS YM,NG NOV25 VS ETH,-0.1174039697012894
6S DEC25 VS FDAX,NG NOV25 VS ETH,-0.12893760609027471
6A DEC25 VS RTY,NG NOV25 VS ETH,-0.14016037257088343
6J VS FSTX,NG NOV25 VS ETH,-0.14483970907637084
6A DEC25 VS ES,NG NOV25 VS ETH,-0.16322540534129204
6J VS ES,NG NOV25 VS ETH,-0.1862897936159601
6A DEC25 VS NQ,NG NOV25 VS ETH,-0.18677534239033397
10Y TRASURY VS NQ,NG NOV25 VS ETH,-0.19805908163738478
6J VS NQ,NG NOV25 VS ETH,-0.2054074593613657
6B VS YM,NG NOV25 VS ETH,-0.20876049734602295
NG NOV25 VS ETH,NG NOV25 VS YM,-0.25514611176535656
