Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,ES DEC25,Backtest,CrabelPattern5_NQ,Long,1,1287.25,1290.75,5/14/2009 3:40:00 PM,5/14/2009 11:00:00 PM,Crabel_Pat5_Buy,Exit on session close,$169.24,$169.24,$5.76,$287.50,$525.00,$355.76,86,
2,ES DEC25,Backtest,CrabelPattern5_NQ,Long,1,1290.00,1286.00,5/22/2009 3:40:00 PM,5/22/2009 10:15:00 PM,Crabel_Pat5_Buy,Exit on session close,($205.76),($36.52),$5.76,$350.00,$325.00,$530.76,80,
3,ES DEC25,Backtest,CrabelPattern5_NQ,Long,1,1285.25,1291.25,5/25/2009 3:40:00 PM,5/25/2009 5:30:00 PM,Crabel_Pat5_Buy,Exit on session close,$294.24,$257.72,$5.76,$25.00,$312.50,$18.26,23,
4,ES DEC25,Backtest,CrabelPattern5_NQ,Long,1,1283.00,1310.00,5/26/2009 3:40:00 PM,5/26/2009 11:00:00 PM,Crabel_Pat5_Buy,Exit on session close,$1344.24,$1601.96,$5.76,$50.00,$1450.00,$105.76,86,
5,ES DEC25,Backtest,CrabelPattern5_NQ,Long,1,1311.50,1318.75,6/18/2009 3:40:00 PM,6/18/2009 11:00:00 PM,Crabel_Pat5_Buy,Exit on session close,$356.74,$1958.70,$5.76,$125.00,$587.50,$230.76,87,
6,ES DEC25,Backtest,CrabelPattern5_NQ,Long,1,1279.75,1279.75,7/10/2009 3:40:00 PM,7/10/2009 10:20:00 PM,Crabel_Pat5_Buy,Exit on session close,($5.76),$1952.94,$5.76,$275.00,$300.00,$305.76,81,
7,ES DEC25,Backtest,CrabelPattern5_NQ,Long,1,1401.00,1399.25,9/2/2009 3:40:00 PM,9/2/2009 11:00:00 PM,Crabel_Pat5_Buy,Exit on session close,($93.26),$1859.68,$5.76,$225.00,$212.50,$305.76,87,
8,ES DEC25,Backtest,CrabelPattern5_NQ,Long,1,1427.00,1432.00,10/2/2009 3:40:00 PM,10/2/2009 10:20:00 PM,Crabel_Pat5_Buy,Exit on session close,$244.24,$2103.92,$5.76,$75.00,$462.50,$218.26,81,
9,ES DEC25,Backtest,CrabelPattern5_NQ,Long,1,1435.00,1447.00,10/5/2009 3:40:00 PM,10/5/2009 11:00:00 PM,Crabel_Pat5_Buy,Exit on session close,$594.24,$2698.16,$5.76,$187.50,$675.00,$80.76,86,
10,ES DEC25,Backtest,CrabelPattern5_NQ,Long,1,1467.50,1448.25,10/28/2009 2:40:00 PM,10/28/2009 10:00:00 PM,Crabel_Pat5_Buy,Exit on session close,($968.26),$1729.90,$5.76,$1000.00,$137.50,$1105.76,86,
11,ES DEC25,Backtest,CrabelPattern5_NQ,Long,1,1456.75,1470.25,10/29/2009 2:40:00 PM,10/29/2009 10:00:00 PM,Crabel_Pat5_Buy,Exit on session close,$669.24,$2399.14,$5.76,$100.00,$862.50,$193.26,86,
12,ES DEC25,Backtest,CrabelPattern5_NQ,Long,1,1512.50,1508.50,1/25/2010 3:40:00 PM,1/25/2010 11:00:00 PM,Crabel_Pat5_Buy,Exit on session close,($205.76),$2193.38,$5.76,$387.50,$100.00,$305.76,86,
13,ES DEC25,Backtest,CrabelPattern5_NQ,Long,1,1503.25,1504.00,1/26/2010 3:40:00 PM,1/26/2010 11:00:00 PM,Crabel_Pat5_Buy,Exit on session close,$31.74,$2225.12,$5.76,$137.50,$587.50,$555.76,86,
