Ticker,Period,Net profit
ES,2009-05-14 15:40:00,169.24
ES,2009-05-22 15:40:00,-205.76
ES,2009-05-25 15:40:00,294.24
ES,2009-05-26 15:40:00,1344.24
ES,2009-06-18 15:40:00,356.74
ES,2009-07-10 15:40:00,-5.76
ES,2009-09-02 15:40:00,-93.26
ES,2009-10-02 15:40:00,244.24
ES,2009-10-05 15:40:00,594.24
ES,2009-10-28 14:40:00,-968.26
ES,2009-10-29 14:40:00,669.24
ES,2010-01-25 15:40:00,-205.76
ES,2010-01-26 15:40:00,31.74
ES,2010-05-07 15:40:00,-680.76
ES,2010-05-19 15:40:00,-30.76
ES,2010-05-20 15:40:00,-1230.76
ES,2010-05-21 15:40:00,1481.74
ES,2010-06-25 15:40:00,194.24
ES,2010-07-01 15:40:00,-205.76
ES,2010-07-05 15:40:00,-118.26
ES,2010-07-20 15:40:00,1294.24
ES,2010-08-10 15:40:00,156.74
ES,2010-08-13 15:40:00,-293.26
ES,2010-08-16 15:40:00,356.74
ES,2010-08-24 15:40:00,-268.26
ES,2010-08-25 15:40:00,469.24
ES,2010-11-11 15:40:00,231.74
ES,2010-11-16 15:40:00,-468.26
ES,2011-02-24 15:40:00,-80.76
ES,2011-03-17 14:40:00,-105.76
ES,2011-04-12 15:40:00,-143.26
ES,2011-04-13 15:40:00,-368.26
ES,2011-04-14 15:40:00,369.24
ES,2011-05-05 15:40:00,19.24
ES,2011-05-25 15:40:00,294.24
ES,2011-06-06 15:40:00,-568.26
ES,2011-06-07 15:40:00,-268.26
ES,2011-06-08 15:40:00,-368.26
ES,2011-06-09 15:40:00,356.74
ES,2011-06-27 15:40:00,706.74
ES,2011-07-13 15:40:00,-218.26
ES,2011-07-27 15:40:00,-905.76
ES,2011-07-28 15:40:00,-205.76
ES,2011-07-29 15:40:00,431.74
ES,2011-08-02 15:40:00,-1405.76
ES,2011-08-03 15:40:00,169.24
ES,2011-08-04 15:40:00,-2193.26
ES,2011-08-09 15:40:00,2131.74
ES,2011-08-19 15:40:00,-255.76
ES,2011-09-06 15:40:00,1169.24
ES,2011-09-22 15:40:00,44.24
ES,2011-09-23 15:40:00,506.74
ES,2011-11-02 14:40:00,81.74
ES,2011-11-21 15:40:00,-380.76
ES,2011-11-22 15:40:00,-330.76
ES,2011-11-23 15:40:00,-718.26
ES,2011-11-24 15:40:00,-18.26
ES,2011-11-25 15:40:00,-405.76
ES,2011-12-15 15:40:00,-318.26
ES,2012-03-07 15:40:00,306.74
ES,2012-03-23 14:40:00,356.74
ES,2012-04-09 15:40:00,-43.26
ES,2012-04-10 15:40:00,-868.26
ES,2012-04-11 15:40:00,-68.26
ES,2012-04-23 15:40:00,269.24
ES,2012-05-07 15:40:00,244.24
ES,2012-05-08 15:40:00,119.24
ES,2012-05-11 15:40:00,81.74
ES,2012-05-16 15:40:00,-593.26
ES,2012-05-17 15:40:00,-993.26
ES,2012-05-18 15:40:00,-805.76
ES,2012-05-21 15:40:00,844.24
ES,2012-06-04 15:40:00,-343.26
ES,2012-06-05 15:40:00,469.24
ES,2012-07-09 15:40:00,-80.76
ES,2012-07-11 15:40:00,144.24
ES,2012-07-12 15:40:00,206.74
ES,2012-07-25 15:40:00,-118.26
ES,2012-08-02 15:40:00,56.74
ES,2012-08-23 15:40:00,-318.26
ES,2012-08-24 15:40:00,631.74
ES,2012-08-30 15:40:00,-205.76
ES,2012-08-31 15:40:00,-130.76
ES,2012-09-20 15:40:00,344.24
ES,2012-09-26 15:40:00,-293.26
ES,2012-09-27 15:40:00,419.24
ES,2012-10-23 15:40:00,-193.26
ES,2012-11-16 15:40:00,544.24
ES,2012-12-17 15:40:00,744.24
ES,2012-12-27 15:40:00,6.74
ES,2012-12-28 15:40:00,-1043.26
ES,2012-12-31 15:40:00,1419.24
ES,2013-05-27 15:40:00,144.24
ES,2013-06-24 15:40:00,-5.76
ES,2013-07-26 15:40:00,481.74
ES,2013-08-19 15:40:00,-330.76
ES,2013-08-20 15:40:00,294.24
ES,2013-09-24 15:40:00,-105.76
ES,2013-09-25 15:40:00,-168.26
ES,2013-11-21 15:40:00,381.74
ES,2013-12-04 15:40:00,369.24
ES,2013-12-05 15:40:00,-255.76
ES,2013-12-13 15:40:00,-255.76
ES,2014-02-04 15:40:00,-30.76
ES,2014-07-09 15:40:00,156.74
ES,2014-07-10 15:40:00,444.24
ES,2014-09-05 15:40:00,656.74
ES,2014-09-11 15:40:00,494.24
ES,2014-09-24 15:40:00,694.24
ES,2014-10-02 15:40:00,-68.26
ES,2014-10-14 15:40:00,-130.76
ES,2014-10-15 15:40:00,-93.26
ES,2014-11-17 15:40:00,319.24
ES,2014-12-11 15:40:00,-555.76
ES,2014-12-12 15:40:00,-1318.26
ES,2014-12-17 15:40:00,1744.24
ES,2015-01-05 15:40:00,-1068.26
ES,2015-01-06 15:40:00,-1180.76
ES,2015-01-07 15:40:00,531.74
ES,2015-01-14 15:40:00,656.74
ES,2015-01-15 15:40:00,-1193.26
ES,2015-01-16 15:40:00,1144.24
ES,2015-03-06 15:40:00,-905.76
ES,2015-03-26 14:40:00,356.74
ES,2015-03-27 14:40:00,56.74
ES,2015-04-06 15:40:00,1081.74
ES,2015-05-27 15:40:00,781.74
ES,2015-06-09 15:40:00,6.74
ES,2015-06-29 15:40:00,-1230.76
ES,2015-07-07 15:40:00,731.74
ES,2015-07-08 15:40:00,-1130.76
ES,2015-07-24 15:40:00,-730.76
ES,2015-07-27 15:40:00,181.74
ES,2015-07-28 15:40:00,1006.74
ES,2015-08-21 15:40:00,-2130.76
ES,2015-08-24 15:40:00,1906.74
ES,2015-08-25 15:40:00,-3430.76
ES,2015-09-02 15:40:00,781.74
ES,2015-09-22 15:40:00,-55.76
ES,2015-09-28 15:40:00,-1555.76
ES,2015-09-29 15:40:00,19.24
ES,2015-11-09 15:40:00,-555.76
ES,2015-11-10 15:40:00,294.24
ES,2015-11-16 15:40:00,1431.74
ES,2015-12-10 15:40:00,294.24
ES,2015-12-11 15:40:00,-1080.76
ES,2016-01-05 15:40:00,44.24
ES,2016-01-06 15:40:00,381.74
ES,2016-01-11 15:40:00,-730.76
ES,2016-01-20 15:40:00,144.24
ES,2016-02-09 15:40:00,769.24
ES,2016-02-11 15:40:00,219.24
ES,2016-02-12 15:40:00,931.74
ES,2016-03-29 15:40:00,1294.24
ES,2016-05-03 15:40:00,-130.76
ES,2016-05-06 15:40:00,844.24
ES,2016-06-14 15:40:00,-168.26
ES,2016-06-16 15:40:00,869.24
ES,2016-08-29 15:40:00,394.24
ES,2016-09-12 15:40:00,1719.24
ES,2016-10-28 15:40:00,56.74
ES,2016-10-31 14:40:00,-43.26
ES,2016-11-02 14:40:00,-493.26
ES,2016-11-03 14:40:00,-593.26
ES,2016-11-04 14:40:00,-118.26
ES,2017-02-02 15:40:00,281.74
ES,2017-03-07 15:40:00,-243.26
ES,2017-03-08 15:40:00,-268.26
ES,2017-03-09 15:40:00,256.74
ES,2017-03-22 14:40:00,131.74
ES,2017-04-17 15:40:00,606.74
ES,2017-05-11 15:40:00,-80.76
ES,2017-06-23 15:40:00,44.24
ES,2017-09-26 15:40:00,-205.76
ES,2017-11-14 15:40:00,144.24
ES,2017-12-06 15:40:00,194.24
ES,2017-12-07 15:40:00,544.24
ES,2018-02-01 15:40:00,194.24
ES,2018-02-06 15:40:00,3169.24
ES,2018-02-22 15:40:00,-218.26
ES,2018-03-02 15:40:00,1444.24
ES,2018-03-05 15:40:00,1894.24
ES,2018-03-26 15:40:00,1306.74
ES,2018-04-25 15:40:00,881.74
ES,2018-05-29 15:40:00,-393.26
ES,2018-06-20 15:40:00,-168.26
ES,2018-08-13 15:40:00,-630.76
ES,2018-08-14 15:40:00,431.74
ES,2018-08-15 15:40:00,-5.76
ES,2018-09-07 15:40:00,169.24
ES,2018-09-11 15:40:00,1044.24
ES,2018-09-26 15:40:00,-555.76
ES,2018-09-27 15:40:00,344.24
ES,2018-10-09 15:40:00,-5.76
ES,2018-10-10 15:40:00,-4955.76
ES,2018-10-11 15:40:00,-1680.76
ES,2018-10-12 15:40:00,194.24
ES,2018-10-23 15:40:00,1431.74
ES,2018-10-24 15:40:00,-3230.76
ES,2018-10-25 15:40:00,419.24
ES,2018-10-26 15:40:00,156.74
ES,2018-11-13 15:40:00,-643.26
ES,2018-11-15 15:40:00,2344.24
ES,2018-12-18 15:40:00,-1930.76
ES,2018-12-19 15:40:00,-2580.76
ES,2018-12-20 15:40:00,-755.76
ES,2018-12-21 15:40:00,-2843.26
ES,2018-12-24 15:40:00,-3268.26
ES,2018-12-26 15:40:00,4419.24
ES,2019-03-07 15:40:00,-793.26
ES,2019-03-08 15:40:00,1244.24
ES,2019-05-06 15:40:00,69.24
ES,2019-05-09 15:40:00,744.24
ES,2019-05-10 15:40:00,1369.24
ES,2019-05-13 15:40:00,-1243.26
ES,2019-05-31 15:40:00,-193.26
ES,2019-08-01 15:40:00,-1868.26
ES,2019-08-02 15:40:00,-380.76
ES,2019-08-05 15:40:00,-2918.26
ES,2019-08-06 15:40:00,419.24
ES,2019-12-03 15:40:00,369.24
ES,2019-12-04 15:40:00,319.24
ES,2020-02-25 15:40:00,-4780.76
ES,2020-02-26 15:40:00,-2355.76
ES,2020-02-27 15:40:00,-4943.26
ES,2020-02-28 15:40:00,3694.24
ES,2020-03-10 14:40:00,1781.74
ES,2020-03-23 14:40:00,-2618.26
ES,2020-05-14 15:40:00,3181.74
ES,2020-06-12 15:40:00,-1993.26
ES,2020-06-15 15:40:00,5469.24
ES,2020-06-22 15:40:00,1869.24
ES,2020-09-08 15:40:00,-1180.76
ES,2020-09-21 15:40:00,969.24
ES,2020-09-22 15:40:00,756.74
ES,2020-10-19 15:40:00,-105.76
ES,2020-10-28 14:40:00,-2255.76
ES,2020-10-29 14:40:00,269.24
ES,2021-02-12 15:40:00,1556.74
ES,2021-02-23 15:40:00,1806.74
ES,2021-02-24 15:40:00,2606.74
