Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,NQ DEC25,Backtest,CrabelPattern5_NQ,Long,1,10396.25,10361.00,5/2/2019 4:00:00 PM,5/2/2019 11:00:00 PM,Crabel_Pat5_Buy,Exit on session close,($710.68),($710.68),$5.68,$1860.00,$595.00,$1305.68,28,
2,NQ DEC25,Backtest,CrabelPattern5_NQ,Long,1,10365.00,10360.00,5/6/2019 4:00:00 PM,5/6/2019 11:00:00 PM,Crabel_Pat5_Buy,Exit on session close,($105.68),($816.36),$5.68,$465.00,$1470.00,$1575.68,28,
3,NQ DEC25,Backtest,CrabelPattern5_NQ,Long,1,10151.00,10213.50,5/9/2019 4:00:00 PM,5/9/2019 11:00:00 PM,Crabel_Pat5_Buy,Exit on session close,$1244.32,$427.96,$5.68,$980.00,$1745.00,$500.68,28,
4,NQ DEC25,Backtest,CrabelPattern5_NQ,Long,1,10196.25,10232.25,5/10/2019 4:00:00 PM,5/10/2019 11:00:00 PM,Crabel_Pat5_Buy,Exit on session close,$714.32,$1142.28,$5.68,$2790.00,$1235.00,$520.68,28,
5,NQ DEC25,Backtest,CrabelPattern5_NQ,Long,1,10051.25,9935.25,5/13/2019 4:00:00 PM,5/13/2019 11:00:00 PM,Crabel_Pat5_Buy,Exit on session close,($2325.68),($1183.40),$5.68,$2505.00,$160.00,$2485.68,28,
6,NQ DEC25,Backtest,CrabelPattern5_NQ,Long,1,9766.25,9758.50,5/31/2019 4:00:00 PM,5/31/2019 11:00:00 PM,Crabel_Pat5_Buy,Exit on session close,($160.68),($1344.08),$5.68,$320.00,$880.00,$1040.68,28,
7,NQ DEC25,Backtest,CrabelPattern5_NQ,Long,1,10515.50,10386.25,8/1/2019 4:00:00 PM,8/1/2019 11:00:00 PM,Crabel_Pat5_Buy,Exit on session close,($2590.68),($3934.76),$5.68,$2870.00,$1885.00,$4475.68,28,
8,NQ DEC25,Backtest,CrabelPattern5_NQ,Long,1,10339.00,10303.25,8/2/2019 4:00:00 PM,8/2/2019 11:00:00 PM,Crabel_Pat5_Buy,Exit on session close,($720.68),($4655.44),$5.68,$1870.00,$90.00,$810.68,28,
9,NQ DEC25,Backtest,CrabelPattern5_NQ,Long,1,10089.25,9963.50,8/5/2019 4:00:00 PM,8/5/2019 11:00:00 PM,Crabel_Pat5_Buy,Exit on session close,($2520.68),($7176.12),$5.68,$2685.00,$500.00,$3020.68,28,
10,NQ DEC25,Backtest,CrabelPattern5_NQ,Long,1,10111.50,10113.00,8/6/2019 4:00:00 PM,8/6/2019 11:00:00 PM,Crabel_Pat5_Buy,Exit on session close,$24.32,($7151.80),$5.68,$1585.00,$655.00,$630.68,28,
11,NQ DEC25,Backtest,CrabelPattern5_NQ,Long,1,10775.75,10829.75,12/3/2019 4:00:00 PM,12/3/2019 11:00:00 PM,Crabel_Pat5_Buy,Exit on session close,$1074.32,($6077.48),$5.68,$665.00,$1195.00,$120.68,28,
12,NQ DEC25,Backtest,CrabelPattern5_NQ,Long,1,10874.75,10870.75,12/4/2019 4:00:00 PM,12/4/2019 11:00:00 PM,Crabel_Pat5_Buy,Exit on session close,($85.68),($6163.16),$5.68,$290.00,$375.00,$460.68,28,
13,NQ DEC25,Backtest,CrabelPattern5_NQ,Long,1,11671.50,11423.25,2/25/2020 4:00:00 PM,2/25/2020 11:00:00 PM,Crabel_Pat5_Buy,Exit on session close,($4970.68),($11133.84),$5.68,$6240.00,$485.00,$5455.68,28,
14,NQ DEC25,Backtest,CrabelPattern5_NQ,Long,1,11547.00,11370.50,2/26/2020 4:00:00 PM,2/26/2020 11:00:00 PM,Crabel_Pat5_Buy,Exit on session close,($3535.68),($14669.52),$5.68,$3750.00,$800.00,$4335.68,28,
15,NQ DEC25,Backtest,CrabelPattern5_NQ,Long,1,11216.75,10899.25,2/27/2020 4:00:00 PM,2/27/2020 11:00:00 PM,Crabel_Pat5_Buy,Exit on session close,($6355.68),($21025.20),$5.68,$6660.00,$2515.00,$8870.68,29,
16,NQ DEC25,Backtest,CrabelPattern5_NQ,Long,1,10784.00,11097.50,2/28/2020 4:00:00 PM,2/28/2020 11:00:00 PM,Crabel_Pat5_Buy,Exit on session close,$6264.32,($14760.88),$5.68,$1955.00,$6805.00,$540.68,28,
17,NQ DEC25,Backtest,CrabelPattern5_NQ,Long,1,10713.50,10905.50,3/10/2020 3:00:00 PM,3/10/2020 10:00:00 PM,Crabel_Pat5_Buy,Exit on session close,$3834.32,($10926.56),$5.68,$4655.00,$4295.00,$460.68,28,
18,NQ DEC25,Backtest,CrabelPattern5_NQ,Long,1,11560.75,11676.50,5/15/2020 4:00:00 PM,5/15/2020 11:00:00 PM,Crabel_Pat5_Buy,Exit on session close,$2309.32,($8617.24),$5.68,$1120.00,$2935.00,$625.68,28,
19,NQ DEC25,Backtest,CrabelPattern5_NQ,Long,1,12933.50,13036.75,7/24/2020 4:00:00 PM,7/24/2020 11:00:00 PM,Crabel_Pat5_Buy,Exit on session close,$2059.32,($6557.92),$5.68,$715.00,$3470.00,$1410.68,28,
20,NQ DEC25,Backtest,CrabelPattern5_NQ,Long,1,13183.00,13258.00,7/27/2020 4:00:00 PM,7/27/2020 11:00:00 PM,Crabel_Pat5_Buy,Exit on session close,$1494.32,($5063.60),$5.68,$1910.00,$1540.00,$45.68,28,
21,NQ DEC25,Backtest,CrabelPattern5_NQ,Long,1,13564.50,13692.50,8/12/2020 4:00:00 PM,8/12/2020 11:00:00 PM,Crabel_Pat5_Buy,Exit on session close,$2554.32,($2509.28),$5.68,$30.00,$3945.00,$1390.68,28,
