signal_date,entry_date,period_end,turnover,transaction_cost,gross_exposure,tsmom_risk_on,tsmom_momentum,tsmom_events,risk_off_asset,risk_off_momentums,weight_AAPL,weight_AMZN,weight_GOOGL,weight_META,weight_MSFT,weight_NVDA,riskoff_weight_GLD,riskoff_weight_TLT,rating_AAPL,rating_AMZN,rating_GOOGL,rating_META,rating_MSFT,rating_NVDA
2018-01-03,2018-01-04,2018-04-04,3.0,0.0015,1.0,False,-0.011656519580118818,2018-01-05:7.84%:100%;2018-02-01:10.36%:100%;2018-03-01:4.92%:100%;2018-04-02:-1.17%:0%,GLD,"{""GLD"": 0.029125398517726664, ""TLT"": -0.03447074832088781}",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Hold,Hold,Hold,Overweight,Buy,Overweight
2018-04-03,2018-04-04,2018-07-05,4.0,0.002,1.0,True,0.05836828737534039,2018-04-05:-1.55%:0%;2018-05-01:-6.71%:0%;2018-06-01:1.62%:100%;2018-07-02:5.84%:100%,TLT,"{""GLD"": -0.014637221956285695, ""TLT"": 0.0014069734927806277}",0.0,0.5,0.0,0.0,0.25,0.25,0.0,0.0,Hold,Buy,Underweight,Sell,Overweight,Overweight
2018-07-03,2018-07-05,2018-10-04,0.49999999999999994,0.00024999999999999995,1.0,True,0.07651150998730283,2018-07-06:3.27%:100%;2018-08-01:6.65%:100%;2018-09-04:6.08%:100%;2018-10-01:7.65%:100%,,{},0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,Hold,Buy,Underweight,Underweight,Overweight,Hold
2018-10-03,2018-10-04,2019-01-04,3.0,0.0015,1.0,False,-0.13532098103267143,2018-10-05:5.57%:100%;2018-11-01:-3.73%:0%;2018-12-03:-4.62%:0%;2019-01-02:-13.53%:0%,GLD,"{""GLD"": 0.0752926365992117, ""TLT"": 0.045877855136053025}",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Buy,Overweight,Hold,Sell,Buy,Overweight
2019-01-03,2019-01-04,2019-04-04,4.0,0.002,1.0,True,0.14372620251965684,2019-01-07:-12.98%:0%;2019-02-01:2.90%:100%;2019-03-01:4.79%:100%;2019-04-01:14.37%:100%,TLT,"{""GLD"": 0.07071067185625157, ""TLT"": 0.07098706768683805}",0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,Sell,Hold,Overweight,Underweight,Buy,Sell
2019-04-03,2019-04-04,2019-07-05,4.5,0.0022500000000000003,1.0,True,0.04228670714485361,2019-04-05:18.11%:100%;2019-05-01:12.11%:100%;2019-06-03:-1.40%:0%;2019-07-01:4.23%:100%,TLT,"{""GLD"": 0.011896985644180846, ""TLT"": 0.11577460651461569}",0.0,0.0,0.25,0.25,0.5,0.0,0.0,0.0,Hold,Hold,Overweight,Overweight,Buy,Sell
2019-07-03,2019-07-05,2019-10-04,0.8,0.0004,1.0,True,0.00838971555446899,2019-07-08:4.43%:100%;2019-08-01:2.42%:100%;2019-09-03:7.03%:100%;2019-10-01:0.84%:100%,,{},0.2,0.2,0.0,0.2,0.4,0.0,0.0,0.0,Overweight,Overweight,Underweight,Overweight,Buy,Sell
2019-10-03,2019-10-04,2020-01-06,4.0,0.002,1.0,True,0.10299531109687243,2019-10-07:-0.37%:0%;2019-11-01:4.14%:100%;2019-12-02:7.97%:100%;2020-01-02:10.30%:100%,TLT,"{""GLD"": 0.08081347515364845, ""TLT"": 0.10697373984236913}",0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,Buy,Sell,Underweight,Underweight,Overweight,Hold
2020-01-03,2020-01-06,2020-04-06,2.533333333333333,0.0012666666666666666,1.0,False,-0.1925199621672028,2020-01-07:10.49%:100%;2020-02-03:6.30%:100%;2020-03-02:-5.21%:0%;2020-04-01:-19.25%:0%,TLT,"{""GLD"": 0.038000406530158015, ""TLT"": 0.2095315362670951}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Buy,Underweight,Hold,Hold,Buy,Overweight
2020-04-03,2020-04-06,2020-07-06,2.0,0.001,1.0,True,0.20161741492210616,2020-04-07:-17.68%:0%;2020-05-01:-10.83%:0%;2020-06-01:3.32%:100%;2020-07-01:20.16%:100%,TLT,"{""GLD"": 0.06957635715041843, ""TLT"": 0.15856414947595843}",0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,Underweight,Buy,Sell,Sell,Hold,Overweight
2020-07-02,2020-07-06,2020-10-05,1.0,0.0005,1.0,True,0.08279863508112317,2020-07-07:28.31%:100%;2020-08-03:15.97%:100%;2020-09-01:13.88%:100%;2020-10-01:8.28%:100%,,{},0.5,0.25,0.0,0.0,0.0,0.25,0.0,0.0,Buy,Overweight,Underweight,Sell,Hold,Overweight
2020-10-02,2020-10-05,2021-01-04,2.833333333333333,0.0014166666666666666,1.0,True,0.11403307418042741,2020-10-06:8.71%:100%;2020-11-02:-0.29%:0%;2020-12-01:4.06%:100%;2021-01-04:11.40%:100%,,"{""GLD"": -0.09002660750834379, ""TLT"": -0.0023600336744091788}",0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,Overweight,Hold,Sell,Underweight,Hold,Buy
2020-12-31,2021-01-04,2021-04-05,1.3333333333333333,0.0006666666666666666,1.0,True,0.0704466351652131,2021-01-05:10.94%:100%;2021-02-01:13.77%:100%;2021-03-01:5.17%:100%;2021-04-01:7.04%:100%,,{},0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,Buy,Hold,Hold,Underweight,Overweight,Hold
2021-04-01,2021-04-05,2021-07-06,1.3333333333333335,0.0006666666666666668,1.0,True,0.08359306333944039,2021-04-06:9.04%:100%;2021-05-03:13.13%:100%;2021-06-01:8.17%:100%;2021-07-01:8.36%:100%,,{},0.0,0.0,0.4,0.2,0.4,0.0,0.0,0.0,Sell,Underweight,Buy,Overweight,Buy,Hold
2021-07-02,2021-07-06,2021-10-04,0.7999999999999999,0.00039999999999999996,1.0,True,0.00019710506009928963,2021-07-07:6.95%:100%;2021-08-02:5.43%:100%;2021-09-01:7.78%:100%;2021-10-01:0.02%:100%,,{},0.0,0.0,0.5,0.25,0.0,0.25,0.0,0.0,Underweight,Hold,Buy,Overweight,Hold,Overweight
2021-10-01,2021-10-04,2022-01-04,4.0,0.002,1.0,True,0.09761571506942057,2021-10-05:-0.67%:0%;2021-11-01:5.29%:100%;2021-12-01:1.21%:100%;2022-01-03:9.76%:100%,GLD,"{""GLD"": 0.002908989713090504, ""TLT"": -0.034671298840019515}",0.0,0.0,0.5,0.0,0.25,0.25,0.0,0.0,Hold,Sell,Buy,Underweight,Overweight,Overweight
2022-01-03,2022-01-04,2022-04-04,3.0,0.0015,1.0,False,-0.04854864236600731,2022-01-05:10.65%:100%;2022-02-01:-1.69%:0%;2022-03-01:-4.53%:0%;2022-04-01:-4.85%:0%,GLD,"{""GLD"": 0.06389864929165712, ""TLT"": -0.10453588809858094}",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Buy,Underweight,Hold,Hold,Overweight,Overweight
2022-04-01,2022-04-04,2022-07-05,1.0,0.0005,0.0,False,-0.17401445812949878,2022-04-05:-4.08%:0%;2022-05-02:-6.49%:0%;2022-06-01:-3.67%:0%;2022-07-01:-17.40%:0%,,"{""GLD"": -0.06825345689926188, ""TLT"": -0.1169588489358997}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Buy,Underweight,Hold,Sell,Hold,Overweight
2022-07-01,2022-07-05,2022-10-04,2.0,0.001,0.0,False,-0.0592612439494985,2022-07-06:-15.30%:0%;2022-08-01:-3.28%:0%;2022-09-01:-3.10%:0%;2022-10-03:-5.93%:0%,,"{""GLD"": -0.038361197719081974, ""TLT"": -0.10487967691407818}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Overweight,Underweight,Hold,Sell,Buy,Sell
2022-10-03,2022-10-04,2023-01-04,2.0,0.001,1.0,True,0.07560925120639728,2022-10-05:-0.97%:0%;2022-11-01:-4.97%:0%;2022-12-01:3.59%:100%;2023-01-03:7.56%:100%,GLD,"{""GLD"": 0.09678671622114754, ""TLT"": -0.018798447365901527}",0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,Overweight,Hold,Underweight,Sell,Hold,Sell
2023-01-03,2023-01-04,2023-04-04,6.0,0.003,1.0,True,0.07175144441868908,2023-01-05:2.00%:100%;2023-02-01:4.97%:100%;2023-03-01:-1.06%:0%;2023-04-03:7.18%:100%,GLD,"{""GLD"": 0.04019113778662109, ""TLT"": -0.004259587155167166}",0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,Sell,Sell,Underweight,Overweight,Buy,Hold
2023-04-03,2023-04-04,2023-07-05,1.0,0.0005,1.0,True,0.10212179931372112,2023-04-05:7.72%:100%;2023-05-01:2.92%:100%;2023-06-01:6.26%:100%;2023-07-03:10.21%:100%,,{},0.0,0.0,0.0,0.25,0.25,0.5,0.0,0.0,Hold,Sell,Hold,Overweight,Overweight,Buy
2023-07-03,2023-07-05,2023-10-04,1.7,0.0008500000000000001,0.0,False,-0.032241799597998555,2023-07-06:8.23%:100%;2023-08-01:10.47%:100%;2023-09-01:7.16%:100%;2023-10-02:-3.22%:0%,,"{""GLD"": -0.048807877049713455, ""TLT"": -0.15120943125332553}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Overweight,Hold,Underweight,Buy,Hold,Buy
2023-10-03,2023-10-04,2024-01-04,3.0,0.0015,1.0,True,0.11639641717806604,2023-10-05:-3.07%:0%;2023-11-01:-6.77%:0%;2023-12-01:1.70%:100%;2024-01-02:11.64%:100%,GLD,"{""GLD"": 0.024999944776099348, ""TLT"": -0.13383288992956321}",0.0,0.0,0.25,0.5,0.0,0.25,0.0,0.0,Underweight,Underweight,Overweight,Buy,Hold,Overweight
2024-01-03,2024-01-04,2024-04-04,1.0,0.0005,1.0,True,0.10112115697145208,2024-01-05:10.48%:100%;2024-02-01:16.66%:100%;2024-03-01:12.14%:100%;2024-04-01:10.11%:100%,,{},0.0,0.25,0.0,0.5,0.25,0.0,0.0,0.0,Underweight,Overweight,Hold,Buy,Overweight,Hold
2024-04-03,2024-04-04,2024-07-05,0.8,0.0004,1.0,True,0.043790811471693836,2024-04-05:9.79%:100%;2024-05-01:2.58%:100%;2024-06-03:3.15%:100%;2024-07-01:4.38%:100%,,{},0.0,0.2,0.0,0.2,0.2,0.4,0.0,0.0,Sell,Overweight,Hold,Overweight,Overweight,Buy
2024-07-03,2024-07-05,2024-10-04,0.9333333333333333,0.0004666666666666667,1.0,True,0.05534133801714369,2024-07-08:8.45%:100%;2024-08-01:10.08%:100%;2024-09-03:7.23%:100%;2024-10-01:5.53%:100%,,{},0.3333333333333333,0.3333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,Buy,Buy,Hold,Underweight,Overweight,Overweight
2024-10-03,2024-10-04,2025-01-06,1.0,0.0005,1.0,True,0.03417485636053619,2024-10-07:3.50%:100%;2024-11-01:7.03%:100%;2024-12-02:7.22%:100%;2025-01-02:3.42%:100%,,{},0.5,0.0,0.0,0.25,0.0,0.25,0.0,0.0,Buy,Hold,Sell,Overweight,Underweight,Overweight
2025-01-03,2025-01-06,2025-04-04,3.166666666666667,0.0015833333333333333,1.0,False,-0.06696261197702225,2025-01-07:4.26%:100%;2025-02-03:3.79%:100%;2025-03-03:-0.23%:0%;2025-04-01:-6.70%:0%,GLD,"{""GLD"": 0.18541986245181685, ""TLT"": 0.04352417660871022}",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Overweight,Buy,Overweight,Hold,Underweight,Buy
2025-04-03,2025-04-04,2025-07-07,1.0,0.0005,1.0,True,0.11520813869684021,2025-04-07:-13.31%:0%;2025-05-01:-7.58%:0%;2025-06-02:-0.51%:0%;2025-07-01:11.52%:100%,GLD,"{""GLD"": 0.0731183172294001, ""TLT"": -0.010162137881369881}",0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,Overweight,Underweight,Sell,Underweight,Hold,Sell
2025-07-03,2025-07-07,2025-10-06,2.0,0.001,1.0,True,0.0815622040200652,2025-07-08:15.99%:100%;2025-08-01:14.32%:100%;2025-09-02:9.77%:100%;2025-10-01:8.16%:100%,,{},0.0,0.0,0.0,0.25,0.5,0.25,0.0,0.0,Sell,Hold,Hold,Overweight,Buy,Overweight
2025-10-03,2025-10-06,2025-12-31,1.5,0.00075,1.0,True,0.062374464543476726,2025-10-07:8.56%:100%;2025-11-03:8.36%:100%;2025-12-01:6.24%:100%,,{},0.2,0.0,0.4,0.0,0.0,0.4,0.0,0.0,Overweight,Underweight,Buy,Sell,Hold,Buy
