signal_date,entry_date,period_end,turnover,transaction_cost,gross_exposure,tsmom_risk_on,tsmom_momentum,tsmom_events,risk_off_asset,risk_off_momentums,weight_AAPL,weight_AMZN,weight_GOOGL,weight_META,weight_MSFT,weight_NVDA,riskoff_weight_GLD,riskoff_weight_TLT,rating_AAPL,rating_AMZN,rating_GOOGL,rating_META,rating_MSFT,rating_NVDA
2023-01-03,2023-01-04,2023-04-04,3.0,0.0015,1.0,True,0.07175161046291145,2023-01-05:2.00%:100%;2023-02-01:4.97%:100%;2023-03-01:-1.06%:0%;2023-04-03:7.18%:100%,GLD,"{""GLD"": 0.08510509089574914, ""TLT"": 0.06184385366965994}",0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,Underweight,Underweight,Hold,Overweight,Hold,Underweight
2023-04-03,2023-04-04,2023-07-05,1.6,0.0008,1.0,True,0.10212179931372112,2023-04-05:7.72%:100%;2023-05-01:2.92%:100%;2023-06-01:6.26%:100%;2023-07-03:10.21%:100%,,{},0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,Overweight,Overweight,Overweight,Overweight,Overweight,Hold
2023-07-03,2023-07-05,2023-10-04,1.7999999999999998,0.0009,0.0,False,-0.03224165704429138,2023-07-06:8.23%:100%;2023-08-01:10.47%:100%;2023-09-01:7.16%:100%;2023-10-02:-3.22%:0%,,"{""GLD"": -0.048807877049713455, ""TLT"": -0.15120938489397806}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hold,Hold,Overweight,Overweight,Overweight,Hold
2023-10-03,2023-10-04,2024-01-04,3.0,0.0015,1.0,True,0.11639617907802458,2023-10-05:-3.07%:0%;2023-11-01:-6.77%:0%;2023-12-01:1.70%:100%;2024-01-02:11.64%:100%,TLT,"{""GLD"": 0.11501896513101872, ""TLT"": 0.129446720052105}",0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,Hold,Hold,Hold,Hold,Hold,Overweight
2024-01-03,2024-01-04,2024-04-04,1.3333333333333333,0.0006666666666666666,1.0,True,0.10112108451062629,2024-01-05:10.48%:100%;2024-02-01:16.66%:100%;2024-03-01:12.14%:100%;2024-04-01:10.11%:100%,,{},0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,Underweight,Hold,Overweight,Overweight,Hold,Overweight
2024-04-03,2024-04-04,2024-07-05,0.49999999999999994,0.00024999999999999995,1.0,True,0.043790811471693836,2024-04-05:9.79%:100%;2024-05-01:2.58%:100%;2024-06-03:3.15%:100%;2024-07-01:4.38%:100%,,{},0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0,Hold,Overweight,Overweight,Overweight,Hold,Overweight
2024-07-03,2024-07-05,2024-10-04,1.0,0.0005,1.0,True,0.05534145861781026,2024-07-08:8.45%:100%;2024-08-01:10.08%:100%;2024-09-03:7.23%:100%;2024-10-01:5.53%:100%,,{},0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,Hold,Hold,Overweight,Overweight,Hold,Hold
2024-10-03,2024-10-04,2025-01-06,1.0,0.0005,1.0,True,0.034174852626499996,2024-10-07:3.50%:100%;2024-11-01:7.03%:100%;2024-12-02:7.22%:100%;2025-01-02:3.42%:100%,,{},0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Hold,Hold,Buy,Hold,Underweight,Hold
2025-01-03,2025-01-06,2025-04-04,3.5,0.00175,1.0,False,-0.06696261197702225,2025-01-07:4.26%:100%;2025-02-03:3.79%:100%;2025-03-03:-0.23%:0%;2025-04-01:-6.70%:0%,GLD,"{""GLD"": 0.18541986245181685, ""TLT"": 0.043524464921224526}",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Hold,Hold,Overweight,Overweight,Overweight,Overweight
2025-04-03,2025-04-04,2025-07-07,0.0,0.0,1.0,True,0.11520802759502446,2025-04-07:-13.31%:0%;2025-05-01:-7.58%:0%;2025-06-02:-0.51%:0%;2025-07-01:11.52%:100%,GLD,"{""GLD"": 0.0731183172294001, ""TLT"": -0.010162137881369881}",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Hold,Hold,Hold,Hold,Hold,Hold
2025-07-03,2025-07-07,2025-10-06,2.0,0.001,1.0,True,0.0815622040200652,2025-07-08:15.99%:100%;2025-08-01:14.32%:100%;2025-09-02:9.77%:100%;2025-10-01:8.16%:100%,,{},0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,Hold,Overweight,Hold,Overweight,Overweight,Overweight
2025-10-03,2025-10-06,2025-12-31,1.5,0.00075,1.0,True,0.062374464543476726,2025-10-07:8.56%:100%;2025-11-03:8.36%:100%;2025-12-01:6.24%:100%,GLD,"{""GLD"": 0.21947997595206847, ""TLT"": 0.053076788087078164}",0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,Hold,Hold,Hold,Hold,Hold,Overweight
