signal_date,entry_date,period_end,turnover,transaction_cost,gross_exposure,tsmom_risk_on,tsmom_momentum,weight_AAPL,weight_AMZN,weight_GOOGL,weight_META,weight_MSFT,weight_NVDA,rating_AAPL,rating_AMZN,rating_GOOGL,rating_META,rating_MSFT,rating_NVDA
2023-01-03,2023-01-04,2023-04-04,0.0,0.0,0.0,False,-0.18519820718406876,0.0,0.0,0.0,0.0,0.0,0.0,Underweight,Underweight,Hold,Overweight,Hold,Underweight
2023-04-03,2023-04-04,2023-07-05,0.0,0.0,0.0,False,-0.07467773303890801,0.0,0.0,0.0,0.0,0.0,0.0,Overweight,Overweight,Overweight,Overweight,Overweight,Hold
2023-07-03,2023-07-05,2023-10-04,1.0,0.0005,1.0,True,0.19559156286343615,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,Hold,Hold,Overweight,Overweight,Overweight,Hold
2023-10-03,2023-10-04,2024-01-04,1.5,0.00075,0.5,True,0.19891032082968318,0.0,0.0,0.0,0.0,0.0,0.5,Hold,Hold,Hold,Hold,Hold,Overweight
2024-01-03,2024-01-04,2024-04-04,0.8333333333333333,0.0004166666666666666,1.0,True,0.2444496738520059,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,Underweight,Hold,Overweight,Overweight,Hold,Overweight
2024-04-03,2024-04-04,2024-07-05,0.49999999999999994,0.00024999999999999995,1.0,True,0.2871139487018204,0.0,0.25,0.25,0.25,0.0,0.25,Hold,Overweight,Overweight,Overweight,Hold,Overweight
2024-07-03,2024-07-05,2024-10-04,1.0,0.0005,1.0,True,0.2599959846048039,0.0,0.0,0.5,0.5,0.0,0.0,Hold,Hold,Overweight,Overweight,Hold,Hold
2024-10-03,2024-10-04,2025-01-06,1.0,0.0005,1.0,True,0.36506641335047996,0.0,0.0,1.0,0.0,0.0,0.0,Hold,Hold,Buy,Hold,Underweight,Hold
2025-01-03,2025-01-06,2025-04-04,1.5,0.00075,1.0,True,0.2789161395447928,0.0,0.0,0.25,0.25,0.25,0.25,Hold,Hold,Overweight,Overweight,Overweight,Overweight
2025-04-03,2025-04-04,2025-07-07,1.0,0.0005,0.0,True,0.04758860685439137,0.0,0.0,0.0,0.0,0.0,0.0,Hold,Hold,Hold,Hold,Hold,Hold
2025-07-03,2025-07-07,2025-10-06,1.0,0.0005,1.0,True,0.16097985192058695,0.0,0.25,0.0,0.25,0.25,0.25,Hold,Overweight,Hold,Overweight,Overweight,Overweight
2025-10-03,2025-10-06,2025-12-31,1.0,0.0005,0.5,True,0.19121025364787148,0.0,0.0,0.0,0.0,0.0,0.5,Hold,Hold,Hold,Hold,Hold,Overweight
