signal_date,entry_date,period_end,turnover,transaction_cost,gross_exposure,tsmom_risk_on,tsmom_momentum,tsmom_events,weight_AAPL,weight_AMZN,weight_GOOGL,weight_META,weight_MSFT,weight_NVDA,rating_AAPL,rating_AMZN,rating_GOOGL,rating_META,rating_MSFT,rating_NVDA
2023-01-03,2023-01-04,2023-04-04,1.5,0.00075,0.5,True,0.03303714905756361,2023-01-05:-5.26%:0%;2023-02-01:6.01%:100%;2023-03-01:-2.32%:0%;2023-04-03:3.30%:100%,0.0,0.0,0.0,0.5,0.0,0.0,Underweight,Underweight,Hold,Overweight,Hold,Underweight
2023-04-03,2023-04-04,2023-07-05,1.1,0.00055,1.0,True,0.06479979241042755,2023-04-05:1.42%:100%;2023-05-01:3.63%:100%;2023-06-01:0.56%:100%;2023-07-03:6.48%:100%,0.2,0.2,0.2,0.2,0.2,0.0,Overweight,Overweight,Overweight,Overweight,Overweight,Hold
2023-07-03,2023-07-05,2023-10-04,1.7999999999999998,0.0009,0.0,False,-0.048828417535269675,2023-07-06:3.94%:100%;2023-08-01:4.49%:100%;2023-09-01:0.05%:100%;2023-10-02:-4.88%:0%,0.0,0.0,0.0,0.0,0.0,0.0,Hold,Hold,Overweight,Overweight,Overweight,Hold
2023-10-03,2023-10-04,2024-01-04,0.5,0.00025,0.5,True,0.04977253850244745,2023-10-05:-5.14%:0%;2023-11-01:-2.13%:0%;2023-12-01:9.13%:100%;2024-01-02:4.98%:100%,0.0,0.0,0.0,0.0,0.0,0.5,Hold,Hold,Hold,Hold,Hold,Overweight
2024-01-03,2024-01-04,2024-04-04,0.8333333333333333,0.0004166666666666666,1.0,True,0.03641450995947437,2024-01-05:2.73%:100%;2024-02-01:1.59%:100%;2024-03-01:3.50%:100%;2024-04-01:3.64%:100%,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,Underweight,Hold,Overweight,Overweight,Hold,Overweight
2024-04-03,2024-04-04,2024-07-05,2.5,0.00125,1.0,True,0.037779496172768434,2024-04-05:1.48%:100%;2024-05-01:-3.86%:0%;2024-06-03:5.40%:100%;2024-07-01:3.78%:100%,0.0,0.25,0.25,0.25,0.0,0.25,Hold,Overweight,Overweight,Overweight,Hold,Overweight
2024-07-03,2024-07-05,2024-10-04,1.0,0.0005,1.0,True,0.030751142478038895,2024-07-08:5.31%:100%;2024-08-01:1.00%:100%;2024-09-03:3.81%:100%;2024-10-01:3.08%:100%,0.0,0.0,0.5,0.5,0.0,0.0,Hold,Hold,Overweight,Overweight,Hold,Hold
2024-10-03,2024-10-04,2025-01-06,4.0,0.002,0.0,False,-0.024060211311645263,2024-10-07:4.57%:100%;2024-11-01:-0.04%:0%;2024-12-02:3.89%:100%;2025-01-02:-2.41%:0%,0.0,0.0,0.0,0.0,0.0,0.0,Hold,Hold,Buy,Hold,Underweight,Hold
2025-01-03,2025-01-06,2025-04-04,2.0,0.001,0.0,False,-0.05571921433503624,2025-01-07:-1.69%:0%;2025-02-03:2.31%:100%;2025-03-03:-1.27%:0%;2025-04-01:-5.57%:0%,0.0,0.0,0.0,0.0,0.0,0.0,Hold,Hold,Overweight,Overweight,Overweight,Overweight
2025-04-03,2025-04-04,2025-07-07,0.0,0.0,0.0,True,0.050210236401385666,2025-04-07:-11.51%:0%;2025-05-01:-0.87%:0%;2025-06-02:6.28%:100%;2025-07-01:5.02%:100%,0.0,0.0,0.0,0.0,0.0,0.0,Hold,Hold,Hold,Hold,Hold,Hold
2025-07-03,2025-07-07,2025-10-06,1.0,0.0005,1.0,True,0.035620412937162005,2025-07-08:4.46%:100%;2025-08-01:2.34%:100%;2025-09-02:2.05%:100%;2025-10-01:3.56%:100%,0.0,0.25,0.0,0.25,0.25,0.25,Hold,Overweight,Hold,Overweight,Overweight,Overweight
2025-10-03,2025-10-06,2025-12-31,1.5,0.00075,0.0,False,-0.0058191172087097565,2025-10-07:4.05%:100%;2025-11-03:1.92%:100%;2025-12-01:-0.58%:0%,0.0,0.0,0.0,0.0,0.0,0.0,Hold,Hold,Hold,Hold,Hold,Overweight
